feature_variant,included_groups,feature_count,architecture,model_seed,split,frozen_contract_only,detection_precision,detection_recall,detection_f1,event_macro_f1_all_labels,event_weighted_f1_all_labels,event_macro_f1_abnormal,event_weighted_f1_abnormal,normal_minutes,false_positive_samples,false_positive_fraction,false_alarm_episodes,false_alarm_episodes_per_min,event_scenarios,detected_event_scenarios,scenario_detection_rate,delay_mean_s,delay_median_s,delay_p95_s,physical_n,physical_top1,physical_top3,physical_prediction_coverage,physical_electrical_distance_conditional,physical_electrical_distance_penalized,integrity_n,integrity_top1,integrity_top3,integrity_prediction_coverage,integrity_electrical_distance_conditional,integrity_electrical_distance_penalized,validation_selected,frozen_trajectories_only,derivation_version
voltage_only,"[""voltage_magnitude""]",40,typed,47,validation,True,0.6874156696950616,0.9243982097496068,0.7884853487412299,0.473583701705666,0.7000111867695608,0.4825509487297263,0.5637676403543899,7.1509094444444425,3475,0.2691503369220045,775,108.37782327143007,137,137,1.0,0.0241167883211678,0.0,0.133433333333333,7915,0.3614655716993051,0.4702463676563487,0.7672773215413772,0.0167180706045298,0.0414836983099483,2212,0.5081374321880651,0.5764014466546112,0.705244122965642,0.0130381443744458,0.0454898331069982,False,,
voltage_only,"[""voltage_magnitude""]",40,typed,47,test,True,0.7186304514154552,0.9089149631063264,0.8026491481066068,0.4701442951341672,0.7175916790874819,0.4725494313715018,0.5682784692947771,7.1509094444444425,2942,0.2278677097049028,782,109.35671973968816,137,137,1.0,0.0163411192214112,0.0,0.1000999999999998,7915,0.3374605180037903,0.4549589387239419,0.7303853442830069,0.0162620059460235,0.0450765254921845,2212,0.5040687160940326,0.5705244122965641,0.659132007233273,0.0106274848187775,0.0489776881658672,False,,
angle_only,"[""voltage_angle""]",40,typed,11,validation,True,0.9527791441219872,0.9372202733760736,0.9449356668089518,0.5116636812810333,0.8202829533323917,0.4722863227347729,0.6141643299660425,7.1509094444444425,384,0.029742080396561,38,5.314009399115281,137,129,0.9416058394160584,0.0522824289405684,0.0001000000000002,0.2334333333333327,7915,0.4005053695514845,0.5404927353126974,0.9403663929248264,0.0173634952055845,0.0236710302459648,2212,0.283001808318264,0.3887884267631103,0.4891500904159132,0.0210961449499132,0.0732226735504339,False,,
angle_only,"[""voltage_angle""]",40,typed,11,test,True,0.9542370790674726,0.935768719003266,0.9449126664223768,0.5130014946809213,0.8292511575548855,0.4733233818712992,0.6364279113082009,7.1509094444444425,371,0.0287351870498024,40,5.593694104331875,137,129,0.9416058394160584,0.0517656330749354,0.0001000000000002,0.2334333333333327,7915,0.4237523689197726,0.5440303221730891,0.9377132027795324,0.0162859176432654,0.0229412033943693,2212,0.3883363471971067,0.4959312839059674,0.5795660036166366,0.0139626708238594,0.0598624201937154,False,,
angle_only,"[""voltage_angle""]",40,typed,29,validation,True,0.9569413511507052,0.9355267932744648,0.946112912104716,0.5110131804130363,0.8237172648731622,0.4702106421437692,0.6196902144226484,7.1509094444444425,348,0.0269537603593834,39,5.453851751723578,137,129,0.9416058394160584,0.0571919896640826,0.0001000000000002,0.2334333333333327,7915,0.4015161086544536,0.5350600126342387,0.9416298168035376,0.0167267720799736,0.022937838548884,2212,0.294755877034358,0.3964737793851718,0.4918625678119349,0.0199120778072046,0.0723634972171921,False,,
angle_only,"[""voltage_angle""]",40,typed,29,test,True,0.956742059077988,0.9363735333252692,0.9464482210539186,0.5095486442583347,0.8297385455623114,0.4683155173440136,0.6351003497651595,7.1509094444444425,350,0.0271086670281155,38,5.314009399115281,137,129,0.9416058394160584,0.0522824289405684,0.0001000000000002,0.2534333333333324,7915,0.4231206569804169,0.5543903979785217,0.9387239418825016,0.0162275324208687,0.0227783992649089,2212,0.3910488245931284,0.4801084990958408,0.5705244122965641,0.0137976518436267,0.0607553642212983,False,,
angle_only,"[""voltage_angle""]",40,typed,47,validation,True,0.9534340828111562,0.9386718277488812,0.945995367548458,0.5140426723164379,0.8219068682722981,0.474552378360485,0.6172057032990301,7.1509094444444425,379,0.0293548137247308,38,5.314009399115281,137,129,0.9416058394160584,0.0538328165374676,0.0001000000000002,0.2334333333333327,7915,0.3993682880606443,0.54301958307012,0.9367024636765636,0.016867186555918,0.023593675940254,2212,0.2938517179023508,0.379746835443038,0.5018083182640145,0.0203486199941465,0.0715559285123392,False,,
angle_only,"[""voltage_angle""]",40,typed,47,test,True,0.9558678500986192,0.9379460505624774,0.946822150314427,0.5178794713387936,0.8308075141809894,0.478261798247264,0.6378169260968315,7.1509094444444425,358,0.0277282937030439,34,4.754639988682094,137,129,0.9416058394160584,0.0509904392764857,0.0001000000000002,0.2200999999999992,7915,0.4072015161086544,0.5506001263423879,0.9336702463676564,0.0163529408779421,0.0234357670877802,2212,0.3630198915009041,0.488245931283906,0.5849909584086799,0.0168898521272293,0.0609825399592309,False,,
frequency_only,"[""frequency""]",40,typed,11,validation,True,0.8436138500343958,0.8900447562598283,0.8662075460592148,0.5772640039785172,0.7925829466311486,0.5642643855248322,0.6419387259242733,7.1509094444444425,1364,0.1056463480752846,618,86.42257391192746,137,134,0.978102189781022,0.0547532338308456,0.0,0.2900649999999987,7915,0.278332280480101,0.4288060644346178,0.8005053695514845,0.0242580179196788,0.043983440516255,2212,0.523508137432188,0.5705244122965641,0.7002712477396021,0.0104326607377486,0.0442127856458031,False,,
frequency_only,"[""frequency""]",40,typed,11,test,True,0.8235294117647058,0.8924640135478408,0.8566120979914084,0.5982830166475126,0.7946991868658669,0.600663106749354,0.6672308189313779,7.1509094444444425,1581,0.1224537216327162,642,89.7787903745266,137,137,1.0,0.0579330900243307,0.0,0.2734333333333322,7915,0.281238155401137,0.4265319014529374,0.81452937460518,0.0241057874847971,0.0424727933684952,2212,0.5339059674502713,0.6288426763110307,0.7626582278481012,0.0137785525808913,0.0397334003687847,False,,
frequency_only,"[""frequency""]",40,typed,29,validation,True,0.9185667752442996,0.8186766662634571,0.8657499200511672,0.5875375526585188,0.8009115724449973,0.565436638663447,0.6346596457173017,7.1509094444444425,600,0.0464720006196266,261,36.498854030765486,137,133,0.9708029197080292,0.1150766917293229,0.0,0.6667066666666643,7915,0.2720151610865445,0.4099810486418193,0.7751105495893872,0.0242435099042178,0.0464831577982085,2212,0.5185352622061483,0.5519891500904159,0.6772151898734177,0.009729828990715,0.0463352884575602,False,,
frequency_only,"[""frequency""]",40,typed,29,test,True,0.8987106207629935,0.8178299262126527,0.8563647878404054,0.5942280871442969,0.798782503029534,0.5810436515347401,0.6464779764318711,7.1509094444444425,762,0.0590194407869258,324,45.30892224508818,137,133,0.9708029197080292,0.1210924812030071,0.0,0.6134333333333297,7915,0.2837650031585597,0.4295641187618446,0.7883765003158559,0.0240591922503355,0.045025956749233,2212,0.5320976491862568,0.6017179023508138,0.713381555153707,0.0115935626615202,0.0435633896409284,False,,
frequency_only,"[""frequency""]",40,typed,47,validation,True,0.837677592571876,0.90576992863191,0.870394048587702,0.5904570307842414,0.7996486178723214,0.578235554707608,0.6589277355618229,7.1509094444444425,1451,0.1123847881651305,660,92.29595272147591,137,135,0.9854014598540146,0.0454572839506171,0.0,0.3067366666666653,7915,0.2713834491471888,0.4072015161086544,0.8016424510423247,0.0249223026921967,0.0444035282283912,2212,0.5103978300180831,0.5678119349005425,0.7020795660036167,0.0107468289441867,0.0442295550652609,False,,
frequency_only,"[""frequency""]",40,typed,47,test,True,0.8227443194352526,0.9022620055642918,0.8606703975076444,0.6043455140022316,0.7985053601272135,0.6082634475090523,0.671301212205913,7.1509094444444425,1607,0.1244675083262334,607,84.8843080332362,137,136,0.9927007299270072,0.0544367647058822,0.0,0.2750999999999992,7915,0.2823752368919772,0.4267845862286797,0.8192040429564119,0.0240686894240331,0.0419794738647222,2212,0.5474683544303798,0.6274864376130199,0.755877034358047,0.0131410514582084,0.0399930949904254,False,,
integrity_only,"[""missingness"", ""disturbance_score""]",16,typed,11,validation,True,0.8449876601245739,0.8697229950405225,0.857176919408679,0.4657420434783776,0.7046130036969287,0.4307527844915789,0.4145825244017654,7.1509094444444425,1319,0.1021609480288126,617,86.28273155931917,137,131,0.9562043795620438,0.0313633587786259,0.0001000000000002,0.2000499999999994,7915,0.1653821857233101,0.2534428300694883,0.8897030953885029,0.0323297595229123,0.0423452940354779,2212,0.6035262206148282,0.6121157323688969,0.6279385171790235,0.0019518496664003,0.0470394240600038,False,,
integrity_only,"[""missingness"", ""disturbance_score""]",16,typed,11,test,True,0.8458507462686568,0.8569009314140559,0.8513399831750992,0.453957290330828,0.6987088655110776,0.4168792892539594,0.4017989004264894,7.1509094444444425,1291,0.0999922546665633,606,84.7444656806279,137,132,0.9635036496350364,0.0331444444444444,0.0001000000000002,0.133433333333333,7915,0.1610865445356917,0.2389134554643082,0.8778269109286165,0.0330059488451832,0.0440172907431397,2212,0.5917721518987342,0.6017179023508138,0.6161844484629295,0.0019487040888001,0.048461880620814,False,,
integrity_only,"[""missingness"", ""disturbance_score""]",16,typed,29,validation,True,0.8455122180451128,0.870569735091327,0.857858036831754,0.4594866323322846,0.7071092529834971,0.4246174874380998,0.4214465082895032,7.1509094444444425,1315,0.1018511346913484,620,86.70225861714405,137,130,0.948905109489051,0.0303225641025641,0.0001000000000002,0.1000999999999998,7915,0.158433354390398,0.2525584333543904,0.8929879974731523,0.0324768835861176,0.0421783878068264,2212,0.5944846292947559,0.6017179023508138,0.620253164556962,0.0021012718257278,0.0480634386997105,False,,
integrity_only,"[""missingness"", ""disturbance_score""]",16,typed,29,test,True,0.8458239008697724,0.8587153743800653,0.8522208883553422,0.4571373834331924,0.70084839489538,0.4213372741103249,0.4074619667808259,7.1509094444444425,1294,0.1002246146696615,604,84.46478097541132,137,133,0.9708029197080292,0.0323917293233082,0.0001000000000002,0.133433333333333,7915,0.1617182564750473,0.2458622867972204,0.8811118130132659,0.0322746421183391,0.0430768627116622,2212,0.6012658227848101,0.6103074141048824,0.6243218806509946,0.0015301704695462,0.0472144358390414,False,,
integrity_only,"[""missingness"", ""disturbance_score""]",16,typed,47,validation,True,0.8457559369856572,0.8702068464981251,0.8578071901269898,0.4625815598297642,0.7061313054636361,0.4274882234091671,0.4184079045785964,7.1509094444444425,1312,0.1016187746882503,631,88.24052449583533,137,129,0.9416058394160584,0.0323671834625323,0.0001000000000002,0.1800999999999988,7915,0.1551484523057485,0.2447252053063802,0.8914718888186987,0.0330147032113063,0.042795286405364,2212,0.593128390596745,0.6017179023508138,0.6216094032549728,0.0023274821970537,0.048039902597662,False,,
integrity_only,"[""missingness"", ""disturbance_score""]",16,typed,47,test,True,0.8472371404702231,0.8587153743800653,0.8529376426769194,0.459577202949378,0.7010028875932122,0.4226794495723012,0.4063267851257807,7.1509094444444425,1280,0.0991402679885369,593,82.92651509672004,137,132,0.9635036496350364,0.0316277777777777,0.0001000000000002,0.133433333333333,7915,0.1660138976626658,0.2486418193303853,0.8822488945041062,0.0325190533094864,0.0431891786087566,2212,0.6044303797468354,0.6116636528028933,0.6265822784810127,0.0015729972740266,0.0469663951128757,False,,
all_minus_voltage_magnitude,"[""voltage_angle"", ""frequency"", ""missingness"", ""disturbance_score""]",96,typed,11,validation,True,0.9665597235932872,0.947502116850127,0.956936045446216,0.7487296901879679,0.908839950984781,0.7283920567948559,0.8244020480213112,7.1509094444444425,271,0.020989853613198,43,6.013221162156765,137,129,0.9416058394160584,0.0300447028423773,0.0001000000000002,0.133433333333333,7915,0.3916614024005053,0.5172457359444094,0.9475679090334808,0.0212297752889049,0.0265728781435984,2212,0.8435804701627486,0.846745027124774,0.8494575045207957,0.0004009199640644,0.0188776113301265,False,,
all_minus_voltage_magnitude,"[""voltage_angle"", ""frequency"", ""missingness"", ""disturbance_score""]",96,typed,11,test,True,0.9673469387755104,0.9460505624773194,0.9565802348336596,0.7411682125833745,0.9086205874416532,0.7200548830216864,0.8237176484210639,7.1509094444444425,264,0.0204476802726357,35,4.894482341290391,137,129,0.9416058394160584,0.0308237726098191,0.0001000000000002,0.133433333333333,7915,0.3614655716993051,0.5407454200884396,0.947946936197094,0.0225896544615372,0.02782334659898,2212,0.8688969258589512,0.8698010849909584,0.8725135623869801,0.0002053329506802,0.015877195465772,False,,
all_minus_voltage_magnitude,"[""voltage_angle"", ""frequency"", ""missingness"", ""disturbance_score""]",96,typed,29,validation,True,0.9573718727228564,0.9535502600701584,0.9554572450154536,0.7553356494212256,0.9093190638578406,0.739932790254429,0.8320668849093595,7.1509094444444425,351,0.0271861203624816,39,5.453851751723578,137,129,0.9416058394160584,0.0261702842377261,0.0001000000000002,0.133433333333333,7915,0.389387239418825,0.5192672141503475,0.9492103600758054,0.0219250878460347,0.0270655017200252,2212,0.8729656419529838,0.8734177215189873,0.8747739602169982,0.0001550484560792,0.0155553379965425,False,,
all_minus_voltage_magnitude,"[""voltage_angle"", ""frequency"", ""missingness"", ""disturbance_score""]",96,typed,29,test,True,0.9591861598440544,0.9523406314261522,0.9557511380880122,0.7383499036361854,0.9094083984220828,0.7196596378627202,0.8310119007756055,7.1509094444444425,335,0.0259468670126248,38,5.314009399115281,137,129,0.9416058394160584,0.0256550387596899,0.0001000000000002,0.133433333333333,7915,0.3850915982312066,0.5528742893240682,0.947694251421352,0.0215633820452685,0.0268761604022017,2212,0.8756781193490054,0.8783905967450272,0.879746835443038,0.0002401372470352,0.0150186307465506,False,,
all_minus_voltage_magnitude,"[""voltage_angle"", ""frequency"", ""missingness"", ""disturbance_score""]",96,typed,47,validation,True,0.9641013031718711,0.9485907826297326,0.956283153466252,0.7578174246682696,0.910505684951789,0.739371972270845,0.8306168001365203,7.1509094444444425,292,0.0226163736348849,38,5.314009399115281,137,129,0.9416058394160584,0.0279806201550388,0.0001000000000002,0.133433333333333,7915,0.3859759949463044,0.5224257738471257,0.9522425773847124,0.0217245452234044,0.0265676461156395,2212,0.8372513562386981,0.8399638336347197,0.840867992766727,0.0001913774668244,0.019755639384572,False,,
all_minus_voltage_magnitude,"[""voltage_angle"", ""frequency"", ""missingness"", ""disturbance_score""]",96,typed,47,test,True,0.9646856158484064,0.9483488569009314,0.9564474807856532,0.7377677298639427,0.9090065918938824,0.7174372070811914,0.8263334805601152,7.1509094444444425,287,0.0222291069630547,32,4.4749552834655,137,129,0.9416058394160584,0.0297909560723514,0.0001000000000002,0.133433333333333,7915,0.3796588755527479,0.5433986102337334,0.9524952621604548,0.0220107760766477,0.0268146547747922,2212,0.8607594936708861,0.8625678119349005,0.8639240506329114,0.00014355685306,0.0168797312397331,False,,
all_minus_voltage_angle,"[""voltage_magnitude"", ""frequency"", ""missingness"", ""disturbance_score""]",96,typed,11,validation,True,0.9586827824370991,0.9402443449860892,0.9493740458015268,0.7719620910023007,0.9113238678168024,0.7593181870564354,0.8355248402164305,7.1509094444444425,335,0.0259468670126248,219,30.62547522121701,137,134,0.978102189781022,0.0251803482587064,0.0001000000000002,0.1000999999999998,7915,0.5056222362602654,0.646367656348705,0.9379658875552748,0.0158746952033951,0.0225284916427376,2212,0.8752260397830018,0.8788426763110307,0.8833634719710669,0.0004245327811375,0.0147370530558609,False,,
all_minus_voltage_angle,"[""voltage_magnitude"", ""frequency"", ""missingness"", ""disturbance_score""]",96,typed,11,test,True,0.9584995014955134,0.9303253901052376,0.944202320299552,0.806838225436446,0.9263880552205888,0.7997794506164543,0.8795967667271614,7.1509094444444425,333,0.0257919603438928,203,28.387997579484264,137,135,0.9854014598540146,0.0257338271604938,0.0001000000000002,0.1333633333333329,7915,0.476310802274163,0.6419456727732155,0.9233101705622236,0.0168035070548893,0.0249580494199559,2212,0.8955696202531646,0.9018987341772152,0.9041591320072332,0.0004272459889914,0.0121876615273745,False,,
all_minus_voltage_angle,"[""voltage_magnitude"", ""frequency"", ""missingness"", ""disturbance_score""]",96,typed,29,validation,True,0.9567627494456764,0.9395185677996856,0.9480622520598108,0.7755685593323468,0.9123308340670108,0.7616811329944324,0.8389744342291369,7.1509094444444425,351,0.0271861203624816,214,29.92626345817553,137,134,0.978102189781022,0.0309017412935323,0.0001000000000002,0.1000999999999998,7915,0.5100442198357549,0.6399241945672773,0.934301958307012,0.0161236360379719,0.023154071639034,2212,0.8770343580470162,0.8838155515370705,0.8842676311030742,0.0003101169551342,0.0145249290748688,False,,
all_minus_voltage_angle,"[""voltage_magnitude"", ""frequency"", ""missingness"", ""disturbance_score""]",96,typed,29,test,True,0.9581881533101044,0.9314140558848434,0.94461142121082,0.8054160859662522,0.9277173870151756,0.7956329499006833,0.8819654841373691,7.1509094444444425,336,0.0260243203469909,198,27.68878581644278,137,133,0.9708029197080292,0.0216065162907268,0.0001000000000002,0.1000999999999998,7915,0.4816171825647505,0.6218572331017056,0.9252053063802906,0.0165654455801938,0.024536281101285,2212,0.8874321880650995,0.891500904159132,0.891500904159132,0.0002050772678244,0.0135428603411761,False,,
all_minus_voltage_angle,"[""voltage_magnitude"", ""frequency"", ""missingness"", ""disturbance_score""]",96,typed,47,validation,True,0.9677744209466264,0.929962501512036,0.948491764851027,0.7785883110697117,0.9160740161231732,0.7626315234112965,0.845038925736473,7.1509094444444425,256,0.0198280535977073,152,21.256037596461123,137,133,0.9708029197080292,0.0316390977443609,0.0001000000000002,0.1134333333333328,7915,0.5073910296904611,0.6445988629185092,0.934301958307012,0.0155123462684515,0.0225829424102781,2212,0.8670886075949367,0.8711573236889693,0.8711573236889693,0.0001558369900898,0.0160007986388605,False,,
all_minus_voltage_angle,"[""voltage_magnitude"", ""frequency"", ""missingness"", ""disturbance_score""]",96,typed,47,test,True,0.971276054905948,0.9243982097496068,0.9472575147195538,0.7971601096864167,0.9267125978747977,0.7832277899439204,0.8726251828702197,7.1509094444444425,226,0.017504453566726,137,19.158402307336672,137,134,0.978102189781022,0.0274199004975124,0.0001000000000002,0.133433333333333,7915,0.4895767530006317,0.6284270372710045,0.925584333543904,0.0159624879507427,0.0239378002181012,2212,0.8842676311030742,0.8860759493670886,0.8869801084990958,0.0001080700913337,0.0140125578666368,False,,
all_minus_frequency,"[""voltage_magnitude"", ""voltage_angle"", ""missingness"", ""disturbance_score""]",96,typed,11,validation,True,0.9800796812749004,0.9522196685617516,0.9659488312166392,0.755349214289052,0.9231873763382396,0.7326651504190547,0.8458865246088989,7.1509094444444425,160,0.0123925334985671,29,4.055428225640609,137,129,0.9416058394160584,0.0251483204134367,0.0001000000000002,0.133433333333333,7915,0.5215413771320278,0.6420720151610866,0.9485786481364498,0.0153916387346784,0.0209319468902517,2212,0.8589511754068716,0.8612115732368897,0.8675406871609403,0.0006382811111493,0.0168641093964601,False,,
all_minus_frequency,"[""voltage_magnitude"", ""voltage_angle"", ""missingness"", ""disturbance_score""]",96,typed,11,test,True,0.9817955112219452,0.9524615942905528,0.9669061214465524,0.7807854452349192,0.9398412851702412,0.7616029611812364,0.8867941016183112,7.1509094444444425,146,0.0113081868174424,27,3.7757435204240153,137,129,0.9416058394160584,0.0254074935400517,0.0001000000000002,0.133433333333333,7915,0.4919772583701832,0.6563487049905243,0.947820593809223,0.0166135981471202,0.0221718204906678,2212,0.8625678119349005,0.8657323688969258,0.8698010849909584,0.0004465872576045,0.0164204826069933,False,,
all_minus_frequency,"[""voltage_magnitude"", ""voltage_angle"", ""missingness"", ""disturbance_score""]",96,typed,29,validation,True,0.9823175319789316,0.947502116850127,0.96459577612216,0.7613408072232792,0.9261688646711334,0.7391101074989292,0.8535375603693185,7.1509094444444425,141,0.0109209201456122,27,3.7757435204240153,137,129,0.9416058394160584,0.0295434108527132,0.0001000000000002,0.133433333333333,7915,0.5166140240050537,0.6502842703727101,0.94971572962729,0.0149881916645299,0.0204262739049025,2212,0.843128390596745,0.8458408679927667,0.8521699819168174,0.0007306711037048,0.0188257019948839,False,,
all_minus_frequency,"[""voltage_magnitude"", ""voltage_angle"", ""missingness"", ""disturbance_score""]",96,typed,29,test,True,0.9821048679764736,0.9493165598161364,0.9654324025095338,0.7839681955685113,0.9417988816839435,0.7648621902629603,0.8929712795845617,7.1509094444444425,143,0.0110758268143443,24,3.3562164625991247,137,129,0.9416058394160584,0.0295426356589148,0.0001000000000002,0.133433333333333,7915,0.4722678458622868,0.6480101073910297,0.94971572962729,0.0170292442380911,0.0223646936390098,2212,0.8575949367088608,0.8603074141048824,0.8661844484629295,0.0005890243934016,0.0169875787541651,False,,
all_minus_frequency,"[""voltage_magnitude"", ""voltage_angle"", ""missingness"", ""disturbance_score""]",96,typed,47,validation,True,0.9860236716192396,0.9472601911213258,0.9662533160589796,0.7479492202433321,0.9229903155073104,0.7229025857751106,0.8419558867869718,7.1509094444444425,111,0.0085973201146309,27,3.7757435204240153,137,129,0.9416058394160584,0.0303170542635659,0.0001000000000002,0.1533733333333327,7915,0.5262160454832596,0.6496525584333543,0.9484523057485786,0.0149331477467988,0.0205107026063831,2212,0.8404159132007233,0.8476491862567812,0.8481012658227848,0.0005505375776328,0.0191709588965567,False,,
all_minus_frequency,"[""voltage_magnitude"", ""voltage_angle"", ""missingness"", ""disturbance_score""]",96,typed,47,test,True,0.9846829880728186,0.9487117454941332,0.966362740266141,0.7716088729787011,0.9400628288402124,0.750480726969813,0.8863072473900826,7.1509094444444425,122,0.0094493067926574,24,3.3562164625991247,137,129,0.9416058394160584,0.0305777777777778,0.0001000000000002,0.133433333333333,7915,0.5058749210360076,0.6514213518635502,0.9469361970941252,0.0164416905516212,0.0221032421242996,2212,0.8806509945750453,0.8833634719710669,0.8847197106690777,0.0002154752519975,0.0143856710848097,False,,
