feature_variant,included_groups,feature_count,architecture,model_seed,split,frozen_contract_only,detection_precision,detection_recall,detection_f1,event_macro_f1_all_labels,event_weighted_f1_all_labels,event_macro_f1_abnormal,event_weighted_f1_abnormal,normal_minutes,false_positive_samples,false_positive_fraction,false_alarm_episodes,false_alarm_episodes_per_min,event_scenarios,detected_event_scenarios,scenario_detection_rate,delay_mean_s,delay_median_s,delay_p95_s,physical_n,physical_top1,physical_top3,physical_prediction_coverage,physical_electrical_distance_conditional,physical_electrical_distance_penalized,integrity_n,integrity_top1,integrity_top3,integrity_prediction_coverage,integrity_electrical_distance_conditional,integrity_electrical_distance_penalized,validation_selected,frozen_trajectories_only,derivation_version
base_136,"[""voltage_magnitude"", ""voltage_angle"", ""frequency"", ""missingness"", ""disturbance_score""]",136,typed,11,validation,True,0.9811179192197074,0.9490746340873352,0.9648303000491883,0.7667920505766551,0.9258222564478504,0.7454675700413371,0.8530829962707175,7.1509094444444425,151,0.0116954534892727,26,3.635901167815719,137,129,0.9416058394160584,0.0303077519379845,0.0001000000000002,0.1534333333333328,7915,0.517877447883765,0.641566645609602,0.94188250157928,0.0154940509875583,0.0217498723889787,2212,0.8462929475587704,0.8508137432188065,0.8594032549728752,0.0008362896384094,0.0180310871329025,False,,
base_136,"[""voltage_magnitude"", ""voltage_angle"", ""frequency"", ""missingness"", ""disturbance_score""]",136,typed,11,test,True,0.9791510611735332,0.9487117454941332,0.9636910978681577,0.7797543173722125,0.9370310751243146,0.7607629768403956,0.8838976676038136,7.1509094444444425,167,0.0129347068391294,27,3.7757435204240153,137,129,0.9416058394160584,0.0323741602067183,0.0001000000000002,0.133433333333333,7915,0.5144662034112445,0.650157927984839,0.9415034744156664,0.0157768736601904,0.022056949753132,2212,0.8607594936708861,0.8630198915009042,0.8679927667269439,0.0003925372036058,0.0165954272087116,False,,
base_136,"[""voltage_magnitude"", ""voltage_angle"", ""frequency"", ""missingness"", ""disturbance_score""]",136,typed,29,validation,True,0.9809535665380308,0.9531873714769564,0.9668711656441716,0.7809411625711999,0.9300527092271892,0.7618861325019005,0.8621753861752182,7.1509094444444425,153,0.0118503601580048,28,3.915585873032312,137,129,0.9416058394160584,0.0248790697674419,0.0001000000000002,0.133433333333333,7915,0.5144662034112445,0.6447252053063803,0.9516108654453568,0.0152932842199584,0.0205116504473595,2212,0.8539783001808319,0.8621157323688969,0.8639240506329114,0.000454333244899,0.0171482184390117,False,,
base_136,"[""voltage_magnitude"", ""voltage_angle"", ""frequency"", ""missingness"", ""disturbance_score""]",136,typed,29,test,True,0.9814330218068535,0.952703520019354,0.9668548981095016,0.8017639302712197,0.9445016997695012,0.78462009509918,0.8989106184169314,7.1509094444444425,149,0.0115405468205406,27,3.7757435204240153,137,129,0.9416058394160584,0.025395865633075,0.0001000000000002,0.133433333333333,7915,0.4811118130132659,0.6451042324699937,0.9516108654453568,0.0168204267400978,0.0219648958626078,2212,0.879746835443038,0.8811030741410488,0.8815551537070524,7.628070311153687e-05,0.0146519491808309,False,,
base_136,"[""voltage_magnitude"", ""voltage_angle"", ""frequency"", ""missingness"", ""disturbance_score""]",136,typed,47,validation,True,0.9804190571214768,0.9508890770533446,0.9654283082591342,0.7640955709726204,0.9240884830348832,0.7423669137766367,0.8484910860212609,7.1509094444444425,157,0.0121601734954689,33,4.614797636073797,137,129,0.9416058394160584,0.0261749354005168,0.0001000000000002,0.133433333333333,7915,0.5075173720783323,0.6288060644346178,0.9385975994946304,0.0155664834864736,0.0221714472638836,2212,0.8535262206148282,0.8594032549728752,0.8639240506329114,0.0008344405263357,0.0174766022612656,False,,
base_136,"[""voltage_magnitude"", ""voltage_angle"", ""frequency"", ""missingness"", ""disturbance_score""]",136,typed,47,test,True,0.981275745849457,0.9508890770533446,0.965843469713724,0.7918295911675747,0.9404536971425448,0.7738558944019276,0.889589795192122,7.1509094444444425,150,0.0116180001549066,32,4.4749552834655,137,129,0.9416058394160584,0.0282397932816538,0.0001000000000002,0.133433333333333,7915,0.4913455464308275,0.641566645609602,0.9365761212886924,0.0160759033575246,0.0228660051179775,2212,0.8707052441229657,0.8779385171790235,0.8788426763110307,0.0004751272335806,0.01533626646771,False,,
voltage_only,"[""voltage_magnitude""]",40,typed,11,validation,True,0.7057645023221929,0.9374621991048748,0.8052784704904405,0.481152685376089,0.7085129064817359,0.4893097908807616,0.5655933404811212,7.1509094444444425,3231,0.2502517233366896,689,96.35138094711654,137,137,1.0,0.0258199513381994,0.0,0.1734133333333325,7915,0.3648768161718256,0.4723941882501579,0.7776373973468098,0.0175337376713541,0.0410155042980523,2212,0.533001808318264,0.608499095840868,0.7305605786618445,0.0128885712045485,0.0425932992365149,False,,
voltage_only,"[""voltage_magnitude""]",40,typed,11,test,True,0.7473840078973346,0.9158098463771622,0.8230689786378214,0.5026915882845082,0.7437013743027504,0.5061892622590158,0.6059983480693798,7.1509094444444425,2559,0.1982030826427077,642,89.7787903745266,137,137,1.0,0.0345907542579075,0.0,0.2467666666666652,7915,0.3533796588755527,0.4682248894504106,0.7416298168035376,0.0169534462061817,0.0443875880090262,2212,0.5339059674502713,0.6193490054249547,0.6880650994575045,0.0096248737314288,0.0450326367943099,False,,
voltage_only,"[""voltage_magnitude""]",40,typed,29,validation,True,0.7726346763241285,0.8258134752630942,0.798339472607145,0.4842860182418589,0.7283518580788517,0.4777157468509276,0.5594366688840655,7.1509094444444425,2009,0.1556037487413833,698,97.60996212059122,137,137,1.0,0.0659907542579074,0.0001000000000002,0.4134133333333313,7915,0.3440303221730891,0.4574857864813645,0.7142135186355022,0.0165368193896494,0.0470011320380354,2212,0.4886980108499096,0.5203435804701627,0.5994575045207957,0.0073517823924314,0.0537278724664906,False,,
voltage_only,"[""voltage_magnitude""]",40,typed,29,test,True,0.8139678615574784,0.796540462078142,0.8051598703918812,0.492021449017123,0.7450111688712818,0.4813690533355975,0.574564305153865,7.1509094444444425,1505,0.1165672682208969,575,80.4093527497707,137,136,0.9927007299270072,0.0753075980392155,0.0001000000000002,0.4000999999999988,7915,0.3173720783322805,0.4373973468098547,0.6864181933038535,0.0164300250377733,0.0498907569482719,2212,0.5013562386980108,0.5339059674502713,0.5858951175406871,0.0066159697338322,0.054867059926029,False,,
