T,artifact,runtime_s,memory_estimate_mb
30,full_137_hypothesis_GH31,2.60351079999964,1.05216
60,full_137_hypothesis_GH31,3.310294500002783,2.10432
90,full_137_hypothesis_GH31,4.282702000000427,3.15648
120,full_137_hypothesis_GH31,5.445952500002022,4.20864
