regime,n,top1,top3,top5,top10,median_rank,mean_p_true
FINITE,1440,1.0,1.0,1.0,1.0,1.0,0.9999999999082293
MODERATE,1440,0.9881944444444445,1.0,1.0,1.0,1.0,0.9803797323664919
WEAK_STRONG,1440,0.6625,0.9583333333333334,0.9854166666666667,0.9979166666666667,1.0,0.6251329702650064
WEAK_WEAK,5760,0.24375,0.5984375,0.7161458333333334,0.8359375,2.0,0.21815603740769515
