regime,n,physical_trajectories,mean_p_M0,mean_p_M1,mean_p_M2,accuracy,NLL,Brier,false_split,false_merge,mean_entropy
WEAK_WEAK,5760,1920,0.1276283325606019,0.44559536687691437,0.42677630056248195,0.3736111111111111,2.1997586195246983,1.0132295111629541,0.0,0.4875,0.9740699361936203
WEAK_STRONG,1440,480,0.0006961962550926014,0.1914392515669484,0.807864552177959,0.7763888888888889,0.487675105895544,0.31508533798584276,0.0,0.22291666666666668,0.4967765660442189
MODERATE,1440,480,8.354744852450418e-25,0.004032300990767651,0.9959676990092349,0.9965277777777778,0.009553169661071373,0.005889246369607743,0.0,0.003472222222222222,0.03663854301425187
FINITE,1440,480,0.0,4.1842893987525677e-41,0.9999999999999996,1.0,4.723844772137997e-16,5.299369147692042e-29,0.0,0.0,1.657797522905075e-09
SINGLE,384,128,0.05271579750531427,0.8963646850618511,0.050919517432829686,0.9375,0.2415158938026237,0.11053428417744086,0.005208333333333333,0.0,0.48176401101096794
H0,100,100,0.9972486705799097,0.002645711807203997,0.00010561761288312696,1.0,0.0027746540108569205,8.853202413016661e-05,0.0,0.0,0.022592091916629076
