amplitude,AUROC,AUPRC,FPR,FNR
-0.004,1.0,1.0,0.0025,0.0
-0.002,1.0,1.0,0.0025,0.0
-0.001,0.9999984375000001,0.9999984394506867,0.0025,0.0
-0.0005,0.995353125,0.9966977125476773,0.0025,0.04125
-0.0002,0.9049625000000001,0.9260117884864555,0.0025,0.445
-0.0001,0.7355203125,0.7754659476286081,0.0025,0.82375
0.0001,0.7305359375,0.7685159716406715,0.0025,0.8375
0.0002,0.908003125,0.927969801168809,0.0025,0.455
0.0005,0.9945046875,0.9957854148774794,0.0025,0.04875
0.001,0.9999609375,0.9999613212855737,0.0025,0.00375
0.002,1.0,1.0,0.0025,0.0
0.004,1.0,1.0,0.0025,0.0
