family,m,n_frames,threshold_TVE,AUROC,AUPRC,cal_mu_norm,cal_cov_trace
M1_NETWORK,0.0,1820,0.00048315844365448237,0.9506716267169405,0.732239642398245,0.0004311228476572665,9.4650864830117e-07
M1_NETWORK,0.25,1820,0.00048315844365448237,0.6071044532611517,0.20326465956020787,0.0004311228476572665,9.4650864830117e-07
M1_NETWORK,0.5,1820,0.00048315844365448237,0.6620233572534121,0.9736854666226473,0.0004311228476572665,9.4650864830117e-07
M1_NETWORK,0.75,1820,0.00048315844365448237,,0.9994505494505495,0.0004311228476572665,9.4650864830117e-07
M1_NETWORK,1.0,1820,0.00048315844365448237,,0.9994505494505495,0.0004311228476572665,9.4650864830117e-07
M1_NETWORK,1.25,1820,0.00048315844365448237,,0.9994505494505495,0.0004311228476572665,9.4650864830117e-07
M1_NETWORK,1.5,1820,0.00048315844365448237,,0.9994505494505495,0.0004311228476572665,9.4650864830117e-07
M2_MACHINE,0.0,1820,0.00048315844365448237,0.9506716267169405,0.732239642398245,0.0004311228476572665,9.4650864830117e-07
M2_MACHINE,0.25,1820,0.00048315844365448237,0.9507978723404256,0.7325728086902157,0.0004311228476572665,9.4650864830117e-07
M2_MACHINE,0.5,1820,0.00048315844365448237,0.9507462467284149,0.7323223951068609,0.0004311228476572665,9.4650864830117e-07
M2_MACHINE,0.75,1820,0.00048315844365448237,0.9508847709418178,0.7323202535938297,0.0004311228476572665,9.4650864830117e-07
M2_MACHINE,1.0,1820,0.00048315844365448237,0.9510421848206846,0.7326027251726923,0.0004311228476572665,9.4650864830117e-07
M2_MACHINE,1.25,1820,0.00048315844365448237,0.9512058952547061,0.7326502128715606,0.0004311228476572665,9.4650864830117e-07
M2_MACHINE,1.5,1820,0.00048315844365448237,0.9513570125784183,0.7330736223404928,0.0004311228476572665,9.4650864830117e-07
M3_GOVERNOR,0.0,1820,0.00048315844365448237,0.9506716267169405,0.732239642398245,0.0004311228476572665,9.4650864830117e-07
M3_GOVERNOR,0.25,1820,0.00048315844365448237,0.9505222360624832,0.7319111434433913,0.0004311228476572665,9.4650864830117e-07
M3_GOVERNOR,0.5,1820,0.00048315844365448237,0.9504044068138972,0.7317325944969023,0.0004311228476572665,9.4650864830117e-07
M3_GOVERNOR,0.75,1820,0.00048315844365448237,0.9502802652841368,0.7316039677391722,0.0004311228476572665,9.4650864830117e-07
M3_GOVERNOR,1.0,1820,0.00048315844365448237,0.9502926752096187,0.7314566571593111,0.0004311228476572665,9.4650864830117e-07
M3_GOVERNOR,1.25,1820,0.00048315844365448237,0.9501766598112114,0.7311919185327493,0.0004311228476572665,9.4650864830117e-07
M3_GOVERNOR,1.5,1820,0.00048315844365448237,0.9500648631545642,0.7308827628664196,0.0004311228476572665,9.4650864830117e-07
M4_AVR,0.0,1820,0.00048315844365448237,0.9506716267169405,0.732239642398245,0.0004311228476572665,9.4650864830117e-07
M4_AVR,0.25,1820,0.00048315844365448237,0.9506274407487207,0.7321403018703778,0.0004311228476572665,9.4650864830117e-07
M4_AVR,0.5,1820,0.00048315844365448237,0.9505769424993267,0.7320079634143966,0.0004311228476572665,9.4650864830117e-07
M4_AVR,0.75,1820,0.00048315844365448237,0.9505264442499327,0.7318695373070866,0.0004311228476572665,9.4650864830117e-07
M4_AVR,1.0,1820,0.00048315844365448237,0.9505117155938594,0.7318574282463045,0.0004311228476572665,9.4650864830117e-07
M4_AVR,1.25,1820,0.00048315844365448237,0.9504612173444654,0.7317282866768979,0.0004311228476572665,9.4650864830117e-07
M4_AVR,1.5,1820,0.00048315844365448237,0.9504296559385941,0.7317034080662665,0.0004311228476572665,9.4650864830117e-07
M5_LOAD_MODEL,0.0,1820,0.00048315844365448237,0.9506716267169405,0.732239642398245,0.0004311228476572665,9.4650864830117e-07
M5_LOAD_MODEL,0.25,1820,0.00048315844365448237,0.9497604166666667,0.7312991739090645,0.0004311228476572665,9.4650864830117e-07
M5_LOAD_MODEL,0.5,1820,0.00048315844365448237,0.9487666699676504,0.7302167539434659,0.0004311228476572665,9.4650864830117e-07
M5_LOAD_MODEL,0.75,1820,0.00048315844365448237,0.9483797272961153,0.7296996410617302,0.0004311228476572665,9.4650864830117e-07
M5_LOAD_MODEL,1.0,1820,0.00048315844365448237,0.9475924442555418,0.7288941123738903,0.0004311228476572665,9.4650864830117e-07
M5_LOAD_MODEL,1.25,1820,0.00048315844365448237,0.946890380313199,0.7280248845053078,0.0004311228476572665,9.4650864830117e-07
M5_LOAD_MODEL,1.5,1820,0.00048315844365448237,0.9464491028630652,0.7276986998130083,0.0004311228476572665,9.4650864830117e-07
M6_OPERATING_POINT,0.0,1820,0.00048315844365448237,0.9506716267169405,0.732239642398245,0.0004311228476572665,9.4650864830117e-07
M6_OPERATING_POINT,0.25,1820,0.00048315844365448237,0.9214046965590377,0.7901027330509064,0.0004311228476572665,9.4650864830117e-07
M6_OPERATING_POINT,0.5,1820,0.00048315844365448237,0.9141516725033209,0.8166295042524389,0.0004311228476572665,9.4650864830117e-07
M6_OPERATING_POINT,0.75,1820,0.00048315844365448237,,0.9994505494505495,0.0004311228476572665,9.4650864830117e-07
M6_OPERATING_POINT,1.0,1820,0.00048315844365448237,,0.9994505494505495,0.0004311228476572665,9.4650864830117e-07
M6_OPERATING_POINT,1.25,1820,0.00048315844365448237,,0.9994505494505495,0.0004311228476572665,9.4650864830117e-07
M6_OPERATING_POINT,1.5,1820,0.00048315844365448237,,0.9994505494505495,0.0004311228476572665,9.4650864830117e-07
M7_COUPLED,0.0,1820,0.00048315844365448237,0.9506716267169405,0.732239642398245,0.0004311228476572665,9.4650864830117e-07
M7_COUPLED,0.25,1820,0.00048315844365448237,0.9408552878934364,0.751359237828521,0.0004311228476572665,9.4650864830117e-07
M7_COUPLED,0.5,1820,0.00048315844365448237,0.9283357085158502,0.7370509346982651,0.0004311228476572665,9.4650864830117e-07
M7_COUPLED,0.75,1820,0.00048315844365448237,0.9137571082198637,0.7146291886453575,0.0004311228476572665,9.4650864830117e-07
M7_COUPLED,1.0,1820,0.00048315844365448237,0.891451124019178,0.6762872617894455,0.0004311228476572665,9.4650864830117e-07
M7_COUPLED,1.25,1820,0.00048315844365448237,0.8668908084120979,0.6298919765211937,0.0004311228476572665,9.4650864830117e-07
M7_COUPLED,1.5,1820,0.00048315844365448237,0.8412645687269819,0.5879502270262709,0.0004311228476572665,9.4650864830117e-07
