severity_abs,n,p_M2,support_entropy,exact_support_top1
0.00033,1440,0.08810425145314002,1.0686481852070833,0.24375
0.00057,1440,0.30743615858347123,1.1269190668533529,0.24375
0.00088,1440,0.5531790137989173,0.9883926639965143,0.24375
0.00121,1440,0.758385778414399,0.7123198287175309,0.24375
