amplitude,AUROC,AUPRC,FPR,FNR
-0.075,1.0,1.0,0.00625,0.0
-0.05,1.0,1.0,0.00625,0.0
-0.025,1.0,1.0,0.00625,0.0
-0.01,1.0,1.0,0.00625,0.0
0.01,1.0,1.0,0.00625,0.0
0.025,1.0,1.0,0.00625,0.0
0.05,1.0,1.0,0.00625,0.0
0.075,1.0,1.0,0.00625,0.0
