method,reference,metric,estimate,lower,upper,n_scenarios,resamples
hierarchical_448,hierarchical_136,physical_row_top1,0.09408296483470205,0.06687723731311855,0.12402611076016,121,5000
hierarchical_448,hierarchical_136,physical_scenario_top1,0.07988980716253442,0.04132231404958677,0.12396694214876033,121,5000
hierarchical_448_availability,hierarchical_136,physical_row_top1,0.09589387239418827,0.06898189092440514,0.12533270162139393,121,5000
hierarchical_448_availability,hierarchical_136,physical_scenario_top1,0.08264462809917356,0.04407713498622589,0.12672176308539945,121,5000
hierarchical_448_availability,flat_136,physical_row_top1,0.05613813434407244,0.026234996841440317,0.08633817645820166,121,5000
hierarchical_448_availability,flat_136,physical_scenario_top1,0.10743801652892562,0.044077134986225903,0.16811294765840123,121,5000
