case_id,family,m,R0_TVE_percent,R1_TVE_percent,R2A_TVE_percent,oracle_gap,closure,status
M1-NETWORK_m0p5_s208_ED,M1_NETWORK,0.5,0.06011126066555628,0.0009045610212653269,0.06213844798444409,0.0005920669964429096,-0.03423915420158501,OK
M1-NETWORK_m0p5_s209_EA,M1_NETWORK,0.5,0.04771208834407727,0.003162256460448704,0.05296689048858756,0.00044549831883628567,-0.11795335520539536,OK
M1-NETWORK_m0p5_s210_EB,M1_NETWORK,0.5,0.08948009392264215,0.0007941562618282982,0.08883186781488692,0.0008868593766081386,0.007309232160733658,OK
M1-NETWORK_m0p5_s211_EC,M1_NETWORK,0.5,0.0888776329890306,1.5506842849227424e-05,0.0888478397810095,0.0008886212614618137,0.0003352745349811673,OK
M1-NETWORK_m0p5_s212_ED,M1_NETWORK,0.5,0.056482537109550035,0.0010741325752287785,0.05891821926694758,0.0005540840453432126,-0.043958713084561445,OK
M1-NETWORK_m0p5_s213_EA,M1_NETWORK,0.5,0.051014228883051245,0.00415279596916951,0.05509927353505404,0.00046861432913881734,-0.08717284978267666,OK
M1-NETWORK_m0p5_s214_EB,M1_NETWORK,0.5,0.08957512256669177,0.0009405270852925296,0.08883556566938104,0.0008863459548139925,0.00834388528874074,OK
M1-NETWORK_m0p5_s215_EC,M1_NETWORK,0.5,0.0888665216902658,1.819845850780284e-05,0.08883318897627163,0.0008884832323175801,0.00037516424375542723,OK
M1-NETWORK_m0p5_s216_ED,M1_NETWORK,0.5,0.05313534584963819,0.0012658355702138393,0.056091883890378454,0.0005186951027942435,-0.05699953642926664,OK
M1-NETWORK_m0p5_s217_EA,M1_NETWORK,0.5,0.05708130015886706,0.005288668508590695,0.05991051384817427,0.0005179263165027636,-0.054625795198265784,OK
M1-NETWORK_m0p5_s218_EB,M1_NETWORK,0.5,0.0896727566074498,0.001092701621207917,0.08884539873895587,0.0008858005498624188,0.00934022753341511,OK
M1-NETWORK_m0p5_s219_EC,M1_NETWORK,0.5,0.08885548829521858,2.0888364000183003e-05,0.08881861726334686,0.000888345999312184,0.0004150526022548377,OK
M1-NETWORK_m0p5_s220_ED,M1_NETWORK,0.5,0.05018168704639269,0.0014825434724429997,0.05374149676877293,0.00048699143573949693,-0.07309799436153654,OK
M1-NETWORK_m1p0_s201_EA,M1_NETWORK,1.0,0.14224741329277338,0.0027175349896612438,0.14467380572210503,0.0013952987830311214,-0.017389769552157083,OK
M1-NETWORK_m1p0_s202_EB,M1_NETWORK,1.0,0.177479552846383,0.0009930056028009111,0.17699889587348688,0.001764865472435821,0.0027234765504972835,OK
M1-NETWORK_m1p0_s203_EC,M1_NETWORK,1.0,0.17675094954073095,1.7817897099168916e-05,0.1767189116010965,0.0017673313164363177,0.00018127862804483816,OK
M1-NETWORK_m1p0_s204_ED,M1_NETWORK,1.0,0.15108502531338272,0.0014558317887012192,0.15249075413669289,0.0014962919352468152,-0.009394749715591393,OK
M1-NETWORK_m1p0_s205_EA,M1_NETWORK,1.0,0.1339626187311058,0.0035131369431763296,0.1370924582660972,0.0013044948178792947,-0.023992732604944708,OK
M1-NETWORK_m1p0_s206_EB,M1_NETWORK,1.0,0.17764777392166756,0.0012387028522501632,0.1770607568628397,0.001764090710694174,0.0033275899888212967,OK
M1-NETWORK_m1p0_s207_EC,M1_NETWORK,1.0,0.17674007078469978,2.256591678696688e-05,0.17670448291275612,0.001767175048679128,0.000201382833977135,OK
M1-NETWORK_m1p0_s208_ED,M1_NETWORK,1.0,0.14688229125797275,0.0016973791830133256,0.14854565956631055,0.0014518491207495942,-0.011456895104079323,OK
M1-NETWORK_m1p0_s209_EA,M1_NETWORK,1.0,0.12590366443838122,0.00440583274851579,0.1298049921008146,0.0012149783168986543,-0.03211026574031261,OK
M1-NETWORK_m1p0_s210_EB,M1_NETWORK,1.0,0.1778184925574071,0.0014894091451889593,0.17712612356383706,0.0017632908341221813,0.003926572861219022,OK
M1-NETWORK_m1p0_s211_EC,M1_NETWORK,1.0,0.17672923190680911,2.7312459901116104e-05,0.17669009445291042,0.00176701919446908,0.00022148856119495438,OK
M1-NETWORK_m1p0_s212_ED,M1_NETWORK,1.0,0.14270942607335718,0.0019438757872968686,0.14463843467366694,0.001407655502860603,-0.013703698073780657,OK
M1-NETWORK_m1p0_s213_EA,M1_NETWORK,1.0,0.11818559944930972,0.005421764591121477,0.12295228855121318,0.0011276383485818824,-0.042271434878904654,OK
M1-NETWORK_m1p0_s214_EB,M1_NETWORK,1.0,0.17799172998771315,0.0017452734879199088,0.1771950748725415,0.0017624645649979324,0.0045201198991060105,OK
M1-NETWORK_m1p0_s215_EC,M1_NETWORK,1.0,0.17671843293719697,3.205756166540805e-05,0.1766757462515592,0.0017668637537553156,0.0002415957967727817,OK
M1-NETWORK_m1p0_s216_ED,M1_NETWORK,1.0,0.1385701883777887,0.0021978845645807604,0.14077414285422127,0.0013637230381320794,-0.016161305593629667,OK
M1-NETWORK_m1p0_s217_EA,M1_NETWORK,1.0,0.11117841241244303,0.006599000558566744,0.11686552919630101,0.0010457941185387629,-0.05438084497744466,OK
M1-NETWORK_m1p0_s218_EB,M1_NETWORK,1.0,0.17816751018470328,0.002006425640459162,0.17726769201875942,0.0017616108454424414,0.0051079281685387865,OK
M1-NETWORK_m1p0_s219_EC,M1_NETWORK,1.0,0.1767076738815565,3.680121741266939e-05,0.17666143831738335,0.0017667087266414385,0.0002617045100641056,OK
M1-NETWORK_m1p0_s220_ED,M1_NETWORK,1.0,0.1344692778936004,0.0024621268038554573,0.1369591613195164,0.0013200715108974493,-0.018861731393803795,OK
M1-NETWORK_m1p5_s201_EA,M1_NETWORK,1.5,0.22798885425431847,0.003971254547568625,0.23027244066891958,0.0022401759970674985,-0.010193781281427991,OK
M1-NETWORK_m1p5_s202_EB,M1_NETWORK,1.5,0.26458489777202054,0.0014635504899933882,0.2640895703430639,0.0026312134728202715,0.001882505673041024,OK
M1-NETWORK_m1p5_s203_EC,M1_NETWORK,1.5,0.2635293341845096,2.5642222109773444e-05,0.2634880859883045,0.0026350369196239984,0.00015653745075793404,OK
M1-NETWORK_m1p5_s204_ED,M1_NETWORK,1.5,0.23737273199359865,0.002191476021405112,0.23872385140177918,0.0023518125597219355,-0.0057450131499436775,OK
M1-NETWORK_m1p5_s205_EA,M1_NETWORK,1.5,0.21932734319519012,0.00501127831341194,0.222210310927332,0.002143160648817782,-0.013451944135555999,OK
M1-NETWORK_m1p5_s206_EB,M1_NETWORK,1.5,0.26483051897116483,0.0018194914277634194,0.2642260219628977,0.0026301102754340143,0.002298371341739263,OK
M1-NETWORK_m1p5_s207_EC,M1_NETWORK,1.5,0.263518946757596,3.2476986130753294e-05,0.263474143060123,0.0026348646977146528,0.00017004173881067012,OK
M1-NETWORK_m1p5_s208_ED,M1_NETWORK,1.5,0.2330623539289414,0.0025475738768245726,0.2346504629403575,0.002305147800521168,-0.006889402107131929,OK
M1-NETWORK_m1p5_s209_EA,M1_NETWORK,1.5,0.21078775768254362,0.0061115053362259895,0.21427804779794707,0.002046762523463176,-0.017052736091228534,OK
M1-NETWORK_m1p5_s210_EB,M1_NETWORK,1.5,0.2650786332380301,0.002180192076446957,0.26436534147393104,0.0026289844116158317,0.0027131836953749357,OK
M1-NETWORK_m1p5_s211_EC,M1_NETWORK,1.5,0.26350858661006527,3.931041582345529e-05,0.2634602274829932,0.002634692761942418,0.00018354750037880458,OK
M1-NETWORK_m1p5_s212_ED,M1_NETWORK,1.5,0.22877022732404959,0.002905129454219959,0.2305976497624456,0.002258650978698296,-0.008090769470939669,OK
M1-NETWORK_m1p5_s213_EA,M1_NETWORK,1.5,0.2023928683143825,0.007288403900240331,0.20649980315503866,0.0019510446441414215,-0.021049927550291798,OK
M1-NETWORK_m1p5_s214_EB,M1_NETWORK,1.5,0.2653292564437624,0.002545786409570542,0.2645075758725539,0.002627834700341918,0.0031268350749060797,OK
M1-NETWORK_m1p5_s215_EC,M1_NETWORK,1.5,0.26349825375997254,4.614241032920159e-05,0.2634463392747353,0.002634521113496433,0.0001970547321533271,OK
M1-NETWORK_m1p5_s216_ED,M1_NETWORK,1.5,0.22449755657952208,0.0032646726765109455,0.22656674423471587,0.0022123288390301114,-0.00935298414362729,OK
M1-NETWORK_m1p5_s217_EA,M1_NETWORK,1.5,0.19417247117398245,0.008556107229888728,0.19891038778506315,0.0018561636394409373,-0.02552531743649346,OK
M1-NETWORK_m1p5_s218_EB,M1_NETWORK,1.5,0.2655824064853914,0.002916394748613905,0.2646527737115246,0.002626660117367775,0.0035392198926687203,OK
M1-NETWORK_m1p5_s219_EC,M1_NETWORK,1.5,0.26348794820200677,5.2973138490975065e-05,0.2634324784327373,0.002634349750635158,0.0002105634198953681,OK
M1-NETWORK_m1p5_s220_ED,M1_NETWORK,1.5,0.22024573048658583,0.0036272749204263274,0.22255928203447883,0.002166184555661595,-0.010680306725695393,OK
M2-MACHINE_m0p0_s201_EA,M2_MACHINE,0.0,0.03843856459803053,0.0012173761852464172,0.03660508949208578,0.00037221188412784115,0.04925890827588455,OK
M2-MACHINE_m0p0_s202_EB,M2_MACHINE,0.0,6.390785224751081e-05,6.390785224751081e-05,0.0018300118783198818,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M2-MACHINE_m0p0_s203_EC,M2_MACHINE,0.0,0.00026986692433311423,4.20635222973474e-06,0.00026701240970314035,2.656605721033795e-06,0.010744969068511575,OK
M2-MACHINE_m0p0_s204_ED,M2_MACHINE,0.0,0.02893037644237568,0.00042521267649720917,0.02765087263016243,0.0002850516376587847,0.04488673781081226,OK
M2-MACHINE_m0p0_s205_EA,M2_MACHINE,0.0,0.0479936170822202,0.001921318530643542,0.045662698033958705,0.0004607229855157666,0.05059263638978418,OK
M2-MACHINE_m0p0_s206_EB,M2_MACHINE,0.0,9.727200485177069e-05,9.727200485177069e-05,0.002260088609797971,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M2-MACHINE_m0p0_s207_EC,M2_MACHINE,0.0,0.00034182949347468455,5.319474712706186e-06,0.0003382163339588611,3.3651001876197835e-06,0.010737152876209275,OK
M2-MACHINE_m0p0_s208_ED,M2_MACHINE,0.0,0.0337371194912127,0.0005824247664772838,0.032238931138067826,0.0003315469472473541,0.0451878192691405,OK
M2-MACHINE_m0p0_s209_EA,M2_MACHINE,0.0,0.05753898812955717,0.0027868799162859012,0.054687592853346935,0.0005475210821327127,0.052078273682237726,OK
M2-MACHINE_m0p0_s210_EB,M2_MACHINE,0.0,0.0001378140798451142,0.0001378140798451142,0.002690167216800248,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M2-MACHINE_m0p0_s211_EC,M2_MACHINE,0.0,0.00041379125285230414,6.429043289258604e-06,0.0004094205212584537,4.0736220956304556e-06,0.010729349682531154,OK
M2-MACHINE_m0p0_s212_ED,M2_MACHINE,0.0,0.038540195726037785,0.0007659122846814824,0.03682138170246526,0.000377742834413563,0.04550222709693333,OK
M2-MACHINE_m0p0_s213_EA,M2_MACHINE,0.0,0.06708143438279741,0.003813887752223567,0.06368329111499889,0.0006326754663057385,0.05371068500001533,OK
M2-MACHINE_m0p0_s214_EB,M2_MACHINE,0.0,0.0001855714072793538,0.0001855714072793538,0.0031203425213154902,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M2-MACHINE_m0p0_s215_EC,M2_MACHINE,0.0,0.0004857521942115623,7.535065573679929e-06,0.0004806249725382204,4.782171286378824e-06,0.010721534981287544,OK
M2-MACHINE_m0p0_s216_ED,M2_MACHINE,0.0,0.043339845665039775,0.0009756791938096435,0.041398312944508346,0.0004236416647123013,0.04582959803658451,OK
M2-MACHINE_m0p0_s217_EA,M2_MACHINE,0.0,0.07662790402258206,0.005002208399008377,0.07265463046208502,0.0007162569562357368,0.05547273957908135,OK
M2-MACHINE_m0p0_s218_EB,M2_MACHINE,0.0,0.0002405663106547451,0.0002405663106547451,0.003550709118261769,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M2-MACHINE_m0p0_s219_EC,M2_MACHINE,0.0,0.0005577123257904518,8.637569683277391e-06,0.0005518296883649751,5.490747561071744e-06,0.010713727702914885,OK
M2-MACHINE_m0p0_s220_ED,M2_MACHINE,0.0,0.04813631426908849,0.0012117196222136398,0.045969815553971845,0.0004692459464687485,0.04616979073384347,OK
M2-MACHINE_m0p5_s201_EA,M2_MACHINE,0.5,0.038439258736022,0.0012111938558299281,0.03660689757185826,0.0003722806488019207,0.0492198874709355,OK
M2-MACHINE_m0p5_s202_EB,M2_MACHINE,0.5,6.344438978882028e-05,6.344438978882028e-05,0.0018231213530766617,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M2-MACHINE_m0p5_s203_EC,M2_MACHINE,0.5,0.00026986686117402175,4.206643976926912e-06,0.00026698495104419533,2.6566021719709484e-06,0.010848105750393022,OK
M2-MACHINE_m0p5_s204_ED,M2_MACHINE,0.5,0.028930659011010003,0.0004234114451612014,0.02765308552217944,0.000285072475658488,0.04481574329052634,OK
M2-MACHINE_m0p5_s205_EA,M2_MACHINE,0.5,0.04799442167143205,0.0019115512104777928,0.04566546574536681,0.00046082870460954263,0.05053843006673271,OK
M2-MACHINE_m0p5_s206_EB,M2_MACHINE,0.5,9.657348942485763e-05,9.657348942485763e-05,0.0022515683367422433,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M2-MACHINE_m0p5_s207_EC,M2_MACHINE,0.5,0.00034182942847940266,5.319932110656561e-06,0.0003381815325931015,3.3650949636874606e-06,0.010840395072547358,OK
M2-MACHINE_m0p5_s208_ED,M2_MACHINE,0.5,0.03373748418427269,0.0005798961754336978,0.03224163113048236,0.00033157588008838994,0.04511344592952817,OK
M2-MACHINE_m0p5_s209_EA,M2_MACHINE,0.5,0.05753973031918908,0.0027727303480091737,0.054691453657652454,0.0005476699997117991,0.052007169701379995,OK
M2-MACHINE_m0p5_s210_EB,M2_MACHINE,0.5,0.00013683440353883767,0.00013683440353883767,0.002680012482759954,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M2-MACHINE_m0p5_s211_EC,M2_MACHINE,0.5,0.00041379119019600244,6.42964793949941e-06,0.000409378381007214,4.07361542256503e-06,0.01083266025640144,OK
M2-MACHINE_m0p5_s212_ED,M2_MACHINE,0.5,0.03854064576100292,0.0007625403645859666,0.03682460056528242,0.00037778105396416955,0.0454243318375427,OK
M2-MACHINE_m0p5_s213_EA,M2_MACHINE,0.5,0.06708186429660826,0.003794558960262056,0.06368832394249531,0.000632873053363462,0.053621185735080276,OK
M2-MACHINE_m0p5_s214_EB,M2_MACHINE,0.5,0.0001842613697951942,0.0001842613697951942,0.003108547882960041,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M2-MACHINE_m0p5_s215_EC,M2_MACHINE,0.5,0.0004857521400462762,7.535846652475699e-06,0.0004805754813258447,4.782162933938005e-06,0.010824931713835778,OK
M2-MACHINE_m0p5_s216_ED,M2_MACHINE,0.5,0.04334038159849535,0.0009713476082899633,0.041402081640255634,0.0004236903399020539,0.045748032836618435,OK
M2-MACHINE_m0p5_s217_EA,M2_MACHINE,0.5,0.07662769928610128,0.004976904210815738,0.07266084114947696,0.0007165079507528554,0.05536376996872426,OK
M2-MACHINE_m0p5_s218_EB,M2_MACHINE,0.5,0.00023887294157061913,0.00023887294157061913,0.00353726842960176,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M2-MACHINE_m0p5_s219_EC,M2_MACHINE,0.5,0.0005577122836333977,8.638556913607972e-06,0.0005517728371008242,5.490737267197898e-06,0.010817211320702347,OK
M2-MACHINE_m0p5_s220_ED,M2_MACHINE,0.5,0.04813693391972025,0.001206316012841907,0.04597416417128386,0.00046930617906878346,0.04608440810917614,OK
M2-MACHINE_m1p0_s201_EA,M2_MACHINE,1.0,0.038439969004400054,0.0012050143302205038,0.03660872051458355,0.0003723495467417955,0.049180897515269016,OK
M2-MACHINE_m1p0_s202_EB,M2_MACHINE,1.0,6.298293777449974e-05,6.298293777449974e-05,0.001816271809144503,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M2-MACHINE_m1p0_s203_EC,M2_MACHINE,1.0,0.0002698668027870036,4.207002088535638e-06,0.0002669577069519374,2.65659800698468e-06,0.010950455535303714,OK
M2-MACHINE_m1p0_s204_ED,M2_MACHINE,1.0,0.028930938787755767,0.00042162845256033833,0.027655291930420302,0.0002850931033519543,0.04474492165321334,OK
M2-MACHINE_m1p0_s205_EA,M2_MACHINE,1.0,0.04799525375195568,0.001901791676683833,0.045668247715174325,0.0004609346207527185,0.050484514115717694,OK
M2-MACHINE_m1p0_s206_EB,M2_MACHINE,1.0,9.587437766034845e-05,9.587437766034845e-05,0.002243103448553688,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M2-MACHINE_m1p0_s207_EC,M2_MACHINE,1.0,0.00034182937007079105,5.320411025159902e-06,0.00033814701675185285,3.3650895904563114e-06,0.010942809158429672,OK
M2-MACHINE_m1p0_s208_ED,M2_MACHINE,1.0,0.03373784437127809,0.0005773911751495162,0.03224432168624511,0.0003316045319612857,0.045039272418850605,OK
M2-MACHINE_m1p0_s209_EA,M2_MACHINE,1.0,0.057540518021059285,0.002758595834799445,0.05469533683284735,0.0005478192218625983,0.05193649792970482,OK
M2-MACHINE_m1p0_s210_EB,M2_MACHINE,1.0,0.00013584800598738503,0.00013584800598738503,0.0026699292308857486,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M2-MACHINE_m1p0_s211_EC,M2_MACHINE,1.0,0.0004137911293895017,6.430280410713571e-06,0.0004093365775097571,4.073608489787881e-06,0.010935149734962827,OK
M2-MACHINE_m1p0_s212_ED,M2_MACHINE,1.0,0.03854108930342553,0.0007591984666227162,0.036827806493582395,0.00037781890836802813,0.04534666666746732,OK
M2-MACHINE_m1p0_s213_EA,M2_MACHINE,1.0,0.06708236712503977,0.003775254612701601,0.06369340526607135,0.0006330711251233817,0.05353208706696175,OK
M2-MACHINE_m1p0_s214_EB,M2_MACHINE,1.0,0.00018293564954769773,0.00018293564954769773,0.003096842501981076,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M2-MACHINE_m1p0_s215_EC,M2_MACHINE,1.0,0.00048575209282794416,7.5366553686787005e-06,0.000480526392891126,4.782154374592654e-06,0.010927501555746547,OK
M2-MACHINE_m1p0_s216_ED,M2_MACHINE,1.0,0.04334090881323784,0.0009670533920205695,0.04140583332976752,0.00042373855421217274,0.045666731625779874,OK
M2-MACHINE_m1p0_s217_EA,M2_MACHINE,1.0,0.07662760706768952,0.004951635791569722,0.07266715490044383,0.000716759712761198,0.05525494941657233,OK
M2-MACHINE_m1p0_s218_EB,M2_MACHINE,1.0,0.00023715407192770882,0.00023715407192770882,0.0035239364178946656,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M2-MACHINE_m1p0_s219_EC,M2_MACHINE,1.0,0.000557712248269165,8.639590131221967e-06,0.0005517164430349318,5.4907265813794305e-06,0.01091987580399035,OK
M2-MACHINE_m1p0_s220_ED,M2_MACHINE,1.0,0.04813754242597685,0.0012009578162761013,0.045978491131313005,0.0004693658460970075,0.0459993268069534,OK
M2-MACHINE_m1p5_s201_EA,M2_MACHINE,1.5,0.03844071561355193,0.001198814412433264,0.036610551829039426,0.00037241901201118667,0.04914259813506865,OK
M2-MACHINE_m1p5_s202_EB,M2_MACHINE,1.5,6.251885569845297e-05,6.251885569845297e-05,0.0018094494160451715,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M2-MACHINE_m1p5_s203_EC,M2_MACHINE,1.5,0.00026986674180407043,4.2073819380026835e-06,0.00026693068488307573,2.6565935986606776e-06,0.011051961137280875,OK
M2-MACHINE_m1p5_s204_ED,M2_MACHINE,1.5,0.028931223230864483,0.0004198533192270122,0.027657502635841446,0.0002851136991163747,0.04467412821518417,OK
M2-MACHINE_m1p5_s205_EA,M2_MACHINE,1.5,0.04799614371488856,0.00189200547029709,0.04567103074436279,0.00046104138244591476,0.05043176294046747,OK
M2-MACHINE_m1p5_s206_EB,M2_MACHINE,1.5,9.516766064977186e-05,9.516766064977186e-05,0.0022346747932886373,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M2-MACHINE_m1p5_s207_EC,M2_MACHINE,1.5,0.0003418293006345202,5.3209335803100755e-06,0.0003381127713649005,3.365083670542101e-06,0.011044388887426882,OK
M2-MACHINE_m1p5_s208_ED,M2_MACHINE,1.5,0.03373821024299381,0.0005748963808070817,0.032247016850538573,0.0003316331386218673,0.04496515030590827,OK
M2-MACHINE_m1p5_s209_EA,M2_MACHINE,1.5,0.05754139155669501,0.002744428584387922,0.05469921361833763,0.0005479696297230708,0.051867435423268604,OK
M2-MACHINE_m1p5_s210_EB,M2_MACHINE,1.5,0.00013484695602972488,0.00013484695602972488,0.002659892157282007,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M2-MACHINE_m1p5_s211_EC,M2_MACHINE,1.5,0.00041379106601602343,6.430990085879688e-06,0.00040929510521818747,4.073600759301437e-06,0.01103682236795083,OK
M2-MACHINE_m1p5_s212_ED,M2_MACHINE,1.5,0.03854153966650749,0.0007558694437974214,0.03683101727025656,0.00037785670222710067,0.045269076508873476,OK
M2-MACHINE_m1p5_s213_EA,M2_MACHINE,1.5,0.06708299097632103,0.003755911324205458,0.06369847504667486,0.0006332707965211558,0.053445002489280434,OK
M2-MACHINE_m1p5_s214_EB,M2_MACHINE,1.5,0.0001815869233241572,0.0001815869233241572,0.003085194014651288,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M2-MACHINE_m1p5_s215_EC,M2_MACHINE,1.5,0.00048575203220093175,7.5375627108853494e-06,0.00048047768048829434,4.782144694900464e-06,0.01102925998508966,OK
M2-MACHINE_m1p5_s216_ED,M2_MACHINE,1.5,0.04334144412281132,0.0009627756030638184,0.04140959006617026,0.00042378668519747504,0.045585529798815125,OK
M2-MACHINE_m1p5_s217_EA,M2_MACHINE,1.5,0.07662767881150168,0.004926322225213918,0.07267345532649493,0.0007170135658628775,0.05514851703326001,OK
M2-MACHINE_m1p5_s218_EB,M2_MACHINE,1.5,0.00023540367969669912,0.00023540367969669912,0.003510672672846735,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M2-MACHINE_m1p5_s219_EC,M2_MACHINE,1.5,0.0005577122008582403,8.640665955931436e-06,0.00055166050089703,5.490715349023089e-06,0.011021696767229316,OK
M2-MACHINE_m1p5_s220_ED,M2_MACHINE,1.5,0.04813816051126734,0.0011956197406460757,0.04598282332571459,0.0004694254077062127,0.04591436999723831,OK
M6-OPERATING-POINT_m0p0_s201_EA,M6_OPERATING_POINT,0.0,0.03843856459803053,0.0012173761852464172,0.03660508949208578,0.00037221188412784115,0.04925890827588455,OK
M6-OPERATING-POINT_m0p0_s202_EB,M6_OPERATING_POINT,0.0,6.390785224751081e-05,6.390785224751081e-05,0.0018300118783198818,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M6-OPERATING-POINT_m0p0_s203_EC,M6_OPERATING_POINT,0.0,0.00026986692433311423,4.20635222973474e-06,0.00026701240970314035,2.656605721033795e-06,0.010744969068511575,OK
