case_id,family,m,R0_TVE_percent,R1_TVE_percent,R2A_TVE_percent,oracle_gap,closure,status
M1-NETWORK_m0p0_s201_EA,M1_NETWORK,0.0,0.03843856459803053,0.0012173761852464172,0.03660508949208578,0.00037221188412784115,0.04925890827588455,OK
M1-NETWORK_m0p0_s202_EB,M1_NETWORK,0.0,6.390785224751081e-05,6.390785224751081e-05,0.0018300118783198818,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M1-NETWORK_m0p0_s203_EC,M1_NETWORK,0.0,0.00026986692433311423,4.20635222973474e-06,0.00026701240970314035,2.656605721033795e-06,0.010744969068511575,OK
M1-NETWORK_m0p0_s204_ED,M1_NETWORK,0.0,0.02893037644237568,0.00042521267649720917,0.02765087263016243,0.0002850516376587847,0.04488673781081226,OK
M1-NETWORK_m0p0_s205_EA,M1_NETWORK,0.0,0.0479936170822202,0.001921318530643542,0.045662698033958705,0.0004607229855157666,0.05059263638978418,OK
M1-NETWORK_m0p0_s206_EB,M1_NETWORK,0.0,9.727200485177069e-05,9.727200485177069e-05,0.002260088609797971,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M1-NETWORK_m0p0_s207_EC,M1_NETWORK,0.0,0.00034182949347468455,5.319474712706186e-06,0.0003382163339588611,3.3651001876197835e-06,0.010737152876209275,OK
M1-NETWORK_m0p0_s208_ED,M1_NETWORK,0.0,0.0337371194912127,0.0005824247664772838,0.032238931138067826,0.0003315469472473541,0.0451878192691405,OK
M1-NETWORK_m0p0_s209_EA,M1_NETWORK,0.0,0.05753898812955717,0.0027868799162859012,0.054687592853346935,0.0005475210821327127,0.052078273682237726,OK
M1-NETWORK_m0p0_s210_EB,M1_NETWORK,0.0,0.0001378140798451142,0.0001378140798451142,0.002690167216800248,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M1-NETWORK_m0p0_s211_EC,M1_NETWORK,0.0,0.00041379125285230414,6.429043289258604e-06,0.0004094205212584537,4.0736220956304556e-06,0.010729349682531154,OK
M1-NETWORK_m0p0_s212_ED,M1_NETWORK,0.0,0.038540195726037785,0.0007659122846814824,0.03682138170246526,0.000377742834413563,0.04550222709693333,OK
M1-NETWORK_m0p0_s213_EA,M1_NETWORK,0.0,0.06708143438279741,0.003813887752223567,0.06368329111499889,0.0006326754663057385,0.05371068500001533,OK
M1-NETWORK_m0p0_s214_EB,M1_NETWORK,0.0,0.0001855714072793538,0.0001855714072793538,0.0031203425213154902,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M1-NETWORK_m0p0_s215_EC,M1_NETWORK,0.0,0.0004857521942115623,7.535065573679929e-06,0.0004806249725382204,4.782171286378824e-06,0.010721534981287544,OK
M1-NETWORK_m0p0_s216_ED,M1_NETWORK,0.0,0.043339845665039775,0.0009756791938096435,0.041398312944508346,0.0004236416647123013,0.04582959803658451,OK
M1-NETWORK_m0p0_s217_EA,M1_NETWORK,0.0,0.07662790402258206,0.005002208399008377,0.07265463046208502,0.0007162569562357368,0.05547273957908135,OK
M1-NETWORK_m0p0_s218_EB,M1_NETWORK,0.0,0.0002405663106547451,0.0002405663106547451,0.003550709118261769,0.0,,NOT_IDENTIFIABLE_LOW_GAP
M1-NETWORK_m0p0_s219_EC,M1_NETWORK,0.0,0.0005577123257904518,8.637569683277391e-06,0.0005518296883649751,5.490747561071744e-06,0.010713727702914885,OK
M1-NETWORK_m0p0_s220_ED,M1_NETWORK,0.0,0.04813631426908849,0.0012117196222136398,0.045969815553971845,0.0004692459464687485,0.04616979073384347,OK
M1-NETWORK_m0p5_s201_EA,M1_NETWORK,0.5,0.0563917471081229,0.0016210407178878098,0.05956402802679451,0.0005477070639023509,-0.057919298978352886,OK
M1-NETWORK_m0p5_s202_EB,M1_NETWORK,0.5,0.08929769282035006,0.0005182992379716166,0.08884193678189482,0.0008877939358237845,0.005133579089299997,OK
M1-NETWORK_m0p5_s203_EC,M1_NETWORK,0.5,0.08890008909962437,1.0119265150755831e-05,0.08887737845858584,0.0008888996983447361,0.00025549160474243776,OK
M1-NETWORK_m0p5_s204_ED,M1_NETWORK,0.5,0.06401566959938873,0.0007535391567282297,0.06565033038543308,0.000632621304426605,-0.025839483662757335,OK
M1-NETWORK_m0p5_s205_EA,M1_NETWORK,0.5,0.05023896367507987,0.0023165356108701116,0.05486365748421424,0.00047922428064209755,-0.09650374565616529,OK
M1-NETWORK_m0p5_s206_EB,M1_NETWORK,0.5,0.08938762949530445,0.0006534639148441996,0.08883406884118333,0.0008873416558046025,0.006238416178255118,OK
M1-NETWORK_m0p5_s207_EC,M1_NETWORK,0.5,0.08888882214928166,1.28139402070009e-05,0.0888625696326151,0.0008887600820907466,0.0002953836158437867,OK
