true_source,predicted_source,J_gj,confusion_rate
3,4,92261278.54809779,0.03
3,7,328276325.57731736,0.018333333333333333
3,8,343030699.73523504,0.0
3,12,76187091.382931,0.09666666666666666
3,15,97529675.63489568,0.02
3,16,22276012.541568637,0.008333333333333333
3,18,14267985.33969903,0.15166666666666667
3,20,27951411.63108301,0.0
3,21,87103791.24880862,0.008333333333333333
3,23,118624267.30312496,0.008333333333333333
3,24,28179694.667180896,0.005
3,25,33076715.678856313,0.051666666666666666
3,26,123910243.32303217,0.021666666666666667
3,27,224013049.29957256,0.0
3,28,113255267.1993542,0.0033333333333333335
4,3,112894961.53722304,0.0016666666666666668
4,7,448489966.15318394,0.005
4,8,449879034.58468974,0.0
4,12,249928081.60540324,0.065
4,15,124932636.32369655,0.03166666666666667
4,16,149069288.44353735,0.0
4,18,101673401.89912933,0.05333333333333334
4,20,171927931.9297238,0.0
4,21,174759206.92372197,0.005
4,23,255523759.26404107,0.0
4,24,185802006.74957535,0.0
4,25,180345261.30170393,0.011666666666666667
4,26,269553747.7651261,0.023333333333333334
4,27,340798458.28889215,0.0016666666666666668
4,28,269024976.00999486,0.0
7,3,110390704.89605393,0.0
7,4,123251037.24148418,0.0016666666666666668
7,8,6458352.376036763,0.03
7,12,108418972.00642474,0.12166666666666667
7,15,116922427.48245414,0.016666666666666666
7,16,109165296.55893713,0.0
7,18,110462507.64899883,0.018333333333333333
7,20,109715582.2793853,0.0
7,21,109172933.0124818,0.005
7,23,114762404.12009509,0.006666666666666667
7,24,108870093.5234666,0.0
7,25,108818862.55537409,0.0033333333333333335
7,26,115824181.29108708,0.013333333333333334
7,27,120485396.44497798,0.0016666666666666668
7,28,115516072.28562024,0.0
8,3,712475013.6419488,0.0
8,4,763620031.4507449,0.0
8,7,39890129.22864342,0.21166666666666667
8,12,690893988.4639972,0.016666666666666666
8,15,742794742.0751715,0.006666666666666667
8,16,706707687.1457312,0.0
8,18,713378952.1719298,0.0
8,20,708861929.9434452,0.0
8,21,704956549.0885565,0.0
8,23,729301011.0614629,0.0
8,24,704080318.5866067,0.0
8,25,701095527.0395137,0.0016666666666666668
8,26,732581675.811009,0.0016666666666666668
8,27,752066973.1190511,0.0016666666666666668
8,28,731428621.0415791,0.0
12,3,5862301.059618473,0.0016666666666666668
12,4,15716168.943469262,0.011666666666666667
12,7,24808417.758251622,0.03
12,8,25595374.539927084,0.0016666666666666668
12,15,15405503.562876435,0.02
12,16,5734193.012654431,0.0016666666666666668
12,18,7922421.8621794395,0.051666666666666666
12,20,4618875.57089616,0.0
12,21,12917562.393589223,0.011666666666666667
12,23,9635160.096206393,0.015
12,24,3713347.110988561,0.0016666666666666668
12,25,7768305.562787581,0.011666666666666667
12,26,12019641.602385193,0.03666666666666667
12,27,18918621.51453499,0.005
12,28,10708964.412224684,0.0016666666666666668
15,3,29380418.89030677,0.0
15,4,30756861.494454235,0.008333333333333333
15,7,104743259.39692193,0.013333333333333334
15,8,107734146.4961739,0.0016666666666666668
15,12,60312923.21057293,0.12333333333333334
15,16,20268227.684418008,0.0016666666666666668
15,18,15003763.286531866,0.10333333333333333
15,20,29128221.163391575,0.0
15,21,13790943.010829136,0.045
15,23,55215029.42753065,0.0033333333333333335
15,24,35521482.38817307,0.0
15,25,50472674.84621361,0.0033333333333333335
15,26,78062793.99317007,0.03
15,27,96227386.20075777,0.0033333333333333335
15,28,76742321.40364686,0.0
16,3,25474694.82583922,0.02
16,4,139317163.47970122,0.008333333333333333
16,7,371247204.78714234,0.0033333333333333335
16,8,389112070.03820217,0.0
16,12,85223059.10905194,0.11333333333333333
16,15,76942467.02264863,0.03
16,18,12917931.99895513,0.13833333333333334
16,20,7980907.387606502,0.021666666666666667
16,21,60925744.5942893,0.02
16,23,109930699.6328097,0.023333333333333334
16,24,12480091.454663932,0.028333333333333332
16,25,97162463.08615041,0.015
16,26,208765612.0429848,0.008333333333333333
16,27,314119630.05989325,0.0
16,28,193985807.0677539,0.0
18,3,2375939.1611121595,0.016666666666666666
18,4,13836457.869437113,0.023333333333333334
18,7,54700918.227607,0.03666666666666667
18,8,57194768.15219422,0.0
18,12,17145253.139919348,0.19166666666666668
18,15,8293763.773877203,0.04833333333333333
18,16,1881023.0571758673,0.016666666666666666
18,20,4213465.66917488,0.0016666666666666668
18,21,9382177.602023691,0.03333333333333333
18,23,19642157.489676923,0.011666666666666667
18,24,5582860.645047314,0.0016666666666666668
18,25,12518563.962365516,0.015
18,26,30722243.543075383,0.025
18,27,45932632.30873175,0.0
18,28,28887638.423952885,0.005
20,3,139792377.16767693,0.013333333333333334
20,4,702701842.2978411,0.0033333333333333335
20,7,1631755606.8537056,0.0016666666666666668
20,8,1706886910.108941,0.0
20,12,300212853.68932056,0.06666666666666667
20,15,483584646.6628983,0.013333333333333334
20,16,34902816.90215206,0.056666666666666664
20,18,126545452.31962109,0.07333333333333333
20,21,388871957.1858325,0.013333333333333334
20,23,468671640.6195154,0.011666666666666667
20,24,39316824.99272752,0.04666666666666667
20,25,429682910.79475975,0.008333333333333333
