true_source,predicted_source,J_gj,confusion_rate
20,26,879527419.7436348,0.0016666666666666668
20,27,1349377993.4682274,0.0
20,28,803529188.7203058,0.0033333333333333335
21,3,56123160.54272148,0.0
21,4,92021654.1358012,0.005
21,7,209183341.90371433,0.013333333333333334
21,8,218690925.30117422,0.0
21,12,108168026.30268517,0.08166666666666667
21,15,29496998.216183603,0.07166666666666667
21,16,34326883.09055135,0.005
21,18,36302459.54398897,0.08
21,20,50099332.94854537,0.0
21,23,135236635.59796327,0.0033333333333333335
21,24,62003154.0345934,0.0
21,25,92845082.45485353,0.005
21,26,145457084.9264515,0.03
21,27,189069801.5741598,0.0033333333333333335
21,28,142234655.67610812,0.005
23,3,112299745.64305782,0.0
23,4,197688509.30968195,0.0
23,7,323081376.3544939,0.008333333333333333
23,8,332411007.1408963,0.0016666666666666668
23,12,118543416.73083636,0.12833333333333333
23,15,173516721.76002944,0.021666666666666667
23,16,91002366.29404071,0.0
23,18,111666205.0831531,0.03333333333333333
23,20,88714408.36036316,0.0
23,21,198698471.2791252,0.0016666666666666668
23,24,64966750.10220027,0.0033333333333333335
23,25,157415847.90783763,0.0016666666666666668
23,26,219292864.2739156,0.018333333333333333
23,27,285747834.48960674,0.0016666666666666668
23,28,208870063.94471234,0.0
24,3,64248494.981181145,0.01
24,4,346195951.40905225,0.0016666666666666668
24,7,738146098.8440764,0.0033333333333333335
24,8,772880288.2151268,0.0
24,12,110028577.66666842,0.13
24,15,268841650.86577165,0.013333333333333334
24,16,24881290.80687797,0.028333333333333332
24,18,76438261.63966846,0.09
24,20,17923605.268655896,0.013333333333333334
24,21,219399380.06819618,0.008333333333333333
24,23,156463336.88878834,0.03
24,25,182640430.65954828,0.013333333333333334
24,26,378391323.3523339,0.008333333333333333
24,27,595710572.5348829,0.0
24,28,344444312.0654842,0.0016666666666666668
25,3,12901491.11281398,0.011666666666666667
25,4,57486672.562738225,0.011666666666666667
25,7,126220171.70216477,0.021666666666666667
25,8,131661280.51000617,0.0
25,12,39378312.682339534,0.13833333333333334
25,15,65351061.31071703,0.016666666666666666
25,16,33139389.74882473,0.0
25,18,29322390.873739436,0.03666666666666667
25,20,33510882.472239316,0.0
25,21,56204536.66177167,0.005
25,23,64857581.60779002,0.005
25,24,31245521.25974658,0.0
25,26,18822356.21646282,0.09166666666666666
25,27,50648895.53937122,0.011666666666666667
25,28,19215699.912149698,0.01
26,3,27435818.390309162,0.0
26,4,48775417.203366,0.006666666666666667
26,7,76263547.96201313,0.021666666666666667
26,8,78096237.6494529,0.0
26,12,34587207.83296446,0.14833333333333334
26,15,57376439.86536892,0.016666666666666666
26,16,40420170.05266643,0.0
26,18,40849897.941134036,0.015
26,20,38938601.434375905,0.0
26,21,49985095.663159125,0.008333333333333333
26,23,51289678.889468506,0.005
26,24,36747280.40041593,0.0
26,25,10684819.020229131,0.03
26,27,8339138.355695307,0.03833333333333333
26,28,1641167.696725577,0.055
27,3,187947742.72173524,0.0
27,4,233671812.15544987,0.0016666666666666668
27,7,300611274.26061755,0.011666666666666667
27,8,303797128.3783565,0.0
27,12,206284482.97662157,0.07166666666666667
27,15,268004003.7732442,0.005
27,16,230455637.9540167,0.0
27,18,231426170.88932157,0.011666666666666667
27,20,226369376.8589961,0.0
27,21,246195949.26321024,0.0033333333333333335
27,23,253245370.31040287,0.0
27,24,219216090.68443924,0.0
27,25,108947243.98305282,0.0016666666666666668
27,26,31599067.462158263,0.13333333333333333
27,28,56454953.99455857,0.0016666666666666668
28,3,65704655.70982826,0.0016666666666666668
28,4,127548467.53817984,0.005
28,7,199290779.52993554,0.016666666666666666
28,8,204302196.67947835,0.0
28,12,80741810.96309681,0.10666666666666667
28,15,147792182.81827578,0.006666666666666667
28,16,98409302.71482703,0.0
28,18,100641502.79402177,0.015
28,20,93209386.22201957,0.0
28,21,128067254.41829857,0.008333333333333333
28,23,127999627.26893869,0.0016666666666666668
28,24,87645591.58386166,0.0
28,25,28580933.887658536,0.021666666666666667
28,26,4300114.159911007,0.24333333333333335
28,27,39036960.60340512,0.023333333333333334
