method,reference,event,estimate,lower,upper,n_scenarios
D2_true_z,D0_none,1,0.3162393162393163,0.20512820512820512,0.4358974358974358,39
D2_true_z,D3_permuted_z,1,0.21367521367521364,0.09401709401709403,0.32499999999999696,39
event_conditioned,D2_true_z,2,0.09803921568627451,-0.049019607843137254,0.2450980392156863,34
