case_id,m,runtime_ms,iterations,ac_residual,converged
M6-OPERATING-POINT_m1p0_s618_EB,1.0,61.08250000397675,5,1.0490857071943083e-08,True
M6-OPERATING-POINT_m1p0_s619_EC,1.0,61.18859999696724,5,6.389139346474337e-07,True
M6-OPERATING-POINT_m1p0_s620_ED,1.0,59.48450000141747,5,2.8382018330885828e-05,True
M6-OPERATING-POINT_m1p0_s621_EA,1.0,59.52670000260696,5,2.270166847906374e-05,True
M6-OPERATING-POINT_m1p0_s622_EB,1.0,61.088899994501844,5,1.0490857071943083e-08,True
M6-OPERATING-POINT_m1p0_s623_EC,1.0,60.823600011644885,5,3.1045202719681697e-07,True
M6-OPERATING-POINT_m1p0_s624_ED,1.0,58.721099980175495,5,1.7023314613284768e-05,True
M6-OPERATING-POINT_m1p0_s625_EA,1.0,60.427999997045845,5,2.8382018330885828e-05,True
M6-OPERATING-POINT_m1p0_s626_EB,1.0,64.51060000108555,5,1.0490857071943083e-08,True
M6-OPERATING-POINT_m1p0_s627_EC,1.0,60.68920000689104,5,3.9256781048102596e-07,True
M6-OPERATING-POINT_m1p0_s628_ED,1.0,60.758400009945035,5,1.9862242061963187e-05,True
M6-OPERATING-POINT_m1p0_s629_EA,1.0,61.955399985890836,5,3.4064362399055526e-05,True
M6-OPERATING-POINT_m1p0_s630_EB,1.0,60.32490002689883,5,1.0490857071943083e-08,True
M6-OPERATING-POINT_m1p5_s611_EC,1.5,62.22270001308061,5,4.826453423589783e-07,True
M6-OPERATING-POINT_m1p5_s612_ED,1.5,60.99040000117384,5,2.306010043451323e-05,True
M6-OPERATING-POINT_m1p5_s613_EA,1.5,61.511100007919595,6,4.037643328480556e-05,True
M6-OPERATING-POINT_m1p5_s614_EB,1.5,61.41859997296706,5,1.5768304106877906e-08,True
M6-OPERATING-POINT_m1p5_s615_EC,1.5,60.466599999926984,5,5.659263180302077e-07,True
M6-OPERATING-POINT_m1p5_s616_ED,1.5,60.95439998898655,5,2.5944875746919394e-05,True
M6-OPERATING-POINT_m1p5_s617_EA,1.5,61.471099994378164,5,4.6152637084295733e-05,True
M6-OPERATING-POINT_m1p5_s618_EB,1.5,70.98469999618828,5,1.5768304106877906e-08,True
M6-OPERATING-POINT_m1p5_s619_EC,1.5,68.37960000848398,5,6.492070836472408e-07,True
M6-OPERATING-POINT_m1p5_s620_ED,1.5,75.3944999887608,5,2.8830163462112424e-05,True
M6-OPERATING-POINT_m1p5_s621_EA,1.5,69.06499998876825,5,2.306010043451323e-05,True
M6-OPERATING-POINT_m1p5_s622_EB,1.5,65.9217000065837,5,1.5768304106877906e-08,True
M6-OPERATING-POINT_m1p5_s623_EC,1.5,79.1495000012219,5,3.160827690695811e-07,True
M6-OPERATING-POINT_m1p5_s624_ED,1.5,75.96390001708642,5,1.7292087307163584e-05,True
M6-OPERATING-POINT_m1p5_s625_EA,1.5,74.11650000722148,5,2.8830163462112424e-05,True
M6-OPERATING-POINT_m1p5_s626_EB,1.5,75.061999988975,5,1.5768304106877906e-08,True
M6-OPERATING-POINT_m1p5_s627_EC,1.5,74.23930001095869,5,3.9936415685559723e-07,True
M6-OPERATING-POINT_m1p5_s628_ED,1.5,69.85830000485294,5,2.0175837524449847e-05,True
M6-OPERATING-POINT_m1p5_s629_EA,1.5,69.33009999920614,5,3.4602274902040264e-05,True
M6-OPERATING-POINT_m1p5_s630_EB,1.5,69.99690001248382,5,1.5768304106877906e-08,True
