case_id,m,runtime_ms,iterations,ac_residual,converged
M6-OPERATING-POINT_m0p5_s611_EC,0.5,63.02910001249984,5,4.6671733300307494e-07,True
M6-OPERATING-POINT_m0p5_s612_ED,0.5,45.01359999994747,4,2.2344021521458757e-05,True
M6-OPERATING-POINT_m0p5_s613_EA,0.5,43.525599990971386,4,3.912234497605027e-05,True
M6-OPERATING-POINT_m0p5_s614_EB,0.5,64.7027000086382,5,5.234750299898394e-09,True
M6-OPERATING-POINT_m0p5_s615_EC,0.5,66.26280001364648,5,5.476662021663969e-07,True
M6-OPERATING-POINT_m0p5_s616_ED,0.5,47.5354999944102,4,2.5139195820367277e-05,True
M6-OPERATING-POINT_m0p5_s617_EA,0.5,47.02919998089783,4,4.4718997479042955e-05,True
M6-OPERATING-POINT_m0p5_s618_EB,0.5,62.52070001210086,5,5.234750299898394e-09,True
M6-OPERATING-POINT_m0p5_s619_EC,0.5,62.327499996172264,5,6.286148752643328e-07,True
M6-OPERATING-POINT_m0p5_s620_ED,0.5,49.025599990272895,4,2.793485560692588e-05,True
M6-OPERATING-POINT_m0p5_s621_EA,0.5,46.31170001812279,4,2.2344021521458757e-05,True
M6-OPERATING-POINT_m0p5_s622_EB,0.5,60.76520000351593,5,5.234750299898394e-09,True
M6-OPERATING-POINT_m0p5_s623_EC,0.5,59.965699998429045,5,3.048190075904955e-07,True
M6-OPERATING-POINT_m0p5_s624_ED,0.5,46.5826999861747,4,1.6755129615519948e-05,True
M6-OPERATING-POINT_m0p5_s625_EA,0.5,44.08220000914298,4,2.793485560692588e-05,True
M6-OPERATING-POINT_m0p5_s626_EB,0.5,77.61959999334067,5,5.234750299898394e-09,True
M6-OPERATING-POINT_m0p5_s627_EC,0.5,70.82990001072176,5,3.8576826089098404e-07,True
M6-OPERATING-POINT_m0p5_s628_ED,0.5,55.29799999203533,4,1.9549332707313738e-05,True
M6-OPERATING-POINT_m0p5_s629_EA,0.5,50.93999998643994,4,3.3527630629803795e-05,True
M6-OPERATING-POINT_m0p5_s630_EB,0.5,69.73439999273978,5,5.234750299898394e-09,True
M6-OPERATING-POINT_m1p0_s611_EC,1.0,73.54070001747459,5,4.746833350832702e-07,True
M6-OPERATING-POINT_m1p0_s612_ED,1.0,75.1610999868717,5,2.270166847906374e-05,True
M6-OPERATING-POINT_m1p0_s613_EA,1.0,78.14379999763332,5,3.974869936307357e-05,True
M6-OPERATING-POINT_m1p0_s614_EB,1.0,68.1779999868013,5,1.0490857071943083e-08,True
M6-OPERATING-POINT_m1p0_s615_EC,1.0,63.30800001160242,5,5.567987853005718e-07,True
M6-OPERATING-POINT_m1p0_s616_ED,1.0,62.54400001489557,5,2.5541594154132596e-05,True
M6-OPERATING-POINT_m1p0_s617_EA,1.0,60.76389999361709,5,4.5435027786311366e-05,True
