method,n_trajectories,complex_rmse,complex_rmse_median,complex_rmse_p95,complex_rmse_ci95_low,complex_rmse_ci95_high,vm_rmse,vm_rmse_median,vm_rmse_p95,vm_rmse_ci95_low,vm_rmse_ci95_high,angle_rmse,angle_rmse_median,angle_rmse_p95,angle_rmse_ci95_low,angle_rmse_ci95_high,TVE_fraction,TVE_fraction_median,TVE_fraction_p95,TVE_fraction_ci95_low,TVE_fraction_ci95_high,TVE_percent,TVE_percent_median,TVE_percent_p95,TVE_percent_ci95_low,TVE_percent_ci95_high,worst_trajectory
B0_NOMINAL,100,0.003486304875554676,0.002810765294923233,0.008050070233378023,0.0030051082700241157,0.0039701398689937235,2.496199898985344e-05,2.1157490720614704e-05,5.731198398887942e-05,2.1451318138211418e-05,2.8482508668656498e-05,0.19496959237031375,0.15719444718486383,0.45021177262572276,0.16805769752629376,0.22202916693332744,0.0034020031330271373,0.002743130345633284,0.007856551769899273,0.002932314352897515,0.0038742832730200225,0.3402003133027138,0.2743130345633284,0.7856551769899273,0.2932314352897515,0.3874283273020023,TEST_62
B1_SNAPSHOT_WLS,100,0.0001529089837769882,0.0001432535754108949,0.00034881926304544523,0.00013032329264689137,0.00017558491521475034,5.090864893967486e-05,4.9443905671487276e-05,0.00011852692814164271,4.293651229734972e-05,5.910271609049354e-05,0.008212709715031699,0.007659955450601774,0.018706010368071423,0.00701294997804477,0.009423725478027866,9.903979406479523e-05,9.640493357892296e-05,0.0002304040562670171,8.342372437523296e-05,0.00011514490524973492,0.00990397940647952,0.009640493357892296,0.02304040562670171,0.008342372437523294,0.011514490524973489,TEST_62
B2_KALMAN,100,0.0001337807786193664,0.00013202113407528556,0.00031429641048166465,0.0001111816637313999,0.00015691171807237763,4.235456693703114e-05,4.148890078945377e-05,0.00010039564772822178,3.5207625414762706e-05,4.96765816833515e-05,0.007224258951777345,0.007136608147246765,0.016957604989699213,0.0060027025946488765,0.008474011417988788,9.634399125132368e-05,9.504370731993714e-05,0.00022657992721782682,8.006136272207885e-05,0.00011302490849118101,0.009634399125132368,0.009504370731993714,0.022657992721782684,0.008006136272207887,0.011302490849118106,TEST_62
