case_id,m,coverage50,coverage90,coverage95,NLL,NEES_like,median_hidden_variance
M6-OPERATING-POINT_m0p5_s611_EC,0.5,1.0,1.0,1.0,-6.200144283166674,18.88111637440661,7.93048917587466e-07
M6-OPERATING-POINT_m0p5_s612_ED,0.5,1.0,1.0,1.0,-6.190206121498988,338.6181881623226,7.931780830639e-07
M6-OPERATING-POINT_m0p5_s613_EA,0.5,0.967741935483871,1.0,1.0,-6.172981924263876,960.1194243320272,7.932781944732457e-07
M6-OPERATING-POINT_m0p5_s614_EB,0.5,1.0,1.0,1.0,-6.200148542449904,19.011382898155865,7.93044893949867e-07
M6-OPERATING-POINT_m0p5_s615_EC,0.5,1.0,1.0,1.0,-6.200143156783673,18.877042555526877,7.930496173742926e-07
M6-OPERATING-POINT_m0p5_s616_ED,0.5,1.0,1.0,1.0,-6.187917571621201,419.4400863162077,7.93194755208837e-07
M6-OPERATING-POINT_m0p5_s617_EA,0.5,0.967741935483871,1.0,1.0,-6.165375761326154,1240.212404579987,7.933116068924943e-07
M6-OPERATING-POINT_m0p5_s618_EB,0.5,1.0,1.0,1.0,-6.200148542449904,19.011382898155865,7.93044893949867e-07
M6-OPERATING-POINT_m0p5_s619_EC,0.5,1.0,1.0,1.0,-6.200141916152261,18.878474170272586,7.930503170340924e-07
M6-OPERATING-POINT_m0p5_s620_ED,0.5,1.0,1.0,1.0,-6.1853962968338045,509.36029012398967,7.932114326582239e-07
M6-OPERATING-POINT_m0p5_s621_EA,0.5,1.0,1.0,1.0,-6.190206121498988,338.6181881623226,7.931780830639e-07
M6-OPERATING-POINT_m0p5_s622_EB,0.5,1.0,1.0,1.0,-6.200148542449904,19.011382898155865,7.93044893949867e-07
M6-OPERATING-POINT_m0p5_s623_EC,0.5,1.0,1.0,1.0,-6.200146193128441,18.90578030230169,7.930475181106406e-07
M6-OPERATING-POINT_m0p5_s624_ED,0.5,1.0,1.0,1.0,-6.1940854498179565,204.25033076207163,7.93144754408085e-07
M6-OPERATING-POINT_m0p5_s625_EA,0.5,1.0,1.0,1.0,-6.1853962968338045,509.36029012398967,7.932114326582239e-07
M6-OPERATING-POINT_m0p5_s626_EB,0.5,1.0,1.0,1.0,-6.200148542449904,19.011382898155865,7.93044893949867e-07
M6-OPERATING-POINT_m0p5_s627_EC,0.5,1.0,1.0,1.0,-6.200145295262408,18.890695598429936,7.930482179797076e-07
M6-OPERATING-POINT_m0p5_s628_ED,0.5,1.0,1.0,1.0,-6.19226204722956,266.8898557373713,7.931614161129466e-07
M6-OPERATING-POINT_m0p5_s629_EA,0.5,0.9838709677419355,1.0,1.0,-6.179655166663256,716.5147220024772,7.932448030428823e-07
M6-OPERATING-POINT_m0p5_s630_EB,0.5,1.0,1.0,1.0,-6.200148542449904,19.011382898155865,7.93044893949867e-07
M6-OPERATING-POINT_m1p0_s611_EC,1.0,1.0,1.0,1.0,-6.197746431798623,75.96096512528563,7.9311936035454e-07
M6-OPERATING-POINT_m1p0_s612_ED,1.0,0.9838709677419355,1.0,1.0,-6.184987877374235,436.76933086781816,7.932507564639534e-07
M6-OPERATING-POINT_m1p0_s613_EA,1.0,0.967741935483871,1.0,1.0,-6.165325948608283,1102.4210295296791,7.933525929229147e-07
M6-OPERATING-POINT_m1p0_s614_EB,1.0,1.0,1.0,1.0,-6.1977526513777565,76.31724204078272,7.931152755088245e-07
M6-OPERATING-POINT_m1p0_s615_EC,1.0,1.0,1.0,1.0,-6.197744953448503,75.9180975443211,7.931200707833701e-07
M6-OPERATING-POINT_m1p0_s616_ED,1.0,0.9838709677419355,1.0,1.0,-6.18231217808041,524.1435402868437,7.932677157679461e-07
M6-OPERATING-POINT_m1p0_s617_EA,1.0,0.967741935483871,1.0,1.0,-6.1568458791734395,1399.814155954742,7.933865814735768e-07
M6-OPERATING-POINT_m1p0_s618_EB,1.0,1.0,1.0,1.0,-6.1977526513777565,76.31724204078272,7.931152755088245e-07
M6-OPERATING-POINT_m1p0_s619_EC,1.0,1.0,1.0,1.0,-6.197743357557034,75.88088754373649,7.931207812766498e-07
M6-OPERATING-POINT_m1p0_s620_ED,1.0,0.967741935483871,1.0,1.0,-6.179396103948098,620.9382356119028,7.932846804310237e-07
