case_id,m,coverage50,coverage90,coverage95,NLL,NEES_like,median_hidden_variance
M6-OPERATING-POINT_m1p0_s621_EA,1.0,0.9838709677419355,1.0,1.0,-6.184987877374235,436.76933086781816,7.932507564639534e-07
M6-OPERATING-POINT_m1p0_s622_EB,1.0,1.0,1.0,1.0,-6.1977526513777565,76.31724204078272,7.931152755088245e-07
M6-OPERATING-POINT_m1p0_s623_EC,1.0,1.0,1.0,1.0,-6.1977490358896805,76.06367202727286,7.93117939654984e-07
M6-OPERATING-POINT_m1p0_s624_ED,1.0,1.0,1.0,1.0,-6.189618573888493,290.2625161362766,7.932168540025612e-07
M6-OPERATING-POINT_m1p0_s625_EA,1.0,0.967741935483871,1.0,1.0,-6.179396103948098,620.9382356119028,7.932846804310237e-07
M6-OPERATING-POINT_m1p0_s626_EB,1.0,1.0,1.0,1.0,-6.1977526513777565,76.31724204078272,7.931152755088245e-07
M6-OPERATING-POINT_m1p0_s627_EC,1.0,1.0,1.0,1.0,-6.197747792592635,76.00948992307728,7.931186500881246e-07
M6-OPERATING-POINT_m1p0_s628_ED,1.0,0.9838709677419355,1.0,1.0,-6.187423307451997,358.81064413933825,7.932338024618001e-07
M6-OPERATING-POINT_m1p0_s629_EA,1.0,0.967741935483871,1.0,1.0,-6.172842408988366,842.808922778414,7.933186259693725e-07
M6-OPERATING-POINT_m1p0_s630_EB,1.0,1.0,1.0,1.0,-6.1977526513777565,76.31724204078272,7.931152755088245e-07
M6-OPERATING-POINT_m1p5_s611_EC,1.5,1.0,1.0,1.0,-6.193714483353653,171.73819744203584,7.93188560100154e-07
M6-OPERATING-POINT_m1p5_s612_ED,1.5,0.9838709677419355,1.0,1.0,-6.178059829122104,575.0186023945824,7.933221946592285e-07
M6-OPERATING-POINT_m1p5_s613_EA,1.5,0.9516129032258065,1.0,1.0,-6.155897374718685,1286.1630632765803,7.934257621057521e-07
M6-OPERATING-POINT_m1p5_s614_EB,1.5,1.0,1.0,1.0,-6.193722554534833,172.3277744063177,7.931844138214612e-07
M6-OPERATING-POINT_m1p5_s615_EC,1.5,1.0,1.0,1.0,-6.193712671789631,171.6552741029193,7.931892811076427e-07
M6-OPERATING-POINT_m1p5_s616_ED,1.5,0.9838709677419355,1.0,1.0,-6.174986878406938,669.1511118735806,7.933394421495755e-07
M6-OPERATING-POINT_m1p5_s617_EA,1.5,0.9516129032258065,1.0,1.0,-6.146521300490917,1601.3606252432464,7.934603287348752e-07
M6-OPERATING-POINT_m1p5_s618_EB,1.5,1.0,1.0,1.0,-6.193722554534833,172.3277744063177,7.931844138214612e-07
M6-OPERATING-POINT_m1p5_s619_EC,1.5,1.0,1.0,1.0,-6.193710739386415,171.5781613842749,7.931900021782716e-07
M6-OPERATING-POINT_m1p5_s620_ED,1.5,0.967741935483871,1.0,1.0,-6.17166575795045,773.0333580418012,7.933566951920004e-07
M6-OPERATING-POINT_m1p5_s621_EA,1.5,0.9838709677419355,1.0,1.0,-6.178059829122104,575.0186023945824,7.933221946592285e-07
M6-OPERATING-POINT_m1p5_s622_EB,1.5,1.0,1.0,1.0,-6.193722554534833,172.3277744063177,7.931844138214612e-07
M6-OPERATING-POINT_m1p5_s623_EC,1.5,1.0,1.0,1.0,-6.193717743950791,171.92147642181033,7.931871178334489e-07
M6-OPERATING-POINT_m1p5_s624_ED,1.5,0.9838709677419355,1.0,1.0,-6.183461662016475,415.98209973023984,7.932877163317249e-07
M6-OPERATING-POINT_m1p5_s625_EA,1.5,0.967741935483871,1.0,1.0,-6.17166575795045,773.0333580418012,7.933566951920004e-07
M6-OPERATING-POINT_m1p5_s626_EB,1.5,1.0,1.0,1.0,-6.193722554534833,172.3277744063177,7.931844138214612e-07
M6-OPERATING-POINT_m1p5_s627_EC,1.5,1.0,1.0,1.0,-6.193716174077408,171.82693146286815,7.931878389469314e-07
M6-OPERATING-POINT_m1p5_s628_ED,1.5,0.9838709677419355,1.0,1.0,-6.180884720262844,490.6306550396696,7.933049527024285e-07
M6-OPERATING-POINT_m1p5_s629_EA,1.5,0.9516129032258065,1.0,1.0,-6.164278566945765,1010.0677336890304,7.933912176307396e-07
M6-OPERATING-POINT_m1p5_s630_EB,1.5,1.0,1.0,1.0,-6.193722554534833,172.3277744063177,7.931844138214612e-07
