metric,retrospective_value,confirmatory_value,difference
event_AUROC,0.994788,0.9896636085626912,-0.005124391437308806
event_AUPRC,0.999898,0.9999005265082186,2.526508218636536e-06
weak_weak_top1,0.1667,0.24375,0.07705000000000001
weak_strong_top1,0.6675,0.6625,-0.0050000000000000044
moderate_top1,0.9525,0.9881944444444444,0.03569444444444436
finite_top1,1.0,1.0,0.0
source_inclusion_AUROC,0.970289,0.9497109468365628,-0.020578053163437193
