candidate_bus,direction_cosine,gain_ratio,relative_trajectory_error
3,0.9998983517249159,0.9942089349784904,0.015313909961435595
4,0.9998459402277314,0.9865781128277739,0.021911648364466033
7,0.9999671224604204,0.9956188467623167,0.009185744031795824
8,0.9998514019724185,0.9921830046907042,0.01880793705357404
12,0.9999929611318084,0.9975627142329088,0.004466509476345437
15,0.999934645307456,0.9867671376924808,0.017389481809569833
16,0.9998933472935699,0.9933826857870357,0.015947233673273352
18,0.999982288701813,0.9956861342774052,0.007329939248247161
20,0.9994900624343875,0.9665509961067145,0.04552311216245135
21,0.9999519065793384,0.9921681731231725,0.012491214798459067
23,0.9998994773767322,0.9902977673039021,0.017068276080195163
24,0.9997851225055002,0.9942109184934605,0.02141130636065947
25,0.9999579576019997,0.9942221964639204,0.010793711489902519
26,0.9999758743973725,0.9963419716356721,0.007828265919772365
27,0.9999204613440793,0.9929157724034299,0.014388759829805944
28,0.9999135503080749,0.9893128908097689,0.01683626418189567
