event,fold,seed,scenario_id,correct,source,prediction,n
1,3,11,e1_BUS26_r01,False,BUS26,BUS27,9
1,3,11,e1_BUS36_r04,False,BUS36,BUS23,9
1,3,11,e1_BUS37_r00,False,BUS37,BUS25,9
1,3,29,e1_BUS1_r03,False,BUS1,BUS30,9
1,3,29,e1_BUS2_r02,False,BUS2,BUS25,9
1,3,29,e1_BUS3_r01,False,BUS3,BUS17,9
1,3,29,e1_BUS18_r03,False,BUS18,BUS17,9
1,3,29,e1_BUS22_r01,False,BUS22,BUS21,9
1,3,29,e1_BUS26_r01,False,BUS26,BUS27,9
1,3,29,e1_BUS36_r04,False,BUS36,BUS23,9
1,3,29,e1_BUS37_r00,False,BUS37,BUS25,9
1,3,47,e1_BUS1_r03,False,BUS1,BUS30,9
1,3,47,e1_BUS2_r02,False,BUS2,BUS25,9
1,3,47,e1_BUS3_r01,False,BUS3,BUS15,9
1,3,47,e1_BUS18_r03,False,BUS18,BUS17,9
1,3,47,e1_BUS22_r01,False,BUS22,BUS23,9
1,3,47,e1_BUS26_r01,False,BUS26,BUS27,9
1,3,47,e1_BUS36_r04,False,BUS36,BUS21,9
1,3,47,e1_BUS37_r00,False,BUS37,BUS25,9
1,4,11,e1_BUS6_r04,False,BUS6,BUS8,9
1,4,11,e1_BUS7_r02,False,BUS7,BUS5,9
1,4,11,e1_BUS9_r00,False,BUS9,BUS32,9
1,4,11,e1_BUS10_r02,False,BUS10,BUS11,9
1,4,11,e1_BUS15_r03,False,BUS15,BUS16,9
1,4,11,e1_BUS20_r04,False,BUS20,BUS19,9
1,4,11,e1_BUS31_r00,False,BUS31,BUS32,9
1,4,29,e1_BUS6_r04,False,BUS6,BUS5,9
1,4,29,e1_BUS7_r02,False,BUS7,BUS5,9
1,4,29,e1_BUS9_r00,False,BUS9,BUS25,9
1,4,29,e1_BUS10_r02,False,BUS10,BUS13,9
1,4,29,e1_BUS15_r03,False,BUS15,BUS16,9
1,4,29,e1_BUS20_r04,False,BUS20,BUS19,9
1,4,29,e1_BUS31_r00,False,BUS31,BUS11,9
1,4,47,e1_BUS6_r04,True,BUS6,BUS6,9
1,4,47,e1_BUS7_r02,False,BUS7,BUS8,9
1,4,47,e1_BUS9_r00,True,BUS9,BUS9,9
1,4,47,e1_BUS10_r02,False,BUS10,BUS13,9
1,4,47,e1_BUS15_r03,False,BUS15,BUS16,9
1,4,47,e1_BUS20_r04,False,BUS20,BUS19,9
1,4,47,e1_BUS31_r00,False,BUS31,BUS11,9
2,0,11,e2_LINE3_4_r04,False,LINE3-4,LINE4-5,92
2,0,11,e2_LINE3_18_r03,False,LINE3-18,LINE1-39,92
2,0,11,e2_LINE4_14_r03,False,LINE4-14,LINE10-11,92
2,0,11,e2_LINE9_39_r01,False,LINE9-39,LINE1-39,92
2,0,11,e2_LINE14_15_r03,False,LINE14-15,LINE10-13,92
2,0,11,e2_LINE17_27_r02,False,LINE17-27,LINE2-25,92
2,0,11,e2_LINE28_29_r01,False,LINE28-29,LINE26-29,92
2,0,29,e2_LINE3_4_r04,False,LINE3-4,LINE4-5,92
2,0,29,e2_LINE3_18_r03,False,LINE3-18,LINE17-18,92
2,0,29,e2_LINE4_14_r03,False,LINE4-14,LINE5-8,92
2,0,29,e2_LINE9_39_r01,False,LINE9-39,LINE1-39,92
2,0,29,e2_LINE14_15_r03,False,LINE14-15,LINE13-14,92
2,0,29,e2_LINE17_27_r02,False,LINE17-27,LINE5-6,92
2,0,29,e2_LINE28_29_r01,False,LINE28-29,LINE26-29,92
2,0,47,e2_LINE3_4_r04,False,LINE3-4,LINE4-5,92
2,0,47,e2_LINE3_18_r03,False,LINE3-18,LINE17-18,92
2,0,47,e2_LINE4_14_r03,False,LINE4-14,LINE10-11,92
2,0,47,e2_LINE9_39_r01,False,LINE9-39,LINE1-39,92
2,0,47,e2_LINE14_15_r03,False,LINE14-15,LINE4-5,92
2,0,47,e2_LINE17_27_r02,False,LINE17-27,LINE10-13,92
2,0,47,e2_LINE28_29_r01,False,LINE28-29,LINE26-29,92
2,1,11,e2_LINE2_25_r02,False,LINE2-25,LINE7-8,92
2,1,11,e2_LINE4_5_r03,False,LINE4-5,LINE14-15,92
2,1,11,e2_LINE6_7_r01,False,LINE6-7,LINE7-8,92
2,1,11,e2_LINE8_9_r04,False,LINE8-9,LINE1-2,92
2,1,11,e2_LINE17_18_r04,False,LINE17-18,LINE4-14,92
2,1,11,e2_LINE21_22_r00,False,LINE21-22,LINE2-3,92
2,1,11,e2_LINE25_26_r03,False,LINE25-26,LINE4-14,92
2,1,29,e2_LINE2_25_r02,False,LINE2-25,LINE7-8,92
2,1,29,e2_LINE4_5_r03,False,LINE4-5,LINE14-15,92
2,1,29,e2_LINE6_7_r01,False,LINE6-7,LINE5-6,92
2,1,29,e2_LINE8_9_r04,False,LINE8-9,LINE1-39,92
2,1,29,e2_LINE17_18_r04,False,LINE17-18,LINE3-18,92
2,1,29,e2_LINE21_22_r00,False,LINE21-22,LINE2-3,92
2,1,29,e2_LINE25_26_r03,False,LINE25-26,LINE5-6,92
2,1,47,e2_LINE2_25_r02,False,LINE2-25,LINE5-8,92
2,1,47,e2_LINE4_5_r03,False,LINE4-5,LINE14-15,92
2,1,47,e2_LINE6_7_r01,False,LINE6-7,LINE5-8,92
2,1,47,e2_LINE8_9_r04,False,LINE8-9,LINE1-39,92
2,1,47,e2_LINE17_18_r04,False,LINE17-18,LINE3-18,92
2,1,47,e2_LINE21_22_r00,False,LINE21-22,LINE2-3,92
2,1,47,e2_LINE25_26_r03,False,LINE25-26,LINE4-14,92
2,2,11,e2_LINE2_3_r03,False,LINE2-3,LINE21-22,92
2,2,11,e2_LINE10_11_r00,False,LINE10-11,LINE6-11,92
2,2,11,e2_LINE10_13_r03,False,LINE10-13,LINE13-14,92
2,2,11,e2_LINE16_21_r01,False,LINE16-21,LINE26-27,92
2,2,11,e2_LINE16_24_r04,False,LINE16-24,LINE2-25,92
2,2,11,e2_LINE23_24_r01,False,LINE23-24,LINE26-27,92
2,2,11,e2_LINE26_29_r04,False,LINE26-29,LINE28-29,92
2,2,29,e2_LINE2_3_r03,False,LINE2-3,LINE21-22,92
2,2,29,e2_LINE10_11_r00,False,LINE10-11,LINE6-11,92
2,2,29,e2_LINE10_13_r03,False,LINE10-13,LINE13-14,92
2,2,29,e2_LINE16_21_r01,False,LINE16-21,LINE26-27,92
2,2,29,e2_LINE16_24_r04,False,LINE16-24,LINE3-18,92
2,2,29,e2_LINE23_24_r01,False,LINE23-24,LINE26-27,92
2,2,29,e2_LINE26_29_r04,False,LINE26-29,LINE28-29,92
2,2,47,e2_LINE2_3_r03,False,LINE2-3,LINE21-22,92
2,2,47,e2_LINE10_11_r00,False,LINE10-11,LINE6-11,92
2,2,47,e2_LINE10_13_r03,False,LINE10-13,LINE13-14,92
2,2,47,e2_LINE16_21_r01,False,LINE16-21,LINE26-27,92
2,2,47,e2_LINE16_24_r04,False,LINE16-24,LINE22-23,92
2,2,47,e2_LINE23_24_r01,False,LINE23-24,LINE26-27,92
2,2,47,e2_LINE26_29_r04,False,LINE26-29,LINE28-29,92
2,3,11,e2_LINE1_2_r01,False,LINE1-2,LINE2-25,92
2,3,11,e2_LINE1_39_r04,False,LINE1-39,LINE9-39,92
2,3,11,e2_LINE5_6_r00,False,LINE5-6,LINE10-13,92
2,3,11,e2_LINE13_14_r04,False,LINE13-14,LINE10-13,92
2,3,11,e2_LINE15_16_r02,False,LINE15-16,LINE10-13,92
2,3,11,e2_LINE16_17_r03,False,LINE16-17,LINE26-28,92
2,3,11,e2_LINE22_23_r04,False,LINE22-23,LINE14-15,92
2,3,29,e2_LINE1_2_r01,False,LINE1-2,LINE25-26,92
2,3,29,e2_LINE1_39_r04,False,LINE1-39,LINE9-39,92
2,3,29,e2_LINE5_6_r00,False,LINE5-6,LINE7-8,92
2,3,29,e2_LINE13_14_r04,False,LINE13-14,LINE10-13,92
2,3,29,e2_LINE15_16_r02,False,LINE15-16,LINE10-13,92
2,3,29,e2_LINE16_17_r03,False,LINE16-17,LINE17-18,92
2,3,29,e2_LINE22_23_r04,False,LINE22-23,LINE17-18,92
2,3,47,e2_LINE1_2_r01,False,LINE1-2,LINE25-26,92
2,3,47,e2_LINE1_39_r04,False,LINE1-39,LINE9-39,92
2,3,47,e2_LINE5_6_r00,False,LINE5-6,LINE10-11,92
2,3,47,e2_LINE13_14_r04,False,LINE13-14,LINE10-13,92
2,3,47,e2_LINE15_16_r02,False,LINE15-16,LINE10-11,92
2,3,47,e2_LINE16_17_r03,False,LINE16-17,LINE23-24,92
2,3,47,e2_LINE22_23_r04,False,LINE22-23,LINE5-8,92
2,4,11,e2_LINE5_8_r01,False,LINE5-8,LINE2-25,92
2,4,11,e2_LINE6_11_r01,False,LINE6-11,LINE10-11,92
2,4,11,e2_LINE7_8_r03,False,LINE7-8,LINE2-25,92
2,4,11,e2_LINE16_19_r03,False,LINE16-19,LINE21-22,92
2,4,11,e2_LINE26_27_r03,False,LINE26-27,LINE23-24,92
2,4,11,e2_LINE26_28_r02,False,LINE26-28,LINE26-29,92
2,4,29,e2_LINE5_8_r01,False,LINE5-8,LINE3-18,92
2,4,29,e2_LINE6_11_r01,False,LINE6-11,LINE10-11,92
2,4,29,e2_LINE7_8_r03,False,LINE7-8,LINE2-25,92
2,4,29,e2_LINE16_19_r03,False,LINE16-19,LINE21-22,92
2,4,29,e2_LINE26_27_r03,False,LINE26-27,LINE26-29,92
2,4,29,e2_LINE26_28_r02,False,LINE26-28,LINE26-29,92
2,4,47,e2_LINE5_8_r01,False,LINE5-8,LINE3-18,92
2,4,47,e2_LINE6_11_r01,False,LINE6-11,LINE10-11,92
2,4,47,e2_LINE7_8_r03,False,LINE7-8,LINE2-25,92
2,4,47,e2_LINE16_19_r03,False,LINE16-19,LINE21-22,92
2,4,47,e2_LINE26_27_r03,False,LINE26-27,LINE16-21,92
2,4,47,e2_LINE26_28_r02,False,LINE26-28,LINE26-29,92
3,0,11,e3_BUS20_r03,False,BUS20,BUS19,92
3,0,11,e3_BUS25_r04,False,BUS25,BUS39,92
3,0,29,e3_BUS20_r03,False,BUS20,BUS19,92
3,0,29,e3_BUS25_r04,False,BUS25,BUS29,92
3,0,47,e3_BUS20_r03,False,BUS20,BUS19,92
3,0,47,e3_BUS25_r04,False,BUS25,BUS39,92
3,1,11,e3_BUS29_r02,False,BUS29,BUS23,92
3,1,11,e3_BUS39_r01,False,BUS39,BUS2,92
3,1,29,e3_BUS29_r02,False,BUS29,BUS23,92
3,1,29,e3_BUS39_r01,False,BUS39,BUS2,92
3,1,47,e3_BUS29_r02,False,BUS29,BUS22,92
3,1,47,e3_BUS39_r01,False,BUS39,BUS2,92
3,2,11,e3_BUS2_r01,False,BUS2,BUS20,92
3,2,11,e3_BUS6_r00,False,BUS6,BUS10,92
3,2,29,e3_BUS2_r01,False,BUS2,BUS25,92
3,2,29,e3_BUS6_r00,False,BUS6,BUS10,92
3,2,47,e3_BUS2_r01,False,BUS2,BUS25,92
3,2,47,e3_BUS6_r00,False,BUS6,BUS10,92
3,3,11,e3_BUS10_r01,False,BUS10,BUS6,92
3,3,11,e3_BUS22_r04,False,BUS22,BUS23,92
3,3,29,e3_BUS10_r01,False,BUS10,BUS6,92
3,3,29,e3_BUS22_r04,False,BUS22,BUS23,92
3,3,47,e3_BUS10_r01,False,BUS10,BUS6,92
3,3,47,e3_BUS22_r04,False,BUS22,BUS23,92
3,4,11,e3_BUS19_r02,False,BUS19,BUS20,92
3,4,11,e3_BUS23_r02,False,BUS23,BUS22,92
3,4,29,e3_BUS19_r02,False,BUS19,BUS20,92
3,4,29,e3_BUS23_r02,False,BUS23,BUS22,92
3,4,47,e3_BUS19_r02,False,BUS19,BUS20,92
3,4,47,e3_BUS23_r02,False,BUS23,BUS2,92
4,0,11,e4_BUS15_r02,False,BUS15,BUS4,92
4,0,11,e4_BUS18_r04,False,BUS18,BUS26,92
4,0,11,e4_BUS24_r04,False,BUS24,BUS25,92
4,0,11,e4_BUS27_r03,False,BUS27,BUS25,92
4,0,29,e4_BUS15_r02,False,BUS15,BUS4,92
4,0,29,e4_BUS18_r04,False,BUS18,BUS25,92
4,0,29,e4_BUS24_r04,False,BUS24,BUS39,92
4,0,29,e4_BUS27_r03,False,BUS27,BUS25,92
4,0,47,e4_BUS15_r02,False,BUS15,BUS4,92
4,0,47,e4_BUS18_r04,False,BUS18,BUS25,92
4,0,47,e4_BUS24_r04,False,BUS24,BUS39,92
4,0,47,e4_BUS27_r03,False,BUS27,BUS25,92
4,1,11,e4_BUS3_r03,False,BUS3,BUS8,92
4,1,11,e4_BUS12_r03,False,BUS12,BUS25,92
4,1,11,e4_BUS20_r03,False,BUS20,BUS8,92
4,1,11,e4_BUS28_r01,False,BUS28,BUS25,92
4,1,29,e4_BUS3_r03,False,BUS3,BUS8,92
4,1,29,e4_BUS12_r03,False,BUS12,BUS25,92
4,1,29,e4_BUS20_r03,False,BUS20,BUS8,92
4,1,29,e4_BUS28_r01,False,BUS28,BUS25,92
4,1,47,e4_BUS3_r03,False,BUS3,BUS4,92
4,1,47,e4_BUS12_r03,False,BUS12,BUS25,92
4,1,47,e4_BUS20_r03,False,BUS20,BUS8,92
4,1,47,e4_BUS28_r01,False,BUS28,BUS25,92
4,2,11,e4_BUS4_r03,False,BUS4,BUS26,92
4,2,11,e4_BUS7_r04,False,BUS7,BUS25,92
4,2,11,e4_BUS29_r03,False,BUS29,BUS26,92
4,2,11,e4_BUS39_r03,False,BUS39,BUS12,92
4,2,29,e4_BUS4_r03,False,BUS4,BUS12,92
4,2,29,e4_BUS7_r04,False,BUS7,BUS25,92
4,2,29,e4_BUS29_r03,False,BUS29,BUS20,92
4,2,29,e4_BUS39_r03,False,BUS39,BUS12,92
4,2,47,e4_BUS4_r03,False,BUS4,BUS12,92
4,2,47,e4_BUS7_r04,False,BUS7,BUS25,92
4,2,47,e4_BUS29_r03,False,BUS29,BUS18,92
4,2,47,e4_BUS39_r03,False,BUS39,BUS12,92
4,3,11,e4_BUS16_r01,False,BUS16,BUS25,92
4,3,11,e4_BUS21_r04,False,BUS21,BUS25,92
4,3,11,e4_BUS26_r00,False,BUS26,BUS25,92
4,3,29,e4_BUS16_r01,False,BUS16,BUS25,92
4,3,29,e4_BUS21_r04,False,BUS21,BUS25,92
4,3,29,e4_BUS26_r00,False,BUS26,BUS25,92
4,3,47,e4_BUS16_r01,False,BUS16,BUS25,92
4,3,47,e4_BUS21_r04,False,BUS21,BUS25,92
4,3,47,e4_BUS26_r00,False,BUS26,BUS12,92
4,4,11,e4_BUS8_r01,False,BUS8,BUS24,92
4,4,11,e4_BUS23_r03,False,BUS23,BUS26,92
4,4,11,e4_BUS25_r00,False,BUS25,BUS12,92
4,4,29,e4_BUS8_r01,False,BUS8,BUS23,92
4,4,29,e4_BUS23_r03,False,BUS23,BUS26,92
4,4,29,e4_BUS25_r00,False,BUS25,BUS12,92
4,4,47,e4_BUS8_r01,False,BUS8,BUS24,92
4,4,47,e4_BUS23_r03,False,BUS23,BUS26,92
4,4,47,e4_BUS25_r00,False,BUS25,BUS26,92
