event,fold,seed,scenario_id,correct,source,prediction,n
1,0,11,e1_BUS5_r02,False,BUS5,BUS6,9
1,0,11,e1_BUS12_r03,False,BUS12,BUS10,9
1,0,11,e1_BUS21_r02,False,BUS21,BUS22,9
1,0,11,e1_BUS24_r00,False,BUS24,BUS16,9
1,0,11,e1_BUS27_r00,False,BUS27,BUS18,9
1,0,11,e1_BUS29_r03,False,BUS29,BUS28,9
1,0,11,e1_BUS32_r01,False,BUS32,BUS6,9
1,0,11,e1_BUS33_r04,False,BUS33,BUS34,9
1,0,29,e1_BUS5_r02,False,BUS5,BUS6,9
1,0,29,e1_BUS12_r03,False,BUS12,BUS10,9
1,0,29,e1_BUS21_r02,False,BUS21,BUS23,9
1,0,29,e1_BUS24_r00,False,BUS24,BUS16,9
1,0,29,e1_BUS27_r00,False,BUS27,BUS17,9
1,0,29,e1_BUS29_r03,False,BUS29,BUS28,9
1,0,29,e1_BUS32_r01,False,BUS32,BUS31,9
1,0,29,e1_BUS33_r04,False,BUS33,BUS34,9
1,0,47,e1_BUS5_r02,False,BUS5,BUS7,9
1,0,47,e1_BUS12_r03,False,BUS12,BUS10,9
1,0,47,e1_BUS21_r02,False,BUS21,BUS23,9
1,0,47,e1_BUS24_r00,False,BUS24,BUS16,9
1,0,47,e1_BUS27_r00,False,BUS27,BUS17,9
1,0,47,e1_BUS29_r03,False,BUS29,BUS28,9
1,0,47,e1_BUS32_r01,False,BUS32,BUS31,9
1,0,47,e1_BUS33_r04,False,BUS33,BUS20,9
1,1,11,e1_BUS4_r02,False,BUS4,BUS7,9
1,1,11,e1_BUS8_r02,False,BUS8,BUS7,9
1,1,11,e1_BUS14_r03,False,BUS14,BUS13,9
1,1,11,e1_BUS16_r01,False,BUS16,BUS24,9
1,1,11,e1_BUS23_r01,False,BUS23,BUS22,9
1,1,11,e1_BUS25_r01,False,BUS25,BUS2,9
1,1,11,e1_BUS28_r04,False,BUS28,BUS29,9
1,1,11,e1_BUS38_r01,False,BUS38,BUS29,9
1,1,29,e1_BUS4_r02,False,BUS4,BUS13,9
1,1,29,e1_BUS8_r02,False,BUS8,BUS7,9
1,1,29,e1_BUS14_r03,False,BUS14,BUS13,9
1,1,29,e1_BUS16_r01,False,BUS16,BUS24,9
1,1,29,e1_BUS23_r01,False,BUS23,BUS22,9
1,1,29,e1_BUS25_r01,False,BUS25,BUS2,9
1,1,29,e1_BUS28_r04,False,BUS28,BUS29,9
1,1,29,e1_BUS38_r01,False,BUS38,BUS29,9
1,1,47,e1_BUS4_r02,False,BUS4,BUS13,9
1,1,47,e1_BUS8_r02,False,BUS8,BUS5,9
1,1,47,e1_BUS14_r03,False,BUS14,BUS13,9
1,1,47,e1_BUS16_r01,False,BUS16,BUS24,9
1,1,47,e1_BUS23_r01,False,BUS23,BUS22,9
1,1,47,e1_BUS25_r01,False,BUS25,BUS2,9
1,1,47,e1_BUS28_r04,False,BUS28,BUS29,9
1,1,47,e1_BUS38_r01,False,BUS38,BUS29,9
1,2,11,e1_BUS11_r00,False,BUS11,BUS10,9
1,2,11,e1_BUS13_r02,False,BUS13,BUS10,9
1,2,11,e1_BUS17_r04,False,BUS17,BUS16,9
1,2,11,e1_BUS19_r02,False,BUS19,BUS20,9
1,2,11,e1_BUS30_r03,False,BUS30,BUS37,9
1,2,11,e1_BUS34_r00,False,BUS34,BUS20,9
1,2,11,e1_BUS35_r02,False,BUS35,BUS22,9
1,2,11,e1_BUS39_r00,False,BUS39,BUS1,9
1,2,29,e1_BUS11_r00,False,BUS11,BUS10,9
1,2,29,e1_BUS13_r02,True,BUS13,BUS13,9
1,2,29,e1_BUS17_r04,False,BUS17,BUS16,9
1,2,29,e1_BUS19_r02,False,BUS19,BUS20,9
1,2,29,e1_BUS30_r03,False,BUS30,BUS37,9
1,2,29,e1_BUS34_r00,False,BUS34,BUS20,9
1,2,29,e1_BUS35_r02,False,BUS35,BUS23,9
1,2,29,e1_BUS39_r00,False,BUS39,BUS1,9
1,2,47,e1_BUS11_r00,False,BUS11,BUS5,9
1,2,47,e1_BUS13_r02,False,BUS13,BUS10,9
1,2,47,e1_BUS17_r04,False,BUS17,BUS16,9
1,2,47,e1_BUS19_r02,False,BUS19,BUS20,9
1,2,47,e1_BUS30_r03,False,BUS30,BUS2,9
1,2,47,e1_BUS34_r00,False,BUS34,BUS33,9
1,2,47,e1_BUS35_r02,False,BUS35,BUS23,9
1,2,47,e1_BUS39_r00,False,BUS39,BUS1,9
1,3,11,e1_BUS1_r03,False,BUS1,BUS39,9
1,3,11,e1_BUS2_r02,False,BUS2,BUS25,9
1,3,11,e1_BUS3_r01,False,BUS3,BUS17,9
1,3,11,e1_BUS18_r03,False,BUS18,BUS17,9
1,3,11,e1_BUS22_r01,False,BUS22,BUS23,9
