lag_frames,lag_seconds,TVE_fraction,TVE_percent,TVE_median,TVE_p95,TVE_ci95_low,TVE_ci95_high,angle_rmse,vm_rmse,coverage_re,coverage_im,NLL,worst_trajectory,worst_hidden_bus
0,0.0,9.634399125132367e-05,0.009634399125132366,9.504370731993714e-05,0.00022657992721782685,8.006136272207889e-05,0.00011302490849118108,0.00722783663480946,4.2400180180098584e-05,1.0,1.0,-13.476575671523847,TEST_62,33
1,0.03333333333333333,9.681129025630637e-05,0.009681129025630637,9.546305776365866e-05,0.0002277957253849824,8.045396919534733e-05,0.00011357488282794124,0.007275517495268641,4.2492019601058473e-05,1.0,1.0,-13.661342226764658,TEST_62,34
3,0.1,9.755068513686911e-05,0.009755068513686911,9.61175450010381e-05,0.00022986359194943973,8.10593231375543e-05,0.00011445670238433917,0.007387756566313844,4.251603860930608e-05,1.0,1.0,-13.698498913231392,TEST_62,34
5,0.16666666666666666,9.790565577380141e-05,0.009790565577380141,9.641569206030699e-05,0.00023093003742326865,8.134453585225075e-05,0.0001148772187959663,0.007450961876134835,4.249504080574824e-05,1.0,1.0,-13.683352575567486,TEST_62,34
10,0.3333333333333333,9.808290376971392e-05,0.009808290376971392,9.652357141434203e-05,0.00023160266925042154,8.148210620030962e-05,0.00011508615831020837,0.007485535756947575,4.240128008748222e-05,1.0,1.0,-13.69563266766588,TEST_62,34
15,0.5,9.786677261234764e-05,0.009786677261234764,9.630965064119082e-05,0.00023109875612866137,8.13022275115206e-05,0.00011483277131169488,0.007448930678158051,4.229121235027816e-05,1.0,1.0,-13.600570892141333,TEST_62,34
30,1.0,9.717771213830393e-05,0.009717771213830393,9.572859369888904e-05,0.00022909832783730316,8.074419459074486e-05,0.00011402210511820071,0.007329206993932716,4.193216637768077e-05,1.0,1.0,-13.611892090638031,TEST_62,34
60,2.0,9.745779423242306e-05,0.009745779423242305,9.595086255995457e-05,0.0002299718579325309,8.096816826201793e-05,0.00011435292182485995,0.007389292147629305,4.142338721348274e-05,1.0,1.0,-13.278115976555389,TEST_62,34
