source_bus,abs_amplitude,q_pair_norm,relative_to_all_dev_Q
3,0.0075,1.8697308638508237,9.338969639869279e-05
3,0.015,1.8697278490143119,6.207856375591875e-05
3,0.035,1.8697089613077675,4.069903061975659e-05
3,0.06,1.8696634688256442,4.9608013769144414e-06
4,0.0075,3.1313253891417374,0.00016184796162596967
4,0.015,3.131323034617164,0.0001538256002524157
4,0.035,3.1313084854467563,0.00010429826193186911
4,0.06,3.131274160302802,1.2716384404794676e-05
7,0.0075,0.6894519821993681,6.93670128841807e-05
7,0.015,0.6894517982426844,3.944726084816183e-05
7,0.035,0.6894507385312183,2.6516929161262472e-05
7,0.06,0.6894483397900889,3.233393417393132e-06
8,0.0075,3.578637876713264,0.0002013867575182781
8,0.015,3.578633764242785,0.0001909524798682899
8,0.035,3.578605608292443,0.00012973418932658696
8,0.06,3.578537699769046,1.581666985678107e-05
12,0.0075,0.14883485443035321,0.00020792533054557697
12,0.015,0.1488344687291606,6.939665335621692e-05
12,0.035,0.14883459008336625,1.2493838925934789e-05
12,0.06,0.14883481165942125,1.545753463958227e-06
15,0.0075,1.228365244278282,7.017105464595295e-05
15,0.015,1.2283656499004076,6.707463493287626e-05
15,0.035,1.2283667794591537,4.4613251214920564e-05
15,0.06,1.2283708538058342,5.440983827868568e-06
16,0.0075,2.1147517339161417,6.792749711135615e-05
16,0.015,2.114750592830772,6.335311044375099e-05
16,0.035,2.1147355197078848,4.3769640381455655e-05
16,0.06,2.1147027019827638,5.33159891276643e-06
18,0.0075,0.3698583504621155,6.062603918110113e-05
18,0.015,0.36985836338808903,1.8444590296186668e-05
18,0.035,0.36985776687331023,1.1356006740673474e-05
18,0.06,0.3698566240863019,1.3764682296007786e-06
20,0.0075,12.828971305821572,0.0006169100431629938
20,0.015,12.828961515649173,0.0005856136331368639
20,0.035,12.828917218503232,0.0003977796555631793
20,0.06,12.828811505326458,4.84966321191534e-05
21,0.0075,1.2955792799179489,7.285449609862231e-05
21,0.015,1.295579893676405,7.108037517551802e-05
21,0.035,1.2955785989786988,4.6915435154451536e-05
21,0.06,1.2955768899836615,5.724306443914157e-06
23,0.0075,2.1271911825337657,7.148223811079098e-05
23,0.015,2.127191771486372,7.370460752894284e-05
23,0.035,2.1271890703428613,4.930399161840045e-05
23,0.06,2.127181853693926,6.01227041436909e-06
24,0.0075,3.9711935169624506,8.97890707281183e-05
24,0.015,3.9711837896133315,8.419978263341794e-05
24,0.035,3.9711146713395724,5.7246108434789536e-05
24,0.06,3.9709488268114757,6.9789060350130835e-06
25,0.0075,0.8268350120361062,3.7949989812501044e-05
25,0.015,0.8268355228386286,4.509627737737523e-05
25,0.035,0.826832118103054,2.3803522907410923e-05
25,0.06,0.8268257105634538,2.8954013962235145e-06
26,0.0075,0.46219887120368114,0.00014477112204749426
26,0.015,0.46219922214011944,4.6559760049593425e-05
26,0.035,0.4621979734184263,1.1698759837540654e-05
26,0.06,0.4621961708378971,1.4437595508863563e-06
27,0.0075,1.7238682666637553,7.745797966477557e-05
27,0.015,1.7238675572179132,6.9569316210988e-05
27,0.035,1.7238636063012736,4.689215565756335e-05
27,0.06,1.7238539589824364,5.717482628234641e-06
28,0.0075,1.597251439291504,8.102691761712354e-05
28,0.015,1.5972515037924795,7.482937876367766e-05
28,0.035,1.5972429458763577,4.967352573397964e-05
28,0.06,1.5972262293777097,6.0590921209760474e-06
