architecture,model_seed,split,subset_name,pmu_count,pmu_buses,subset_predeclared_without_test_selection,detection_precision,detection_recall,detection_f1,event_macro_f1_all_labels,event_weighted_f1_all_labels,event_macro_f1_abnormal,event_weighted_f1_abnormal,normal_minutes,false_positive_samples,false_positive_fraction,false_alarm_episodes,false_alarm_episodes_per_min,event_scenarios,detected_event_scenarios,scenario_detection_rate,delay_mean_s,delay_median_s,delay_p95_s,physical_n,physical_top1,physical_top3,physical_prediction_coverage,physical_electrical_distance_conditional,physical_electrical_distance_penalized,integrity_n,integrity_top1,integrity_top3,integrity_prediction_coverage,integrity_electrical_distance_conditional,integrity_electrical_distance_penalized,scenario_physical_top1,fitted_classifiers,fitted_trees,fitted_nodes,depth_mean,depth_max,serialized_bytes,inference_seconds_mean,inference_seconds_p50,inference_seconds_p95
typed,11,validation,official_8,8,"[2, 5, 6, 10, 19, 22, 29, 39]",True,0.9811179192197074,0.9490746340873352,0.9648303000491883,0.7667920505766551,0.9258222564478505,0.7454675700413371,0.8530829962707175,7.1509094444444425,151,0.011695453489272712,26,3.6359011678157187,137,129,0.9416058394160584,0.03030775193798455,0.00010000000000021103,0.1534333333333328,7915,0.517877447883765,0.641566645609602,0.9418825015792799,0.015494050987558322,0.021749872388978714,2212,0.8462929475587704,0.8512658227848101,0.8594032549728752,0.0008362896384094477,0.01803108713290255,0.6611570247933884,12,360,170634,13.547222222222222,14,27260499,0.3203382000065176,0.3203382000065176,0.3203382000065176
typed,11,test,official_8,8,"[2, 5, 6, 10, 19, 22, 29, 39]",True,0.9791510611735331,0.9487117454941333,0.9636910978681575,0.7797543173722125,0.9370310751243146,0.7607629768403956,0.8838976676038136,7.1509094444444425,167,0.012934706839129425,27,3.7757435204240153,137,129,0.9416058394160584,0.03237416020671839,0.00010000000000021103,0.13343333333333307,7915,0.5144662034112445,0.650157927984839,0.9415034744156665,0.015776873660190496,0.022056949753132084,2212,0.8607594936708861,0.8630198915009042,0.8679927667269439,0.0003925372036058436,0.01659542720871167,0.6446280991735537,12,360,170634,13.547222222222222,14,27260499,0.33121180000307504,0.33121180000307504,0.33121180000307504
typed,29,validation,official_8,8,"[2, 5, 6, 10, 19, 22, 29, 39]",True,0.9809535665380307,0.9531873714769565,0.9668711656441717,0.7809411625711999,0.9300527092271891,0.7618861325019005,0.8621753861752182,7.1509094444444425,153,0.011850360158004803,28,3.9155858730323123,137,129,0.9416058394160584,0.024879069767441926,0.00010000000000021103,0.13343333333333307,7915,0.5145925457991156,0.6447252053063803,0.9516108654453569,0.015292776782161602,0.02051116756403851,2212,0.8539783001808319,0.8621157323688969,0.8639240506329114,0.0004543332448990468,0.017148218439011757,0.628099173553719,12,360,181236,13.522222222222222,14,28798139,0.30904710000322666,0.30904710000322666,0.30904710000322666
typed,29,test,official_8,8,"[2, 5, 6, 10, 19, 22, 29, 39]",True,0.9814330218068535,0.9527035200193541,0.9668548981095016,0.8017639302712197,0.9445016997695012,0.78462009509918,0.8989106184169314,7.1509094444444425,149,0.011540546820540624,27,3.7757435204240153,137,129,0.9416058394160584,0.025395865633075,0.00010000000000021103,0.13343333333333307,7915,0.48111181301326594,0.6451042324699937,0.9516108654453569,0.016824427276253575,0.021968702816281178,2212,0.879746835443038,0.8811030741410488,0.8815551537070524,7.628070311153687e-05,0.014651949180830928,0.5867768595041323,12,360,181236,13.522222222222222,14,28798139,0.32117419999849517,0.32117419999849517,0.32117419999849517
typed,47,validation,official_8,8,"[2, 5, 6, 10, 19, 22, 29, 39]",True,0.9804190571214767,0.9508890770533446,0.9654283082591342,0.7640955709726204,0.9240884830348832,0.7423669137766367,0.8484910860212609,7.1509094444444425,157,0.01216017349546898,33,4.614797636073797,137,129,0.9416058394160584,0.026174935400516866,0.00010000000000021103,0.13343333333333307,7915,0.5075173720783323,0.6288060644346178,0.9385975994946304,0.015564138860168338,0.022169246603261836,2212,0.8535262206148282,0.8594032549728752,0.8639240506329114,0.0008344405263357692,0.017476602261265635,0.6694214876033058,12,360,175892,13.48611111111111,14,28195063,0.37869769999815617,0.37869769999815617,0.37869769999815617
typed,47,test,official_8,8,"[2, 5, 6, 10, 19, 22, 29, 39]",True,0.981275745849457,0.9508890770533446,0.965843469713724,0.7918295911675747,0.9404536971425447,0.7738558944019276,0.889589795192122,7.1509094444444425,150,0.011618000154906669,32,4.4749552834654995,137,129,0.9416058394160584,0.028239793281653804,0.00010000000000021103,0.13343333333333307,7915,0.4914718888186987,0.641566645609602,0.9365761212886924,0.016074482021882976,0.02286467392895525,2212,0.8707052441229657,0.8779385171790235,0.8788426763110307,0.00047512723358061323,0.015336266467710004,0.6115702479338843,12,360,175892,13.48611111111111,14,28195063,0.31302810000488535,0.31302810000488535,0.31302810000488535
typed,11,validation,leave_BUS2_out,7,"[5, 6, 10, 19, 22, 29, 39]",True,0.980783722682743,0.9445990081045119,0.96235134635529,0.7303321544655617,0.909424739152709,0.7045003639438141,0.8134685375367708,7.1509094444444425,153,0.011850360158004803,36,5.034324693898688,137,128,0.9343065693430657,0.037575000000000025,0.00010000000000021103,0.1884333333333326,7915,0.4984207201516109,0.6279216677195198,0.9431459254579911,0.015401914411257305,0.02152697803503258,2212,0.6993670886075949,0.7056962025316456,0.7106690777576854,0.0007024775107398795,0.036125985768671404,0.6198347107438017,12,360,181406,13.591666666666667,14,28656545,0.30363670000224374,0.30363670000224374,0.30363670000224374
typed,11,test,leave_BUS2_out,7,"[5, 6, 10, 19, 22, 29, 39]",True,0.9826021180030258,0.9427845651385025,0.9622816223223656,0.7558912843098387,0.9261904693128872,0.7331254057405046,0.8554916762561355,7.1509094444444425,138,0.010688560142514136,40,5.593694104331875,137,128,0.9343065693430657,0.03471276041666671,0.00010000000000021103,0.13343333333333307,7915,0.4515476942514213,0.6178142766898295,0.9399873657612129,0.016809935003599733,0.023190780914998037,2212,0.7138336347197106,0.7160940325497287,0.7210669077757685,0.00046345446527312577,0.03468060183237013,0.5537190082644629,12,360,181406,13.591666666666667,14,28656545,0.3145798999903491,0.3145798999903491,0.3145798999903491
typed,29,validation,leave_BUS2_out,7,"[5, 6, 10, 19, 22, 29, 39]",True,0.9837059492231907,0.9420587879520987,0.9624320316361838,0.7332395194169872,0.9100432294613752,0.7071677796445991,0.8134486773800733,7.1509094444444425,129,0.009991480133219734,34,4.754639988682094,137,128,0.9343065693430657,0.033671875000000046,0.00010000000000021103,0.16676666666666629,7915,0.4972836386607707,0.6188250157927985,0.9409981048641819,0.015731624314397324,0.022068625721496017,2212,0.6998191681735986,0.7043399638336347,0.7138336347197106,0.0008452438449755523,0.03584045255838334,0.6363636363636364,12,360,183520,13.641666666666667,14,29084181,0.3290696000040043,0.3290696000040043,0.3290696000040043
typed,29,test,leave_BUS2_out,7,"[5, 6, 10, 19, 22, 29, 39]",True,0.9825250094972775,0.9385508648844805,0.9600346448898788,0.740243216057072,0.9219355492605814,0.7152526306904262,0.8466915426833183,7.1509094444444425,138,0.010688560142514136,26,3.6359011678157187,137,128,0.9343065693430657,0.03418958333333337,0.00010000000000021103,0.13343333333333307,7915,0.45293746051800376,0.6224889450410612,0.9407454200884396,0.01675541245741041,0.023058888920498052,2212,0.6980108499095841,0.701627486437613,0.7056962025316456,0.0003896449839667881,0.036514062590682454,0.5289256198347108,12,360,183520,13.641666666666667,14,29084181,0.32859440000902396,0.32859440000902396,0.32859440000902396
