case_id,T,model,nearest_margin,whitened_error,eta_model
PAIR_3_28_AI0p0001_AJ0p0002_R1,30,D,0.5095517536416037,0.00019004714022442858,0.00037296925948389413
PAIR_3_28_AI0p0001_AJ0p0002_R1,30,D_Q,0.5095517536416037,7.761950551799433e-05,0.00015232899300860514
PAIR_3_28_AI0p0001_AJ0p0002_R1,30,D_Q_Qij,0.5095517536416037,5.789978606733658e-06,1.1362886233546504e-05
PAIR_3_28_AI0p0001_AJ0p0002_R1,45,D,0.6119681336214291,0.0005526758024578625,0.0009031120610599546
PAIR_3_28_AI0p0001_AJ0p0002_R1,45,D_Q,0.6119681336214291,0.00025934386756559373,0.0004237865557326993
PAIR_3_28_AI0p0001_AJ0p0002_R1,45,D_Q_Qij,0.6119681336214291,1.5506233645448963e-05,2.5338302427102042e-05
PAIR_3_28_AI0p0001_AJ0p0002_R1,60,D,0.6936113577110248,0.0016395264136852214,0.002363753700769542
PAIR_3_28_AI0p0001_AJ0p0002_R1,60,D_Q,0.6936113577110248,0.0008023944409479867,0.0011568357871127647
PAIR_3_28_AI0p0001_AJ0p0002_R1,60,D_Q_Qij,0.6936113577110248,4.665341772923584e-05,6.726161157913562e-05
PAIR_3_28_AI0p0001_AJ0p0002_R1,90,D,0.8452584448833902,0.00838232210876396,0.009916874725718198
PAIR_3_28_AI0p0001_AJ0p0002_R1,90,D_Q,0.8452584448833902,0.0041680689075421756,0.00493111773419453
PAIR_3_28_AI0p0001_AJ0p0002_R1,90,D_Q_Qij,0.8452584448833902,0.00039347934858390823,0.00046551365557571174
PAIR_3_28_AI0p0001_AJ0p0002_R1,120,D,0.9731862678374431,0.025334562971273816,0.026032593973577926
PAIR_3_28_AI0p0001_AJ0p0002_R1,120,D_Q,0.9731862678374431,0.012665252437764854,0.013014212033538891
PAIR_3_28_AI0p0001_AJ0p0002_R1,120,D_Q_Qij,0.9731862678374431,0.00188143053395578,0.0019332686826095313
PAIR_3_28_AI0p0001_AJm0p0002_R1,30,D,0.5095517536416037,7.373635469746533e-05,0.00014470827383184369
PAIR_3_28_AI0p0001_AJm0p0002_R1,30,D_Q,0.5095517536416037,7.605782886529265e-05,0.00014926418822373122
PAIR_3_28_AI0p0001_AJm0p0002_R1,30,D_Q_Qij,0.5095517536416037,5.73479950484319e-06,1.1254596738914958e-05
PAIR_3_28_AI0p0001_AJm0p0002_R1,45,D,0.6119681336214291,0.00012930565464415062,0.00021129475137694124
PAIR_3_28_AI0p0001_AJm0p0002_R1,45,D_Q,0.6119681336214291,0.00025579352933769866,0.00041798504739780395
PAIR_3_28_AI0p0001_AJm0p0002_R1,45,D_Q_Qij,0.6119681336214291,1.3540250760625413e-05,2.2125744816970448e-05
PAIR_3_28_AI0p0001_AJm0p0002_R1,60,D,0.6936113577110248,0.00020535471334783508,0.0002960659612402005
PAIR_3_28_AI0p0001_AJm0p0002_R1,60,D_Q,0.6936113577110248,0.0007886820286474649,0.0011370661969120305
PAIR_3_28_AI0p0001_AJm0p0002_R1,60,D_Q_Qij,0.6936113577110248,2.9085866797365394e-05,4.193395404214714e-05
PAIR_3_28_AI0p0001_AJm0p0002_R1,90,D,0.8452584448833902,0.00037789961596832106,0.0004470817396216079
PAIR_3_28_AI0p0001_AJm0p0002_R1,90,D_Q,0.8452584448833902,0.004097815812689781,0.004848003397653254
PAIR_3_28_AI0p0001_AJm0p0002_R1,90,D_Q_Qij,0.8452584448833902,0.00013404118021212926,0.0001585801136013746
PAIR_3_28_AI0p0001_AJm0p0002_R1,120,D,0.9731862678374429,0.000579631881331932,0.0005956021991760691
PAIR_3_28_AI0p0001_AJm0p0002_R1,120,D_Q,0.9731862678374429,0.01239954367136728,0.012741182321572226
PAIR_3_28_AI0p0001_AJm0p0002_R1,120,D_Q_Qij,0.9731862678374429,0.0005689594294282442,0.0005846356943491942
PAIR_3_28_AI0p0005_AJ0p001_R1,30,D,2.5477587682080176,0.00471251996442429,0.0018496727489388136
PAIR_3_28_AI0p0005_AJ0p001_R1,30,D_Q,2.5477587682080176,0.001887158945418125,0.0007407133551915789
PAIR_3_28_AI0p0005_AJ0p001_R1,30,D_Q_Qij,2.5477587682080176,1.502890678530323e-05,5.898873540478052e-06
PAIR_3_28_AI0p0005_AJ0p001_R1,45,D,3.059840668107146,0.013708261979585003,0.004480057449548541
PAIR_3_28_AI0p0005_AJ0p001_R1,45,D_Q,3.059840668107146,0.006342917550092312,0.0020729568098773314
PAIR_3_28_AI0p0005_AJ0p001_R1,45,D_Q_Qij,3.059840668107146,4.91410064603983e-05,1.6059988669539944e-05
PAIR_3_28_AI0p0005_AJ0p001_R1,60,D,3.468056788555124,0.04067991492817125,0.011729887198623263
PAIR_3_28_AI0p0005_AJ0p001_R1,60,D_Q,3.468056788555124,0.01966008743648233,0.00566890585568329
PAIR_3_28_AI0p0005_AJ0p001_R1,60,D_Q_Qij,3.468056788555124,0.0001968849849971887,5.677098069643079e-05
PAIR_3_28_AI0p0005_AJ0p001_R1,90,D,4.226292224416952,0.20808914692588654,0.04923680992139486
