method,model_seed,simulator_training_track,raw_interpretation,row_count,event_episode_count,physical_episode_count,integrity_row_count,detection_precision,detection_recall,detection_f1,event_macro_f1_observed_labels,event_episode_correct,event_episode_accuracy,physical_row_correct,physical_row_total,physical_row_top1,physical_row_top3,physical_episode_correct,physical_episode_top1,integrity_row_correct,integrity_row_total,integrity_row_top1,false_alarm_episodes,normal_minutes,false_alarm_episodes_per_normal_min,mean_detection_delay_s,median_detection_delay_s
A_original_136_flat,11,frozen_v70_RAW_normal_calibrated,calibration-informed descriptive transfer; RAW Event 8 absent,41942,12,5,9605,0.8340351104489214,0.9171207750115752,0.8736068938610032,0.1346938450725207,1,0.0833333333333333,2,19208,0.0001041232819658,0.001353602665556,0,0.0,3367,9605,0.3505465903175429,600,7.702450000006749,77.89729241987605,0.2112500000003289,0.0335000000050058
B_original_136_typed,11,frozen_v70_RAW_normal_calibrated,calibration-informed descriptive transfer; RAW Event 8 absent,41942,12,5,9605,0.8772376801877305,0.9320084054564234,0.9037940145405564,0.2151236782459619,3,0.25,43,19208,0.0022386505622657,0.0289462723865056,0,0.0,4441,9605,0.4623633524206142,536,7.702450000006749,69.58824789508927,0.2112500000003289,0.0335000000050058
C_universal_z_candidate,11,frozen_v70_RAW_normal_calibrated,calibration-informed descriptive transfer; RAW Event 8 absent,41942,12,5,9605,0.8772376801877305,0.9320084054564234,0.9037940145405564,0.2151236782459619,3,0.25,1366,19208,0.0711162015826738,0.4078508954602249,0,0.0,4609,9605,0.4798542425819885,536,7.702450000006749,69.58824789508927,0.2112500000003289,0.0335000000050058
D_ANDES_validation_selected_causal_features,11,frozen_v70_RAW_normal_calibrated,calibration-informed descriptive transfer; RAW Event 8 absent,41942,12,5,9605,0.8597187390876481,0.9645617409267372,0.909127530296418,0.2111814104789203,2,0.1666666666666666,123,19208,0.0064035818408996,0.0100478967097042,1,0.2,2421,9605,0.2520562207183758,701,7.702450000006749,91.01000331055518,0.2612499999983507,0.0164999999979045
E_event_conditioned_descriptor,11,frozen_v70_RAW_normal_calibrated,calibration-informed descriptive transfer; RAW Event 8 absent,41942,12,5,9605,0.8772376801877305,0.9320084054564234,0.9037940145405564,0.2151236782459619,3,0.25,37,19208,0.0019262807163681,0.1583715118700541,0,0.0,4609,9605,0.4798542425819885,536,7.702450000006749,69.58824789508927,0.2112500000003289,0.0335000000050058
F_hybrid_et_physics,11,frozen_v70_RAW_normal_calibrated,calibration-informed descriptive transfer; RAW Event 8 absent,41942,12,5,9605,0.8772376801877305,0.9320084054564234,0.9037940145405564,0.2151236782459619,3,0.25,1366,19208,0.0711162015826738,0.4076947105372761,0,0.0,4609,9605,0.4798542425819885,536,7.702450000006749,69.58824789508927,0.2112500000003289,0.0335000000050058
G_integrity_availability_gate,11,frozen_v70_RAW_normal_calibrated,calibration-informed descriptive transfer; RAW Event 8 absent,41942,12,5,9605,0.8838750594577454,0.9927342664814616,0.9351472857813864,0.2589824089766609,3,0.25,1366,19208,0.0711162015826738,0.4078508954602249,0,0.0,9464,9605,0.985320145757418,536,7.702450000006749,69.58824789508927,0.1945000000015018,0.0
A_original_136_flat,29,frozen_v70_RAW_normal_calibrated,calibration-informed descriptive transfer; RAW Event 8 absent,41942,12,5,9605,0.8648413150574751,0.9191152900950956,0.8911527039160163,0.1852086437424332,2,0.1666666666666666,12,19208,0.000624739691795,0.0015618492294877,1,0.2,3802,9605,0.3958355023425299,549,7.702450000006749,71.27602256418659,0.2112500000003289,0.0335000000050058
B_original_136_typed,29,frozen_v70_RAW_normal_calibrated,calibration-informed descriptive transfer; RAW Event 8 absent,41942,12,5,9605,0.8736618148660971,0.9213947359048332,0.8968936347247262,0.2062746331021993,3,0.25,155,19208,0.0080695543523531,0.1459287796751353,1,0.2,3830,9605,0.398750650702759,583,7.702450000006749,75.69020246797956,0.2112500000003289,0.0335000000050058
C_universal_z_candidate,29,frozen_v70_RAW_normal_calibrated,calibration-informed descriptive transfer; RAW Event 8 absent,41942,12,5,9605,0.8736618148660971,0.9213947359048332,0.8968936347247262,0.2062746331021993,3,0.25,5,19208,0.0002603082049146,0.2730633069554352,0,0.0,4015,9605,0.418011452368558,583,7.702450000006749,75.69020246797956,0.2112500000003289,0.0335000000050058
