family,m,method,n,mean_TVE_percent,median_TVE_percent,p95_TVE_percent,bootstrap95_low_percent,bootstrap95_high_percent,mean_angle_RMSE_deg,mean_magnitude_RMSE,mean_coverage95
M1_NETWORK,0.0,B1,20,0.02507320094178474,0.016357611537189072,0.06901577140927462,0.01419269017455623,0.03692785093149935,0.021938294860167386,0.00013391547165712467,
M1_NETWORK,0.0,B2,20,0.024157922182724122,0.014744044384083058,0.06755875786478666,0.012218807472195434,0.0363086564544458,0.017994827501700398,0.00011402029983922059,0.9986529599432826
M1_NETWORK,0.0,B2-U2,20,0.024157922182724122,0.014744044384083058,0.06755875786478666,0.013395035690489806,0.03514633808451676,0.017994827501700398,0.00011402029983922059,0.5914569301666075
M1_NETWORK,0.25,B1,20,0.04260378839852308,0.04399127051148319,0.05757983100145949,0.03919745065831104,0.04607766209236869,0.03749649702196729,0.00027652762368298426,
M1_NETWORK,0.25,B2,20,0.04041705949183622,0.04453843060671871,0.05174727321883378,0.03645196467040761,0.04404934645800314,0.03324753975090849,0.0002677997608501645,0.9316731655441333
M1_NETWORK,0.25,B2-U2,20,0.04041705949183622,0.04453843060671871,0.05174727321883378,0.03672134206252091,0.04439879726822585,0.03324753975090849,0.0002677997608501645,0.40062034739454094
M1_NETWORK,0.5,B1,20,0.07501549365191454,0.07776974765142369,0.08821205897817004,0.06975304476680777,0.08024037443921415,0.06658599040376431,0.0004659393999164881,
M1_NETWORK,0.5,B2,20,0.07190833390377917,0.07643557894730366,0.08958000426872968,0.06377268767531913,0.07971146095658713,0.06292370891288607,0.0004603025930557382,0.8436192839418645
M1_NETWORK,0.5,B2-U2,20,0.07190833390377917,0.07643557894730366,0.08958000426872968,0.0642275477642194,0.07961157569210701,0.06292370891288607,0.0004603025930557382,0.1373449131513647
M1_NETWORK,0.75,B1,20,0.11530147837144421,0.12062183703683625,0.13195729429964326,0.10751898327544517,0.12299024418455257,0.0989625854216104,0.0006661353245328777,
M1_NETWORK,0.75,B2,20,0.11280635520439193,0.12025926660881059,0.1339264481748329,0.10283322632792433,0.12193796714791542,0.09615987431991428,0.0006609408813953988,0.7668734491315135
M1_NETWORK,0.75,B2-U2,20,0.11280635520439193,0.12025926660881059,0.1339264481748329,0.10325520648341642,0.12189548981512333,0.09615987431991428,0.0006609408813953988,0.0934597660404112
M1_NETWORK,1.0,B1,20,0.15763216732056104,0.16402366039298297,0.17543293298509222,0.14969535386991756,0.16490911260724125,0.13224129934072465,0.0008692092008987211,
M1_NETWORK,1.0,B2,20,0.1558972667894491,0.16389634959746963,0.17800051899756264,0.14574870065442416,0.1654029380276361,0.13013327986600134,0.0008633720612977547,0.5949131513647642
M1_NETWORK,1.0,B2-U2,20,0.1558972667894491,0.16389634959746963,0.17800051899756264,0.1457907328909474,0.16606470338258852,0.13013327986600134,0.0008633720612977547,0.07566465792272245
M1_NETWORK,1.25,B1,20,0.20026380454900997,0.20722443290096113,0.21864155354879727,0.19132246566963684,0.20893559758409763,0.16576972138407353,0.0010726314579899052,
