case_id,regime,support,status,logZ_GH31,logZ_GK2D,abs_delta_logZ,mean_i_GH,mean_i_GK,mean_j_GH,mean_j_GK
PAIR_7_12_AIm0p00014_AJm0p00033_R1,WEAK_WEAK,"(7, 12)",PASS,-1367.2485216972946,-1367.248521697302,7.503331289626658e-12,-0.0002965073421012986,-0.0002965073421012743,-0.00046816312000960556,-0.00046816312000956794
PAIR_7_12_AIm0p00073_AJm0p00255_R1,WEAK_STRONG,"(7, 12)",PASS,-1361.5614189762086,-1361.5614189762164,7.73070496506989e-12,-0.0008266407666534155,-0.0008266407666534773,-0.002723011327570057,-0.0027230113275702817
PAIR_7_12_AIm0p0026_AJm0p0054_R1,MODERATE,"(7, 12)",PASS,-1381.360186388657,-1381.3601863886645,7.503331289626658e-12,-0.0026221178091930288,-0.0026221178091928045,-0.005398370193970655,-0.0053983701939701945
PAIR_7_12_AIm0p0113_AJm0p0217_R1,FINITE,"(7, 12)",PASS,-1371.35491521872,-1371.3549152187277,7.73070496506989e-12,-0.011225499609538107,-0.011225499609539023,-0.021378619930682657,-0.021378619930684392
