horizon,rank,sigma_min,sigma_max,condition_number,residual_norm,functional_output_residual,noise_information_bound_sigma1e3,worst_hidden_bus
0,16,0.0003315702814288245,1.4799081925900743,4463.331834845862,2.7565292433062068e-8,1.0847470505191423,15.595200803180061,34
3,47,0.0018044506225963792,53.212332236932205,29489.492020771566,0.002656888245502914,0.8575962468129819,0.9207029410307959,36
10,52,0.011828980689395786,290.81172507158163,24584.68169892972,0.01510666893209065,0.7827921235411831,0.024076453140809202,36
30,54,0.05819468085150924,1797.3446085540218,30885.032485016352,0.11425161112373051,0.7803150598388049,0.0013651915096752354,36
60,52,0.15512975332812196,4706.946857932993,30341.99924225443,0.31842447543858365,0.9373771225191195,0.0003621150821097122,36
120,42,0.38967222227368814,10545.07420346465,27061.39570825828,0.9172238027314357,1.5868637229013234,4.486926659540658e-5,36
180,39,0.53065461078391,14931.386860211222,28137.67478276278,1.2676500544219165,1.8423868726835069,2.0656402056129373e-5,36
