split,case_id,family,m,seed,excitation,method,policy,window,cadence,TVE_fraction,TVE_percent,angle_RMSE_deg,magnitude_RMSE,complex_RMSE,p95_TVE_percent,worst_bus_TVE_percent,NLL,NEES_like,coverage50,coverage90,coverage95
TEST,M1-NETWORK_m0p0_s205_EA,M1_NETWORK,0.0,205,E-A,R2A_ONLINE_OFFSET_ONLY,ADAPTIVE_RECENTER,60,1,0.000558677149336326,0.0558677149336326,0.04094980907938407,0.0004335645202836962,0.0008414309943299384,0.19063650632245646,0.21492603406700456,-6.020304431930394,0.13760707933251087,0.9748316199929103,0.989365473236441,0.9943282523927686
TEST,M1-NETWORK_m0p0_s206_EB,M1_NETWORK,0.0,206,E-B,R0_FROZEN_B2,NA,0,0,9.727200485177069e-07,9.727200485177069e-05,0.00017921954414185223,3.0752082138661236e-06,4.402803380524576e-06,0.00017132182451666392,0.0011884479188790055,,,,,
TEST,M1-NETWORK_m0p0_s206_EB,M1_NETWORK,0.0,206,E-B,R1_ORACLE_RECENTERED,NA,0,0,9.727200485177069e-07,9.727200485177069e-05,0.00017921954414185223,3.0752082138661236e-06,4.402803380524576e-06,0.00017132182451666392,0.0011884479188790055,,,,,
TEST,M1-NETWORK_m0p0_s206_EB,M1_NETWORK,0.0,206,E-B,R2A_ONLINE_OFFSET_ONLY,ALWAYS_RECENTER,60,1,2.260088609797971e-05,0.002260088609797971,0.0020467989512686245,3.630193046492205e-05,5.1184708328938774e-05,0.008214917744356755,0.012902272912789304,-11.222292951310711,0.0004893662042600107,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s206_EB,M1_NETWORK,0.0,206,E-B,R2A_ONLINE_OFFSET_ONLY,ADAPTIVE_RECENTER,60,1,9.727200485177069e-07,9.727200485177069e-05,0.00017921954414185223,3.0752082138661236e-06,4.402803380524576e-06,0.00017132182451666392,0.0011884479188790055,-5.580473866571874,4.253636895294486e-08,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s207_EC,M1_NETWORK,0.0,207,E-C,R0_FROZEN_B2,NA,0,0,3.4182949347468455e-06,0.00034182949347468455,0.0001533879075544179,4.402514975923462e-06,5.171376186358818e-06,0.0012499229788562316,0.0015077463972931256,,,,,
TEST,M1-NETWORK_m0p0_s207_EC,M1_NETWORK,0.0,207,E-C,R1_ORACLE_RECENTERED,NA,0,0,5.319474712706186e-08,5.319474712706186e-06,1.028698560355851e-05,1.4161430094926052e-07,2.2969029682597748e-07,3.821509358413102e-05,7.60400349587425e-05,,,,,
TEST,M1-NETWORK_m0p0_s207_EC,M1_NETWORK,0.0,207,E-C,R2A_ONLINE_OFFSET_ONLY,ALWAYS_RECENTER,60,1,3.3821633395886113e-06,0.0003382163339588611,0.00016168670756896904,4.349940841274272e-06,5.206094973896414e-06,0.0012342496758805633,0.0016075572066659462,-11.222535009640932,5.249543815939011e-06,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s207_EC,M1_NETWORK,0.0,207,E-C,R2A_ONLINE_OFFSET_ONLY,ADAPTIVE_RECENTER,60,1,3.4182949347468455e-06,0.00034182949347468455,0.0001533879075544179,4.402514975923462e-06,5.171376186358818e-06,0.0012499229788562316,0.0015077463972931256,-5.580473868033844,3.961242951176011e-08,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s208_ED,M1_NETWORK,0.0,208,E-D,R0_FROZEN_B2,NA,0,0,0.00033737119491212696,0.0337371194912127,0.025268194229015196,0.00014933213767338925,0.00046819296765604197,0.1314761055840596,0.13471081490243397,,,,,
