traj,method,lag,tve,TVE_fraction,TVE_percent,complex_rmse,angle_rmse,vm_rmse,re_rmse,im_rmse,p95_tve,worst_bus
TEST_1,B0_NOMINAL,0,0.0004161818655405512,0.0004161818655405512,0.041618186554055116,0.0005952294531422616,0.03328445883890938,2.833708823813428e-06,6.878090171147899e-05,0.0005912421580433787,0.0012152637292329087,22
TEST_1,B1_SNAPSHOT_WLS,0,3.1440835466456974e-06,3.1440835466456974e-06,0.00031440835466456976,1.5406403583795718e-05,0.0008632525811836056,2.6554178685469275e-06,3.3440482919871763e-06,1.5039102779343295e-05,1.7428023912344967e-05,26
TEST_1,B2_KALMAN,0,2.1000605413129534e-08,2.1000605413129534e-08,2.1000605413129536e-06,5.8265763333531976e-08,2.2571745907280084e-06,4.265757195735515e-08,4.131535583973312e-08,4.108455365067741e-08,7.230065517587923e-08,26
TEST_10,B0_NOMINAL,0,0.0011029644085816315,0.0011029644085816315,0.11029644085816315,0.001577484277982596,0.08821064611303062,7.507682223749702e-06,0.0001815593145211616,0.0015670012324796936,0.0032206818950642974,22
TEST_10,B1_SNAPSHOT_WLS,0,8.334405285318923e-06,8.334405285318923e-06,0.0008334405285318923,4.0841887021719325e-05,0.0022886476147718202,7.0159951015899256e-06,8.90172187991663e-06,3.985999351564798e-05,4.618993817223057e-05,26
TEST_10,B2_KALMAN,0,9.644188600118558e-08,9.644188600118558e-08,9.644188600118558e-06,3.9680310267480133e-07,1.5898072209511858e-05,2.816659041892958e-07,2.6891425878719894e-07,2.917838647240116e-07,2.4293115380230703e-07,26
TEST_100,B0_NOMINAL,0,0.0017245528734797756,0.0017245528734797756,0.17245528734797755,0.002466505549552411,0.13792313876458343,1.1735602493221378e-05,0.00028286385466924635,0.0024502321656721623,0.0050357230607106125,22
TEST_100,B1_SNAPSHOT_WLS,0,1.3034133911188667e-05,1.3034133911188667e-05,0.0013034133911188667,6.387561167865385e-05,0.0035796549610554442,1.093963767536848e-05,1.3974064467991123e-05,6.232831852028906e-05,7.222398548916154e-05,26
TEST_100,B2_KALMAN,0,2.2259977910684165e-07,2.2259977910684165e-07,2.2259977910684164e-05,9.73821711523385e-07,3.939406748992575e-05,6.846057040169334e-07,6.512451834487959e-07,7.240224008061347e-07,4.3627006312212737e-07,26
TEST_11,B0_NOMINAL,0,0.0031896821312619667,0.0031896821312619667,0.31896821312619666,0.004227809921778029,0.2364838710206284,2.3882641059510163e-05,0.0005009898840034119,0.004198021661546185,0.00802041891780054,1
TEST_11,B1_SNAPSHOT_WLS,0,9.301885133710068e-05,9.301885133710068e-05,0.009301885133710068,0.00014427396150996035,0.007756180986458935,4.824874176366575e-05,4.854609058196396e-05,0.00013586115360538224,0.00028548419921132936,25
TEST_11,B2_KALMAN,0,9.16751769858087e-05,9.16751769858087e-05,0.00916751769858087,0.0001273243445410196,0.0068820017682386095,4.00288636950051e-05,3.846564666339744e-05,0.00012137496751623429,0.0003557640832384598,26
TEST_12,B0_NOMINAL,0,0.0023835202627787593,0.0023835202627787593,0.23835202627787594,0.003124110706714325,0.1747558826063314,1.887082272607763e-05,0.0003691915285454602,0.003102219418909202,0.005839040660762998,1
TEST_12,B1_SNAPSHOT_WLS,0,7.841270751654717e-05,7.841270751654717e-05,0.007841270751654717,0.00011733138272795164,0.006285842817117446,4.032947542792386e-05,4.0200340584480995e-05,0.00011022969649665557,0.00024158044877773213,25
TEST_12,B2_KALMAN,0,7.917710136797913e-05,7.917710136797913e-05,0.007917710136797913,0.00011001267623301619,0.005948065215986621,3.4487024044687435e-05,3.311019818292238e-05,0.00010491188544792266,0.0003064028192432781,26
TEST_13,B0_NOMINAL,0,0.0006455940464885635,0.0006455940464885635,0.06455940464885636,0.0009233397696595289,0.05163191609667347,4.395304402158612e-06,0.0001065531169371967,0.0009171710655629516,0.001885152804311863,22
TEST_13,B1_SNAPSHOT_WLS,0,4.8775818885453275e-06,4.8775818885453275e-06,0.00048775818885453274,2.3901203943551304e-05,0.0013392714183650307,4.114985296323798e-06,5.19507948628928e-06,2.332978137665179e-05,2.7035311574903466e-05,26
TEST_13,B2_KALMAN,0,3.907250013068131e-08,3.907250013068131e-08,3.907250013068131e-06,1.3644910137985092e-07,5.37021316269911e-06,9.85100733231385e-08,9.462010223139289e-08,9.831273326019165e-08,1.271520011872557e-07,26
TEST_14,B0_NOMINAL,0,0.007488342880774083,0.007488342880774083,0.7488342880774084,0.009925397032252708,0.555191361324557,5.610317461216229e-05,0.001201482899141193,0.009852408085890585,0.01882996634464074,1
TEST_14,B1_SNAPSHOT_WLS,0,0.00021840537844967556,0.00021840537844967556,0.021840537844967558,0.00033856006396908986,0.01819327057567506,0.00011366440827582928,0.00011384537167596453,0.0003188450223270166,0.0006704737193105354,25
TEST_14,B2_KALMAN,0,0.0002148185655847192,0.0002148185655847192,0.02148185655847192,0.0002980383153461533,0.016084204015888486,9.508137337886612e-05,9.17451355195996e-05,0.0002835659844249014,0.0008348361449621882,25
TEST_15,B0_NOMINAL,0,0.002449260946157357,0.002449260946157357,0.2449260946157357,0.0031144368558147853,0.17423889092681522,2.3076762663897636e-05,0.00036969124895700216,0.0030924173892445533,0.005555159602299551,1
TEST_15,B1_SNAPSHOT_WLS,0,0.00010731818698978843,0.00010731818698978843,0.010731818698978842,0.00015246719248477442,0.008129129760729168,5.423609055499954e-05,5.3149131149892225e-05,0.0001429035151499109,0.00031370448736515555,25
TEST_15,B2_KALMAN,0,0.0001121377183255592,0.0001121377183255592,0.011213771832555921,0.00015585705923129716,0.008427767596371245,4.880398671242167e-05,4.685693935459889e-05,0.00014864672935032078,0.00043316056366696345,26
TEST_16,B0_NOMINAL,0,0.0011268085468356327,0.0011268085468356327,0.11268085468356327,0.00161158698782109,0.09011761275846603,7.669906979339657e-06,0.0001854587559134223,0.001600880279461678,0.0032903070539121114,22
TEST_16,B1_SNAPSHOT_WLS,0,8.514649951033096e-06,8.514649951033096e-06,0.0008514649951033097,4.172523730755398e-05,0.0023381545315647786,7.166909374783496e-06,9.095556586597288e-06,4.0721815759512754e-05,4.718856676373444e-05,26
TEST_16,B2_KALMAN,0,1.0025259699628238e-07,1.0025259699628238e-07,1.0025259699628238e-05,4.1419460029773064e-07,1.6604398590401935e-05,2.938448503043314e-07,2.804887844003216e-07,3.047674666716033e-07,2.490201925161246e-07,26
TEST_17,B0_NOMINAL,0,0.007098356741062741,0.007098356741062741,0.7098356741062741,0.009408503439653697,0.5262770708908543,5.317839623081503e-05,0.0011366926561972104,0.009339586006848631,0.017849269221810345,1
TEST_17,B1_SNAPSHOT_WLS,0,0.00020702863320204318,0.00020702863320204318,0.020702863320204316,0.0003209408272973645,0.01724713073077319,0.00010771111589589188,0.00010792625526952534,0.0003022497941270002,0.0006355344918777334,25
TEST_17,B2_KALMAN,0,0.00020366345704855333,0.00020366345704855333,0.020366345704855335,0.00028258325885005396,0.015252674866165723,9.001305192383948e-05,8.68248621479397e-05,0.00026891400390330713,0.0007916387306116645,25
TEST_18,B0_NOMINAL,0,0.00603893189167239,0.00603893189167239,0.603893189167239,0.007901493334196395,0.44200190397456235,4.828491594821803e-05,0.0009503279121318346,0.007844136266649964,0.01473461737159815,1
TEST_18,B1_SNAPSHOT_WLS,0,0.00020229803468429047,0.00020229803468429047,0.020229803468429047,0.00030123106142128093,0.01612629266872783,0.00010414688209953267,0.00010348466750141563,0.00028289764219079837,0.0006255405017736329,25
TEST_18,B2_KALMAN,0,0.00020458587964389792,0.00020458587964389792,0.02045858796438979,0.00028402933581563435,0.015342459819099494,8.983998299877376e-05,8.65718329026236e-05,0.00027051429047603127,0.0007970673405758736,25
TEST_19,B0_NOMINAL,0,0.0015522357501998403,0.0015522357501998403,0.15522357501998402,0.0022200497188257597,0.12414178473554371,1.0563761123165755e-05,0.00025485271727402166,0.002205373176257565,0.004532557177018877,22
TEST_19,B1_SNAPSHOT_WLS,0,1.1731071611059052e-05,1.1731071611059052e-05,0.0011731071611059051,5.7488974388707106e-05,0.0032216735037379016,9.854114723315213e-06,1.2563884725501954e-05,5.6099295689604874e-05,6.50065852143517e-05,26
TEST_19,B2_KALMAN,0,1.8203491557242533e-07,1.8203491557242533e-07,1.8203491557242534e-05,7.880986752296615e-07,3.1822677328948437e-05,5.550769658133126e-07,5.284608282804067e-07,5.846611624453381e-07,3.625259550995191e-07,26
TEST_2,B0_NOMINAL,0,0.005766639543918107,0.005766639543918107,0.5766639543918107,0.007643414365020953,0.4275415941039395,4.319340058734622e-05,0.0009173342591054441,0.007588167170831183,0.014500440297354807,1
TEST_2,B1_SNAPSHOT_WLS,0,0.00016818158640342185,0.00016818158640342185,0.016818158640342185,0.0002607646411158111,0.014015157902882802,8.740993670344883e-05,8.770673333846096e-05,0.0002455722439188799,0.0005162426934561851,25
TEST_2,B2_KALMAN,0,0.00016554730332310274,0.00016554730332310274,0.016554730332310273,0.0002297635658164843,0.012408259332585535,7.282813535956052e-05,7.016331691195925e-05,0.00021878849406817055,0.0006456427477238628,25
TEST_20,B0_NOMINAL,0,0.001974366954829,0.001974366954829,0.19743669548290002,0.00261696231636642,0.14637994809802998,1.4780453873667066e-05,0.000308268976316318,0.0025987423888340277,0.004964472998144718,1
TEST_20,B1_SNAPSHOT_WLS,0,5.757535860764149e-05,5.757535860764149e-05,0.005757535860764149,8.931469947472283e-05,0.004802141275650652,2.983611264545645e-05,3.0059773615032726e-05,8.410425406882244e-05,0.00017669217564039583,25
TEST_20,B2_KALMAN,0,5.677862885142804e-05,5.677862885142804e-05,0.005677862885142804,7.888834236669322e-05,0.004265394126847214,2.4721783208808717e-05,2.372525739306129e-05,7.523617961458167e-05,0.0002196975886947773,26
TEST_21,B0_NOMINAL,0,0.003990957431515148,0.003990957431515148,0.3990957431515148,0.005234481375694519,0.2928062610591662,3.149474946843658e-05,0.0006232923127981431,0.005197239841040581,0.009792198706210065,1
TEST_21,B1_SNAPSHOT_WLS,0,0.00013039734711689705,0.00013039734711689705,0.013039734711689704,0.00019543403548159534,0.010470598267791153,6.716020154448976e-05,6.691592589504875e-05,0.000183621134639316,0.00040253456213579903,25
