T,Delta_M1_sq,Delta_shared_sq,Delta_disjoint_sq,Delta_global_sq,monotone_global_prefix
5,299910.0519970033,299910.0519970031,1121505.7356580351,299910.0519970031,True
10,1694572.637472911,1694572.6374729099,3069608.3876229636,1194415.8784382762,True
20,11294102.816528851,11294102.816528847,8247491.76093875,4957941.07407611,True
30,18849077.52553285,18849077.52553285,13654127.493777284,7161823.103698009,True
45,35303751.95445913,35303751.95445912,20536456.480121754,11511733.061122876,True
60,48109671.55457312,48109671.55457312,26982597.10687664,20611133.78483187,True
90,71446183.8646687,71446183.8646687,44448466.7503499,44448466.7503499,True
120,94709151.19073716,94709151.19073716,59920640.79084376,59920640.79084376,True
