case_id,family,m,seed,excitation,kind
M3-GOVERNOR_m1p125_s24_ED,M3_GOVERNOR,1.125,24,E-D,refined
M3-GOVERNOR_m1p125_s25_EA,M3_GOVERNOR,1.125,25,E-A,refined
M3-GOVERNOR_m1p25_s21_EA,M3_GOVERNOR,1.25,21,E-A,refined
M3-GOVERNOR_m1p25_s22_EB,M3_GOVERNOR,1.25,22,E-B,refined
M3-GOVERNOR_m1p25_s23_EC,M3_GOVERNOR,1.25,23,E-C,refined
M3-GOVERNOR_m1p25_s24_ED,M3_GOVERNOR,1.25,24,E-D,refined
M3-GOVERNOR_m1p25_s25_EA,M3_GOVERNOR,1.25,25,E-A,refined
M4-AVR_m0p75_s21_EA,M4_AVR,0.75,21,E-A,refined
M4-AVR_m0p75_s22_EB,M4_AVR,0.75,22,E-B,refined
M4-AVR_m0p75_s23_EC,M4_AVR,0.75,23,E-C,refined
M4-AVR_m0p75_s24_ED,M4_AVR,0.75,24,E-D,refined
M4-AVR_m0p75_s25_EA,M4_AVR,0.75,25,E-A,refined
M4-AVR_m0p875_s21_EA,M4_AVR,0.875,21,E-A,refined
M4-AVR_m0p875_s22_EB,M4_AVR,0.875,22,E-B,refined
M4-AVR_m0p875_s23_EC,M4_AVR,0.875,23,E-C,refined
M4-AVR_m0p875_s24_ED,M4_AVR,0.875,24,E-D,refined
M4-AVR_m0p875_s25_EA,M4_AVR,0.875,25,E-A,refined
M4-AVR_m1p0_s21_EA,M4_AVR,1.0,21,E-A,refined
M4-AVR_m1p0_s22_EB,M4_AVR,1.0,22,E-B,refined
M4-AVR_m1p0_s23_EC,M4_AVR,1.0,23,E-C,refined
M4-AVR_m1p0_s24_ED,M4_AVR,1.0,24,E-D,refined
M4-AVR_m1p0_s25_EA,M4_AVR,1.0,25,E-A,refined
M4-AVR_m1p125_s21_EA,M4_AVR,1.125,21,E-A,refined
M4-AVR_m1p125_s22_EB,M4_AVR,1.125,22,E-B,refined
M4-AVR_m1p125_s23_EC,M4_AVR,1.125,23,E-C,refined
M4-AVR_m1p125_s24_ED,M4_AVR,1.125,24,E-D,refined
M4-AVR_m1p125_s25_EA,M4_AVR,1.125,25,E-A,refined
M4-AVR_m1p25_s21_EA,M4_AVR,1.25,21,E-A,refined
M4-AVR_m1p25_s22_EB,M4_AVR,1.25,22,E-B,refined
M4-AVR_m1p25_s23_EC,M4_AVR,1.25,23,E-C,refined
M4-AVR_m1p25_s24_ED,M4_AVR,1.25,24,E-D,refined
M4-AVR_m1p25_s25_EA,M4_AVR,1.25,25,E-A,refined
M5-LOAD-MODEL_m0p5_s21_EA,M5_LOAD_MODEL,0.5,21,E-A,refined
M5-LOAD-MODEL_m0p5_s22_EB,M5_LOAD_MODEL,0.5,22,E-B,refined
M5-LOAD-MODEL_m0p5_s23_EC,M5_LOAD_MODEL,0.5,23,E-C,refined
M5-LOAD-MODEL_m0p5_s24_ED,M5_LOAD_MODEL,0.5,24,E-D,refined
M5-LOAD-MODEL_m0p5_s25_EA,M5_LOAD_MODEL,0.5,25,E-A,refined
M5-LOAD-MODEL_m0p625_s21_EA,M5_LOAD_MODEL,0.625,21,E-A,refined
M5-LOAD-MODEL_m0p625_s22_EB,M5_LOAD_MODEL,0.625,22,E-B,refined
M5-LOAD-MODEL_m0p625_s23_EC,M5_LOAD_MODEL,0.625,23,E-C,refined
M5-LOAD-MODEL_m0p625_s24_ED,M5_LOAD_MODEL,0.625,24,E-D,refined
M5-LOAD-MODEL_m0p625_s25_EA,M5_LOAD_MODEL,0.625,25,E-A,refined
M5-LOAD-MODEL_m0p75_s21_EA,M5_LOAD_MODEL,0.75,21,E-A,refined
M5-LOAD-MODEL_m0p75_s22_EB,M5_LOAD_MODEL,0.75,22,E-B,refined
M5-LOAD-MODEL_m0p75_s23_EC,M5_LOAD_MODEL,0.75,23,E-C,refined
M5-LOAD-MODEL_m0p75_s24_ED,M5_LOAD_MODEL,0.75,24,E-D,refined
M5-LOAD-MODEL_m0p75_s25_EA,M5_LOAD_MODEL,0.75,25,E-A,refined
M5-LOAD-MODEL_m0p875_s21_EA,M5_LOAD_MODEL,0.875,21,E-A,refined
M5-LOAD-MODEL_m0p875_s22_EB,M5_LOAD_MODEL,0.875,22,E-B,refined
M5-LOAD-MODEL_m0p875_s23_EC,M5_LOAD_MODEL,0.875,23,E-C,refined
M5-LOAD-MODEL_m0p875_s24_ED,M5_LOAD_MODEL,0.875,24,E-D,refined
M5-LOAD-MODEL_m0p875_s25_EA,M5_LOAD_MODEL,0.875,25,E-A,refined
M5-LOAD-MODEL_m1p0_s21_EA,M5_LOAD_MODEL,1.0,21,E-A,refined
M5-LOAD-MODEL_m1p0_s22_EB,M5_LOAD_MODEL,1.0,22,E-B,refined
M5-LOAD-MODEL_m1p0_s23_EC,M5_LOAD_MODEL,1.0,23,E-C,refined
M5-LOAD-MODEL_m1p0_s24_ED,M5_LOAD_MODEL,1.0,24,E-D,refined
M5-LOAD-MODEL_m1p0_s25_EA,M5_LOAD_MODEL,1.0,25,E-A,refined
M6-OPERATING-POINT_m0p5_s21_EA,M6_OPERATING_POINT,0.5,21,E-A,refined
M6-OPERATING-POINT_m0p5_s22_EB,M6_OPERATING_POINT,0.5,22,E-B,refined
M6-OPERATING-POINT_m0p5_s23_EC,M6_OPERATING_POINT,0.5,23,E-C,refined
M6-OPERATING-POINT_m0p5_s24_ED,M6_OPERATING_POINT,0.5,24,E-D,refined
M6-OPERATING-POINT_m0p5_s25_EA,M6_OPERATING_POINT,0.5,25,E-A,refined
M6-OPERATING-POINT_m0p625_s21_EA,M6_OPERATING_POINT,0.625,21,E-A,refined
M6-OPERATING-POINT_m0p625_s22_EB,M6_OPERATING_POINT,0.625,22,E-B,refined
M6-OPERATING-POINT_m0p625_s23_EC,M6_OPERATING_POINT,0.625,23,E-C,refined
M6-OPERATING-POINT_m0p625_s24_ED,M6_OPERATING_POINT,0.625,24,E-D,refined
M6-OPERATING-POINT_m0p625_s25_EA,M6_OPERATING_POINT,0.625,25,E-A,refined
M6-OPERATING-POINT_m0p75_s21_EA,M6_OPERATING_POINT,0.75,21,E-A,refined
M6-OPERATING-POINT_m0p75_s22_EB,M6_OPERATING_POINT,0.75,22,E-B,refined
M6-OPERATING-POINT_m0p75_s23_EC,M6_OPERATING_POINT,0.75,23,E-C,refined
M6-OPERATING-POINT_m0p75_s24_ED,M6_OPERATING_POINT,0.75,24,E-D,refined
M6-OPERATING-POINT_m0p75_s25_EA,M6_OPERATING_POINT,0.75,25,E-A,refined
M6-OPERATING-POINT_m0p875_s21_EA,M6_OPERATING_POINT,0.875,21,E-A,refined
M6-OPERATING-POINT_m0p875_s22_EB,M6_OPERATING_POINT,0.875,22,E-B,refined
M6-OPERATING-POINT_m0p875_s23_EC,M6_OPERATING_POINT,0.875,23,E-C,refined
M6-OPERATING-POINT_m0p875_s24_ED,M6_OPERATING_POINT,0.875,24,E-D,refined
M6-OPERATING-POINT_m0p875_s25_EA,M6_OPERATING_POINT,0.875,25,E-A,refined
M6-OPERATING-POINT_m1p0_s21_EA,M6_OPERATING_POINT,1.0,21,E-A,refined
M6-OPERATING-POINT_m1p0_s22_EB,M6_OPERATING_POINT,1.0,22,E-B,refined
M6-OPERATING-POINT_m1p0_s23_EC,M6_OPERATING_POINT,1.0,23,E-C,refined
M6-OPERATING-POINT_m1p0_s24_ED,M6_OPERATING_POINT,1.0,24,E-D,refined
M6-OPERATING-POINT_m1p0_s25_EA,M6_OPERATING_POINT,1.0,25,E-A,refined
M7-COUPLED_m0p25_s21_EA,M7_COUPLED,0.25,21,E-A,refined
M7-COUPLED_m0p25_s22_EB,M7_COUPLED,0.25,22,E-B,refined
M7-COUPLED_m0p25_s23_EC,M7_COUPLED,0.25,23,E-C,refined
M7-COUPLED_m0p25_s24_ED,M7_COUPLED,0.25,24,E-D,refined
M7-COUPLED_m0p25_s25_EA,M7_COUPLED,0.25,25,E-A,refined
M7-COUPLED_m0p375_s21_EA,M7_COUPLED,0.375,21,E-A,refined
M7-COUPLED_m0p375_s22_EB,M7_COUPLED,0.375,22,E-B,refined
M7-COUPLED_m0p375_s23_EC,M7_COUPLED,0.375,23,E-C,refined
M7-COUPLED_m0p375_s24_ED,M7_COUPLED,0.375,24,E-D,refined
M7-COUPLED_m0p375_s25_EA,M7_COUPLED,0.375,25,E-A,refined
M7-COUPLED_m0p5_s21_EA,M7_COUPLED,0.5,21,E-A,refined
M7-COUPLED_m0p5_s22_EB,M7_COUPLED,0.5,22,E-B,refined
M7-COUPLED_m0p5_s23_EC,M7_COUPLED,0.5,23,E-C,refined
M7-COUPLED_m0p5_s24_ED,M7_COUPLED,0.5,24,E-D,refined
M7-COUPLED_m0p5_s25_EA,M7_COUPLED,0.5,25,E-A,refined
M7-COUPLED_m0p625_s21_EA,M7_COUPLED,0.625,21,E-A,refined
M7-COUPLED_m0p625_s22_EB,M7_COUPLED,0.625,22,E-B,refined
M7-COUPLED_m0p625_s23_EC,M7_COUPLED,0.625,23,E-C,refined
M7-COUPLED_m0p625_s24_ED,M7_COUPLED,0.625,24,E-D,refined
M7-COUPLED_m0p625_s25_EA,M7_COUPLED,0.625,25,E-A,refined
M7-COUPLED_m0p75_s21_EA,M7_COUPLED,0.75,21,E-A,refined
M7-COUPLED_m0p75_s22_EB,M7_COUPLED,0.75,22,E-B,refined
M7-COUPLED_m0p75_s23_EC,M7_COUPLED,0.75,23,E-C,refined
M7-COUPLED_m0p75_s24_ED,M7_COUPLED,0.75,24,E-D,refined
M7-COUPLED_m0p75_s25_EA,M7_COUPLED,0.75,25,E-A,refined
