case_id,family,m,seed,excitation,kind
M1-NETWORK_m0p75_s21_EA,M1_NETWORK,0.75,21,E-A,refined
M1-NETWORK_m0p75_s22_EB,M1_NETWORK,0.75,22,E-B,refined
M1-NETWORK_m0p75_s23_EC,M1_NETWORK,0.75,23,E-C,refined
M1-NETWORK_m0p75_s24_ED,M1_NETWORK,0.75,24,E-D,refined
M1-NETWORK_m0p75_s25_EA,M1_NETWORK,0.75,25,E-A,refined
M1-NETWORK_m0p875_s21_EA,M1_NETWORK,0.875,21,E-A,refined
M1-NETWORK_m0p875_s22_EB,M1_NETWORK,0.875,22,E-B,refined
M1-NETWORK_m0p875_s23_EC,M1_NETWORK,0.875,23,E-C,refined
M1-NETWORK_m0p875_s24_ED,M1_NETWORK,0.875,24,E-D,refined
M1-NETWORK_m0p875_s25_EA,M1_NETWORK,0.875,25,E-A,refined
M1-NETWORK_m1p0_s21_EA,M1_NETWORK,1.0,21,E-A,refined
M1-NETWORK_m1p0_s22_EB,M1_NETWORK,1.0,22,E-B,refined
M1-NETWORK_m1p0_s23_EC,M1_NETWORK,1.0,23,E-C,refined
M1-NETWORK_m1p0_s24_ED,M1_NETWORK,1.0,24,E-D,refined
M1-NETWORK_m1p0_s25_EA,M1_NETWORK,1.0,25,E-A,refined
M1-NETWORK_m1p125_s21_EA,M1_NETWORK,1.125,21,E-A,refined
M1-NETWORK_m1p125_s22_EB,M1_NETWORK,1.125,22,E-B,refined
M1-NETWORK_m1p125_s23_EC,M1_NETWORK,1.125,23,E-C,refined
M1-NETWORK_m1p125_s24_ED,M1_NETWORK,1.125,24,E-D,refined
M1-NETWORK_m1p125_s25_EA,M1_NETWORK,1.125,25,E-A,refined
M1-NETWORK_m1p25_s21_EA,M1_NETWORK,1.25,21,E-A,refined
M1-NETWORK_m1p25_s22_EB,M1_NETWORK,1.25,22,E-B,refined
M1-NETWORK_m1p25_s23_EC,M1_NETWORK,1.25,23,E-C,refined
M1-NETWORK_m1p25_s24_ED,M1_NETWORK,1.25,24,E-D,refined
M1-NETWORK_m1p25_s25_EA,M1_NETWORK,1.25,25,E-A,refined
M2-MACHINE_m1p0_s21_EA,M2_MACHINE,1.0,21,E-A,refined
M2-MACHINE_m1p0_s22_EB,M2_MACHINE,1.0,22,E-B,refined
M2-MACHINE_m1p0_s23_EC,M2_MACHINE,1.0,23,E-C,refined
M2-MACHINE_m1p0_s24_ED,M2_MACHINE,1.0,24,E-D,refined
M2-MACHINE_m1p0_s25_EA,M2_MACHINE,1.0,25,E-A,refined
M2-MACHINE_m1p125_s21_EA,M2_MACHINE,1.125,21,E-A,refined
M2-MACHINE_m1p125_s22_EB,M2_MACHINE,1.125,22,E-B,refined
M2-MACHINE_m1p125_s23_EC,M2_MACHINE,1.125,23,E-C,refined
M2-MACHINE_m1p125_s24_ED,M2_MACHINE,1.125,24,E-D,refined
M2-MACHINE_m1p125_s25_EA,M2_MACHINE,1.125,25,E-A,refined
M2-MACHINE_m1p25_s21_EA,M2_MACHINE,1.25,21,E-A,refined
M2-MACHINE_m1p25_s22_EB,M2_MACHINE,1.25,22,E-B,refined
M2-MACHINE_m1p25_s23_EC,M2_MACHINE,1.25,23,E-C,refined
M2-MACHINE_m1p25_s24_ED,M2_MACHINE,1.25,24,E-D,refined
M2-MACHINE_m1p25_s25_EA,M2_MACHINE,1.25,25,E-A,refined
M2-MACHINE_m1p375_s21_EA,M2_MACHINE,1.375,21,E-A,refined
M2-MACHINE_m1p375_s22_EB,M2_MACHINE,1.375,22,E-B,refined
M2-MACHINE_m1p375_s23_EC,M2_MACHINE,1.375,23,E-C,refined
M2-MACHINE_m1p375_s24_ED,M2_MACHINE,1.375,24,E-D,refined
M2-MACHINE_m1p375_s25_EA,M2_MACHINE,1.375,25,E-A,refined
M2-MACHINE_m1p5_s21_EA,M2_MACHINE,1.5,21,E-A,refined
M2-MACHINE_m1p5_s22_EB,M2_MACHINE,1.5,22,E-B,refined
M2-MACHINE_m1p5_s23_EC,M2_MACHINE,1.5,23,E-C,refined
M2-MACHINE_m1p5_s24_ED,M2_MACHINE,1.5,24,E-D,refined
M2-MACHINE_m1p5_s25_EA,M2_MACHINE,1.5,25,E-A,refined
M3-GOVERNOR_m0p75_s21_EA,M3_GOVERNOR,0.75,21,E-A,refined
M3-GOVERNOR_m0p75_s22_EB,M3_GOVERNOR,0.75,22,E-B,refined
M3-GOVERNOR_m0p75_s23_EC,M3_GOVERNOR,0.75,23,E-C,refined
M3-GOVERNOR_m0p75_s24_ED,M3_GOVERNOR,0.75,24,E-D,refined
M3-GOVERNOR_m0p75_s25_EA,M3_GOVERNOR,0.75,25,E-A,refined
M3-GOVERNOR_m0p875_s21_EA,M3_GOVERNOR,0.875,21,E-A,refined
M3-GOVERNOR_m0p875_s22_EB,M3_GOVERNOR,0.875,22,E-B,refined
M3-GOVERNOR_m0p875_s23_EC,M3_GOVERNOR,0.875,23,E-C,refined
M3-GOVERNOR_m0p875_s24_ED,M3_GOVERNOR,0.875,24,E-D,refined
M3-GOVERNOR_m0p875_s25_EA,M3_GOVERNOR,0.875,25,E-A,refined
M3-GOVERNOR_m1p0_s21_EA,M3_GOVERNOR,1.0,21,E-A,refined
M3-GOVERNOR_m1p0_s22_EB,M3_GOVERNOR,1.0,22,E-B,refined
M3-GOVERNOR_m1p0_s23_EC,M3_GOVERNOR,1.0,23,E-C,refined
M3-GOVERNOR_m1p0_s24_ED,M3_GOVERNOR,1.0,24,E-D,refined
M3-GOVERNOR_m1p0_s25_EA,M3_GOVERNOR,1.0,25,E-A,refined
M3-GOVERNOR_m1p125_s21_EA,M3_GOVERNOR,1.125,21,E-A,refined
M3-GOVERNOR_m1p125_s22_EB,M3_GOVERNOR,1.125,22,E-B,refined
M3-GOVERNOR_m1p125_s23_EC,M3_GOVERNOR,1.125,23,E-C,refined
